Hour,PVPC,Excedentes
0,134.5875,88.509
1,134.6935,87.4225
2,133.20499999999998,85.6165
3,138.6405,91.31800000000001
4,147.7445,102.5225
5,163.47,119.0095
6,190.222,118.98499999999999
7,161.17450000000002,96.08500000000001
8,180.749,72.776
9,165.293,58.955499999999994
10,159.4185,54.15650000000001
11,153.0135,49.07
12,101.208,42.3315
13,92.562,34.04
14,92.227,33.3535
15,100.7525,39.231
16,159.878,51.810500000000005
17,200.6205,88.886
18,236.95099999999996,123.02149999999999
19,243.35,128.78199999999998
20,188.125,117.0595
21,174.598,104.5165
22,146.41714285714286,102.49619047619048
23,139.2295238095238,94.7547619047619
