Hour,PVPC,Excedentes
0,119.458,73.939
1,116.747,70.43100000000001
2,114.31199999999998,67.474
3,114.59,67.638
4,116.492,70.378
5,118.893,73.22
6,117.76200000000001,73.314
7,100.09700000000001,55.81
8,69.41,31.835
9,62.294000000000004,26.592000000000002
10,57.751,23.536
11,49.448,17.116
12,42.319,10.632
13,34.511,3.115
14,34.329,2.368
15,37.95,4.173
16,48.785000000000004,11.9
17,86.36699999999999,44.336
18,127.29100000000001,87.977
19,141.849,101.905
20,134.31900000000002,94.532
21,120.08800000000001,81.998
22,121.97,77.4211111111111
23,117.64111111111112,71.56888888888889
