Hour,PVPC,Excedentes
0,132.46125,95.56625
1,131.16375,94.09
2,129.7,92.34125
3,131.165,93.65
4,132.88625,95.44875
5,129.395,92.08125
6,118.975,80.075
7,105.72125,67.71
8,90.10125,54.2225
9,80.59125,48.4275
10,78.3925,46.612500000000004
11,78.1575,47.05375
12,74.47749999999999,44.745
13,72.60125,42.636250000000004
14,75.12875,44.34
15,86.05375,53.2975
16,97.715,62.34375
17,123.4325,85.73
18,148.43375,108.7025
19,158.27125,117.04499999999999
20,154.91375,114.58875
21,147.8225,108.105
22,138.86374999999998,101.56875
23,128.77,91.7375
