Hour,PVPC,Excedentes
0,109.2447619047619,66.63904761904762
1,105.32761904761905,62.055238095238096
2,102.31142857142856,58.28809523809524
3,99.4657142857143,55.70761904761904
4,103.72380952380952,59.82904761904762
5,109.87095238095237,67.6947619047619
6,118.97761904761903,80.3104761904762
7,149.2266666666667,88.89095238095238
8,141.24571428571429,83.86857142857143
9,168.75714285714287,74.40761904761905
10,161.40238095238095,68.43333333333332
11,158.21761904761905,65.66571428571429
12,156.29000000000002,64.20619047619047
13,117.34619047619047,63.97190476190477
14,120.99428571428572,65.68761904761905
15,131.80190476190478,74.20333333333333
16,149.6404761904762,89.92238095238095
17,197.6895238095238,98.47857142857144
18,202.38714285714286,101.96619047619048
19,205.20761904761903,104.0604761904762
20,195.11333333333334,95.52428571428571
21,147.75238095238097,87.75333333333333
22,136.36666666666665,77.9352380952381
23,111.30409090909092,70.85045454545455
