Hour,PVPC,Excedentes
0,95.363,52.511
1,92.815,48.576
2,91.12899999999999,45.952
3,90.74300000000001,45.1
4,90.086,44.647
5,92.535,47.143
6,97.092,53.323
7,101.46000000000001,59.239
8,98.235,59.711
9,84.463,50.206
10,76.60400000000001,44.650999999999996
11,73.713,42.228
12,71.701,40.929
13,72.108,41.111000000000004
14,76.77000000000001,42.884
15,92.519,56.095000000000006
16,114.258,75.738
17,124.891,85.881
18,133.1,92.244
19,130.58800000000002,89.95
20,124.082,84.482
21,115.3,76.368
22,108.845,70.738
23,104.78666666666668,60.977777777777774
