Hour,PVPC,Excedentes
0,174.385,125.25899999999999
1,170.32999999999998,120.7705
2,167.057,117.33399999999999
3,166.713,117.09200000000001
4,171.75150000000002,122.33800000000001
5,180.37,133.573
6,196.7135,151.083
7,232.94099999999997,162.14600000000002
8,220.169,152.0125
9,254.089,142.01749999999998
10,246.0435,134.5155
11,239.85,129.51600000000002
12,233.8835,124.502
13,186.8265,123.2275
14,186.6915,122.45150000000001
15,193.7695,127.84549999999999
16,209.192,141.64600000000002
17,271.65999999999997,155.675
18,288.94899999999996,169.885
19,287.9145,168.06
20,276.5435,157.8185
21,223.27249999999998,150.566
22,213.244,141.83599999999998
23,185.63600000000002,137.6085
