Hour,PVPC,Excedentes
0,180.08875,129.34125
1,175.14249999999998,123.205
2,170.01,117.08125
3,170.18,116.5775
4,168.81875,116.05875
5,169.285,117.72625
6,171.02625,121.0925
7,171.80625,124.115
8,163.3025,119.95875000000001
9,141.66,103.27874999999999
10,132.61125,95.20125
11,127.59625,91.71875
12,123.66125,88.095
13,119.95875000000001,84.68875
14,119.29,83.36625
15,125.33,86.1725
16,154.93625,112.58624999999999
17,181.22625,136.8825
18,196.0725,150.27625
19,199.79,152.88375
20,195.0225,148.98624999999998
21,186.32625,140.84375
22,177.32500000000002,132.115
23,171.6425,121.1975
