Hour,PVPC,Excedentes
0,72.80222222222223,31.605555555555554
1,72.94666666666666,28.214444444444446
2,70.47,24.175555555555555
3,70.14222222222222,22.595555555555556
4,68.62555555555555,21.40888888888889
5,68.15666666666667,21.79222222222222
6,69.48444444444445,24.58888888888889
7,73.15,28.897777777777776
8,72.17888888888889,30.63666666666667
9,61.949999999999996,27.354444444444443
10,56.40222222222222,23.779999999999998
11,53.50666666666667,22.467777777777776
12,52.96,22.036666666666665
13,51.17666666666667,20.566666666666666
14,49.87444444444444,17.95111111111111
15,59.02777777777778,22.53888888888889
16,71.33888888888889,36.23777777777778
17,90.51222222222222,55.29666666666666
18,106.14444444444445,68.87666666666667
19,117.00222222222222,77.62333333333333
20,110.76333333333334,72.54
21,91.76333333333334,56.11
22,77.53555555555555,42.82888888888889
23,76.44200000000001,34.648
