Hour,PVPC,Excedentes
0,131.425,90.011
1,131.49200000000002,89.417
2,129.925,87.812
3,130.79500000000002,88.538
4,133.56199999999998,91.5
5,131.445,89.85499999999999
6,117.23599999999999,73.398
7,99.759,57.676
8,82.461,44.897
9,65.575,33.055
10,62.811,30.427000000000003
11,55.660000000000004,25.2
12,52.403999999999996,22.181
13,53.129999999999995,22.529
14,56.777,25.311
15,63.737,31.839
16,84.115,46.065999999999995
17,118.203,76.944
18,144.446,101.834
19,159.31300000000002,114.56500000000001
20,161.849,117.021
21,157.88899999999998,113.102
22,142.52,102.744
23,134.768,94.62899999999999
