Hour,PVPC,Excedentes
0,132.25272727272727,93.48454545454545
1,131.30772727272728,91.53681818181818
2,127.56272727272727,88.39545454545454
3,129.2931818181818,90.62727272727273
4,138.10727272727274,100.24000000000001
5,149.1040909090909,111.7959090909091
6,172.8531818181818,111.80818181818182
7,161.0459090909091,100.81954545454546
8,197.6290909090909,91.72909090909091
9,191.3381818181818,86.67227272727273
10,189.41454545454545,84.76727272727273
11,187.1931818181818,83.06454545454545
12,138.28636363636363,80.05045454545454
13,137.41363636363636,78.67772727272728
14,139.42136363636362,80.27954545454546
15,145.89818181818183,85.86318181818181
16,199.27727272727273,90.80636363636364
17,210.70590909090907,101.96681818181818
18,223.0381818181818,113.08090909090907
19,231.49954545454545,121.29318181818181
20,184.40454545454546,119.37863636363636
21,173.1027272727273,109.10318181818182
22,143.63272727272727,106.19818181818182
23,136.78136363636364,99.08318181818181
