Hour,PVPC,Excedentes
0,139.18125,98.13
1,138.3125,96.41625
2,138.0375,96.0025
3,137.32874999999999,95.205
4,134.22625,92.28
5,130.93,89.105
6,123.3025,80.97625
7,108.18,67.63125
8,87.20875,52.3425
9,69.32875,38.24875
10,64.38125,34.00875
11,64.93875,35.15875
12,61.035000000000004,31.544999999999998
13,61.5975,31.78375
14,65.12625,34.41625
15,91.55499999999999,57.37
16,116.0825,76.7
17,129.62375,91.02625
18,143.20625,104.45
19,156.73,117.425
20,159.5,119.725
21,151.48625,112.5425
22,141.16875,101.47
23,134.76125,94.57000000000001
