Hour,PVPC,Excedentes
0,133.2808695652174,87.47043478260869
1,132.65130434782608,85.1086956521739
2,130.96565217391304,82.79130434782608
3,130.86608695652174,83.05739130434782
4,136.49608695652174,89.7986956521739
5,150.19391304347826,105.41130434782609
6,171.2408695652174,121.3495652173913
7,181.46826086956523,114.84217391304347
8,169.92869565217393,97.80217391304348
9,185.30391304347825,79.89434782608696
10,175.76695652173913,71.82565217391304
11,169.88,66.60739130434783
12,155.24826086956523,62.65304347826087
13,114.90826086956521,57.87826086956522
14,113.9704347826087,56.85913043478261
15,122.36478260869565,61.84043478260869
16,149.95434782608694,76.03217391304348
17,209.93652173913043,98.06565217391304
18,242.935652173913,127.97086956521738
19,247.02217391304347,131.47608695652173
20,224.68434782608693,120.52695652173912
21,179.71217391304347,110.50130434782609
22,167.73863636363637,102.45272727272727
23,134.80347826086955,91.27521739130434
