Hour,PVPC,Excedentes
0,132.41125,86.1725
1,132.32,83.8625
2,134.37875,83.59375
3,130.1,78.5075
4,132.04125,80.8
5,130.5775,81.4525
6,135.21375,87.94375
7,128.75375,81.7525
8,111.30499999999999,69.71875
9,98.7975,60.05
10,96.36375,59.38
11,93.21625,56.5075
12,90.825,54.808749999999996
13,90.32625,54.0925
14,88.3425,51.347500000000004
15,94.76,54.737500000000004
16,107.17,64.8
17,133.73125,90.20875
18,161.07375,117.76
19,176.7825,130.94
20,166.47,121.605
21,153.2325,110.025
22,149.84125,105.43125
23,148.52125,99.36
