Hour,PVPC,Excedentes
0,118.04875,77.17625
1,115.445,73.665
2,115.54625,73.9
3,116.35125,74.7725
4,118.015,76.49125000000001
5,115.105,74.27125
6,106.21125,64.36
7,89.6925,47.7725
8,71.4425,35.4225
9,65.8575,32.972500000000004
10,64.495,32.463750000000005
11,60.845,29.3575
12,58.003750000000004,26.4925
13,56.14875,23.325
14,53.823750000000004,19.84
15,59.474999999999994,24.43
16,80.6225,40.942499999999995
17,103.86625,63.786249999999995
18,125.36125,87.7
19,139.83,100.85125
20,140.95875,101.41125
21,135.1325,94.3625
22,132.4911111111111,90.81
23,125.14999999999999,82.54222222222222
