Hour,PVPC,Excedentes
0,92.90318181818182,52.34318181818182
1,89.81045454545455,48.54727272727273
2,89.22409090909092,46.932272727272725
3,88.92818181818183,46.69681818181818
4,93.68818181818182,51.91454545454545
5,103.70454545454545,63.65863636363636
6,119.44909090909091,82.29636363636364
7,149.99409090909091,88.53727272727272
8,129.36863636363637,71.37636363636364
9,162.17,61.251363636363635
10,155.4618181818182,55.525
11,153.73409090909092,53.79136363636363
12,150.46045454545455,51.07545454545455
13,104.62090909090908,48.73272727272728
14,108.9509090909091,51.45863636363636
15,124.8340909090909,65.41545454545455
16,143.98454545454544,83.34772727272728
17,202.5731818181818,98.01454545454546
18,205.24636363636364,99.73
19,200.9177272727273,95.93636363636364
20,188.23636363636362,84.79727272727273
21,134.75,74.98590909090909
22,125.09272727272727,65.94863636363635
23,94.63454545454546,55.84
