Hour,PVPC,Excedentes
0,85.93625,44.1825
1,85.27375,42.235
2,84.9225,41.18875
3,84.1575,39.980000000000004
4,85.075,40.78875
5,86.64375,42.66375
6,88.61,45.9475
7,90.765,47.713750000000005
8,81.7625,45.114999999999995
9,68.99000000000001,36.932500000000005
10,64.065,33.29125
11,64.2225,33.59375
12,66.055,35.505
13,66.31375,35.56625
14,70.925,36.64125
15,81.6925,45.57
16,98.05624999999999,61.22875
17,105.12625,70.13749999999999
18,110.27625,74.31125
19,111.6025,75.5075
20,106.11,71.175
21,95.58125,61.99625
22,89.26125,55.71875
23,95.9375,53.2725
