Hour,PVPC,Excedentes
0,122.7409090909091,80.27227272727272
1,120.91727272727272,77.49681818181818
2,119.2059090909091,75.785
3,120.14636363636363,77.23772727272727
4,132.05045454545456,90.57818181818182
5,146.56545454545454,107.13909090909091
6,183.35045454545454,118.39545454545454
7,175.02863636363637,112.4740909090909
8,194.1563636363636,93.50272727272727
9,183.15727272727273,80.72681818181819
10,177.72863636363638,75.80363636363637
11,174.34681818181818,73.02636363636363
12,133.41727272727275,70.09272727272727
13,128.60863636363635,68.87545454545455
14,133.7977272727273,72.39863636363636
15,146.8659090909091,83.46636363636364
16,206.33636363636361,103.40545454545455
17,229.1090909090909,120.07636363636362
18,242.06545454545457,131.03636363636363
19,226.2168181818182,117.89136363636364
20,178.84181818181818,107.43454545454546
21,163.54181818181817,96.62227272727273
22,127.78727272727274,85.26227272727273
23,119.60714285714286,79.06238095238095
