Hour,PVPC,Excedentes
0,136.81,99.36142857142858
1,135.98571428571427,97.77190476190476
2,134.22761904761904,96.28619047619047
3,136.02904761904762,98.31285714285715
4,148.2042857142857,110.79619047619049
5,161.58666666666664,124.33142857142857
6,191.34714285714284,127.96285714285713
7,178.2242857142857,117.11190476190475
8,206.04190476190476,100.16571428571429
9,195.17619047619047,90.80619047619048
10,191.99666666666667,87.91285714285715
11,188.50238095238097,85.28142857142858
12,139.20190476190479,81.85619047619048
13,138.62,80.83142857142857
14,143.76190476190476,84.82571428571428
15,156.0704761904762,95.91666666666667
16,220.3752380952381,112.69476190476192
17,238.35285714285715,128.67333333333332
18,253.86952380952383,142.2342857142857
19,249.9547619047619,138.51714285714283
20,189.9038095238095,124.7842857142857
21,182.99190476190475,117.85619047619048
22,150.61045454545453,113.83863636363635
23,144.48954545454546,107.41318181818183
