Hour,PVPC,Excedentes
0,147.04666666666668,106.58666666666666
1,142.7788888888889,101.90333333333334
2,141.2088888888889,100.00777777777778
3,138.17999999999998,97.27
4,141.64777777777778,100.98666666666666
5,142.1011111111111,102.33777777777777
6,140.8111111111111,101.53888888888889
7,130.83444444444444,92.42888888888889
8,108.51111111111112,72.27555555555556
9,92.55666666666667,59.81888888888889
10,80.74777777777778,49.70333333333334
11,78.41555555555556,48.28
12,72.64555555555555,43.327777777777776
13,73.19444444444444,43.135555555555555
14,85.61888888888889,52.43222222222222
15,94.62666666666667,59.90555555555555
16,124.94888888888889,87.21555555555557
17,155.61111111111111,116.16333333333334
18,171.12,128.82000000000002
19,176.14,132.92777777777778
20,166.05888888888887,123.88222222222223
21,157.5622222222222,115.57777777777778
22,150.7,110.14
23,143.42000000000002,102.14875
