hour,value
0,0.10460148016792191
1,0.10373241254180668
2,0.10520833813072822
3,0.1071726389559108
4,0.10770659218721869
5,0.10547854612385274
6,0.09557815710019466
7,0.07143745197501297
8,0.05307681186204905
9,0.04755735217448123
10,0.04554080354468093
11,0.0439653261816658
12,0.042756149500164035
13,0.042625358534440126
14,0.04363564560829481
15,0.047017139909488304
16,0.058575276131123614
17,0.08161191672950892
18,0.1048615674653912
19,0.11354960011173196
20,0.11197989211901709
21,0.10954294641840807
22,0.10576349581910388
23,0.1038902463647813
