hour,value
0,0.07600884502579068
1,0.077721592193224
2,0.0786460429791458
3,0.08203657278334002
4,0.08434522589761533
5,0.08231074382818869
6,0.07426212682381768
7,0.058644390498489136
8,0.0488874924437453
9,0.04516174826333579
10,0.043896514222923934
11,0.04331637993044421
12,0.04292024409324126
13,0.04311650504331783
14,0.04392456757987779
15,0.045239151989865674
16,0.050133367987144094
17,0.05968601520573927
18,0.07292499825004488
19,0.07749258626992335
20,0.07890883603577831
21,0.07681517939209016
22,0.07523647769651332
23,0.07493839295293307
