hour,value
0,0.060943598649440815
1,0.06219968603841306
2,0.06334528248226227
3,0.06546418488705634
4,0.06733834772263456
5,0.06723789471559578
6,0.06541467276476388
7,0.06152670251124795
8,0.052207705560001504
9,0.04514748700435758
10,0.04421147070168487
11,0.044632967053210015
12,0.04363029537518746
13,0.04387005311448281
14,0.04505575786463724
15,0.0500678958819621
16,0.057994659001858025
17,0.06855755115423114
18,0.07380726400910802
19,0.07021327188980277
20,0.06811361642611384
21,0.06708215416774731
22,0.06533352360476824
23,0.061270538338068406
