hour,value
0,0.11096578942103591
1,0.1134168429693698
2,0.11370247081893868
3,0.11322017607522718
4,0.11426010020434
5,0.11319538406943536
6,0.10746063058705341
7,0.10395951907033267
8,0.09378524681901275
9,0.08189434348475837
10,0.0775286529099866
11,0.07629030350120868
12,0.07531027131647804
13,0.07719141767525546
14,0.08454701550604894
15,0.1027517589023501
16,0.12313968247946996
17,0.12697525350425753
18,0.12240749040683725
19,0.11802693771274532
20,0.11648786924026927
21,0.1170198778423571
22,0.11433220892566906
23,0.11286642866475383
