hour,value
0,0.09098230901814783
1,0.09160711850999469
2,0.09285701353359446
3,0.09507338094279608
4,0.09701783318147217
5,0.0970856985595529
6,0.09686549030910635
7,0.08122897608533496
8,0.060755293185530676
9,0.053431448914126094
10,0.051417937603972695
11,0.05028427355647905
12,0.04959328596641654
13,0.05088587006166153
14,0.05235592983266267
15,0.056912494050814326
16,0.07163688795804332
17,0.09902482784065554
18,0.10833386204411047
19,0.10860624751566836
20,0.10604164141617624
21,0.09885774844875089
22,0.08849266371490891
23,0.08739892408327393
