,Qirr
0,154.20220801371488
1,150.88134763757725
2,144.30337126153728
3,128.70456296652696
4,142.77031335419312
5,164.12840580680327
6,254.1446799705392
7,297.3695721719712
8,393.0487711371586
9,424.22664947956764
10,376.3878741241077
11,311.2862326757645
12,304.0352720172997
13,219.3319698363373
14,207.3193472675409
15,178.88580471341427
16,206.39149726039443
17,213.104969211841
18,250.21657071654252
19,210.05452508201287
20,213.72666637369747
21,131.24205570462752
22,141.1534573206524
23,130.1537232422783
