Hour,Qirr
0,772.9738349591601
1,745.769932689852
2,806.1979688768956
3,767.4418728755954
4,772.8708778417183
5,990.5049846757588
6,1457.369536211596
7,1555.6337536333476
8,1791.561470902176
9,1785.858407829337
10,1553.9534699312887
11,1385.7499060176895
12,1186.6334046303934
13,968.8292267654015
14,971.4511742687198
15,1079.1258410370617
16,1092.498022090345
17,1126.2941951658763
18,1246.3906925384206
19,1234.196420378072
20,1230.6131331005313
21,977.2344392707696
22,749.6340153634793
23,720.7736643105131
