Hour,Qirr
0,224.6477183977143
1,234.2929441398588
2,222.97688166948691
3,195.49277521381777
4,209.72152130961499
5,224.3569036423718
6,280.96897177044707
7,281.8902815558502
8,343.20996336689774
9,394.3438374305272
10,501.9899868148536
11,491.3135069791931
12,456.3433266286345
13,354.6451678514927
14,324.72602165054866
15,283.1178664135771
16,303.6081096484987
17,286.06369259349015
18,305.8848944059544
19,279.04160448861495
20,273.0553051254021
21,216.62388297916203
22,229.00527585968783
23,216.8140816777345
