Hour,T,RH,Prec,Irr
0,11.370181405895691,76.86167800453515,51.6,0.0
1,10.81201814058957,78.79478458049887,43.8,0.0
2,10.291723356009069,80.35374149659864,30.3,0.0
3,9.823582766439909,81.86961451247166,23.900000000000002,0.0
4,9.395238095238096,83.17120181405896,27.6,0.0
5,9.14920634920635,84.22222222222223,27.2,0.0
6,10.302154195011338,81.09863945578232,31.5,68.19453019589683
7,12.45374149659864,71.96031746031746,36.0,262.21427505579135
8,14.615873015873017,63.0,25.3,469.7781623609524
9,16.579818594104307,55.02947845804989,21.6,642.6218870771315
10,18.191609977324262,48.86734693877551,15.6,762.7173481367914
11,19.389455782312925,44.75736961451247,17.8,827.6501531124829
12,20.203854875283447,42.36621315192744,33.8,829.2781025430725
13,20.71077097505669,40.98639455782313,39.7,772.255315255635
14,20.79705215419501,40.925170068027214,32.5,647.9712871064513
15,20.49920634920635,41.97732426303855,32.7,480.11184601295923
16,19.769727891156464,44.343537414965986,28.1,282.6891452117903
17,18.51825396825397,48.74149659863946,51.699999999999996,99.98227140842744
18,16.81235827664399,54.837868480725625,41.7,3.263884579900227
19,15.378458049886621,60.4750566893424,50.4,0.0
20,14.395804988662132,64.62925170068027,39.1,0.0
21,13.60170068027211,68.09183673469387,29.7,0.0
22,12.834126984126986,71.44784580498866,32.1,0.0
23,12.119501133786848,74.44444444444444,27.7,0.0
