Hour,T,RH,Prec,Irr
0,23.388387096774196,67.14731182795698,1.2,0.0
1,22.761612903225807,68.81397849462365,2.3,0.0
2,22.145806451612902,70.28602150537634,6.2,0.0
3,21.592580645161288,71.37096774193549,3.4999999999999996,0.0
4,21.04225806451613,72.89784946236558,8.1,0.0
5,20.774301075268816,73.58064516129032,1.4,0.0
6,22.18032258064516,68.20215053763441,3.4000000000000004,73.57298277434086
7,24.209784946236557,60.09247311827957,3.3000000000000003,279.45187048193765
8,26.369999999999997,52.0505376344086,4.5,497.1078908988494
9,28.36989247311828,45.11720430107527,5.5,690.2159686444645
10,30.1,39.891397849462365,5.0,827.172544245172
11,31.509999999999998,36.20645161290322,7.3999999999999995,907.3690875066989
12,32.45913978494624,34.32795698924731,21.9,907.5888237412904
13,32.88591397849463,34.01182795698925,1.2,837.1170424435377
14,32.71784946236559,35.47849462365591,8.2,702.5998704330215
15,31.963333333333335,38.28387096774193,9.4,518.6243614651182
16,30.979677419354836,41.10537634408602,2.4000000000000004,322.4307780500021
17,29.642903225806453,44.63763440860215,5.199999999999999,119.17990763987956
18,28.14483870967742,49.12903225806452,25.6,6.622110122458065
19,26.783010752688174,54.18064516129032,3.4,0.0
20,25.823440860215054,58.00645161290323,0.5,0.0
21,25.120752688172043,61.00322580645161,1.7999999999999998,0.0
22,24.4794623655914,63.61075268817204,0.8,0.0
23,23.906021505376344,65.49569892473119,0.4,0.0
