Hour,T,RH,Prec,Irr
0,5.394221698113208,86.47405660377359,6.5,0.0
1,5.2324292452830194,86.96698113207547,5.7,0.0
2,5.052830188679246,87.41745283018868,5.2,0.0
3,4.89752358490566,88.07783018867924,15.3,0.0
4,4.7913915094339625,88.39504716981132,9.1,0.0
5,4.692452830188679,88.67924528301887,5.3,0.0
6,4.633254716981132,88.75825471698113,5.4,0.0
7,4.574882075471698,88.81957547169812,8.1,325.1096116999764
8,5.494693396226415,86.96933962264151,9.8,255.68088637479954
9,6.916745283018868,82.14033018867924,13.0,356.46077676974056
10,8.408490566037736,76.47877358490567,14.3,458.93722236457546
11,9.845872641509434,70.55070754716981,17.900000000000002,528.722533450684
12,11.08997641509434,65.49410377358491,13.6,542.5586549825472
13,12.01686320754717,61.8502358490566,12.8,505.8702124871934
14,12.445872641509434,60.29009433962264,13.8,387.9447350854717
15,12.162264150943397,61.699292452830186,9.1,206.8044681168986
16,10.577122641509433,68.24056603773585,14.5,28.47348152667217
17,9.003419811320754,74.47877358490567,10.6,0.0
18,8.019339622641509,77.90330188679245,5.2,0.0
19,7.274764150943396,80.39150943396227,7.3,0.0
20,6.690212264150944,82.4375,9.1,0.0
21,6.238561320754717,83.98349056603773,8.1,0.0
22,5.873820754716981,85.00589622641509,3.4,0.0
23,5.598938679245283,85.88679245283019,8.3,0.0
