Hour,T,RH,Prec,Irr
0,5.697317073170732,78.4280487804878,11.1,0.0
1,5.270243902439025,79.85975609756098,15.6,0.0
2,4.880731707317073,81.01219512195122,10.2,0.0
3,4.544512195121952,82.06463414634146,14.0,0.0
4,4.243658536585366,83.00121951219512,15.1,0.0
5,3.9517073170731707,83.84390243902439,12.1,0.0
6,3.7637804878048784,84.53780487804877,9.8,0.7660955642682926
7,4.062073170731708,84.37682926829268,7.3,132.73966912913414
8,5.884878048780489,78.84634146341463,7.4,306.68018595646953
9,8.040365853658537,70.62682926829268,9.1,487.7280728717561
10,10.19670731707317,62.135365853658534,4.9,646.2644917692439
11,12.089024390243903,54.87073170731707,9.5,742.8917897787439
12,13.532682926829267,49.40243902439025,6.7,770.5755593518414
13,14.522560975609757,45.76219512195122,9.2,733.8473420300853
14,15.031463414634146,43.83536585365854,7.4,621.2321670165122
15,15.01329268292683,43.863414634146345,5.8,451.46120019392686
16,14.267073170731708,46.5,8.1,232.17217383011462
17,12.412073170731707,53.364634146341466,15.200000000000001,45.654508423389025
18,10.53378048780488,60.636585365853655,17.5,0.0
19,9.321829268292683,65.28414634146341,19.9,0.0
20,8.332682926829268,69.03048780487805,16.0,0.0
21,7.487439024390244,72.07926829268293,20.7,0.0
22,6.77939024390244,74.53780487804877,14.5,0.0
23,6.186219512195121,76.54512195121951,13.200000000000001,0.0
