Hour,T,RH,Prec,Irr
0,4.264395604395604,84.19340659340659,15.7,0.0
1,3.9984615384615383,84.93406593406593,22.9,0.0
2,3.734175824175824,85.7010989010989,26.400000000000002,0.0
3,3.5434065934065933,86.32197802197803,23.4,0.0
4,3.3471428571428574,86.94945054945055,11.9,0.0
5,3.185934065934066,87.46043956043955,13.8,0.0
6,3.0185714285714287,87.86593406593407,15.4,0.0
7,2.9695604395604396,87.97692307692307,12.700000000000001,74.77177315670109
8,4.063186813186813,85.68571428571428,14.4,235.8591708815945
9,5.92477973568282,78.93722466960352,18.8,384.68772038974885
10,7.765859030837004,71.81718061674009,12.0,513.7134929205837
11,9.452312775330398,65.27753303964758,11.6,611.2149495870926
12,10.872466960352424,59.741189427312776,16.7,648.4390389437004
13,11.883810572687224,55.73458149779736,15.8,604.8769083203855
14,12.419273127753305,53.67180616740088,16.0,497.6763618202643
15,12.323568281938325,53.87334801762115,13.9,325.99011824461456
16,11.204735682819383,58.1057268722467,16.0,118.21470325038547
17,9.112665198237885,66.2466960352423,25.7,0.0
18,7.740418502202643,71.51321585903084,28.7,0.0
19,6.764207048458149,75.08039647577093,34.7,0.0
20,6.028854625550661,77.8546255506608,28.2,0.0
21,5.430506607929515,80.10242290748899,19.0,0.0
22,5.004074889867841,81.62885462555066,15.6,0.0
23,4.661563876651982,82.84581497797357,17.8,0.0
