Hour,T,RH,Prec,Irr
0,23.171290322580646,65.9279569892473,18.2,0.0
1,22.557849462365592,67.42903225806451,9.9,0.0
2,21.93913978494624,68.96774193548387,5.1,0.0
3,21.335913978494624,70.59462365591398,10.8,0.0
4,20.80559139784946,71.93225806451613,1.0,0.0
5,21.061505376344087,70.72795698924732,0.2,0.0
6,23.010107526881722,63.01182795698925,1.2,98.3399958154828
7,24.85784946236559,55.733333333333334,1.1,306.0931858510753
8,26.751182795698924,48.755913978494625,3.5,515.9827384205377
9,28.555268817204304,42.86774193548387,3.5,695.7838250287634
10,30.20451612903226,38.25806451612903,0.5,831.9487290767312
11,31.560107526881723,34.79784946236559,3.5,911.2278186351076
12,32.55172043010752,32.91612903225806,2.0,920.1081314826989
13,32.99935483870968,32.54408602150538,4.8,845.7951933721936
14,32.94387096774194,33.417204301075266,2.6,721.4228013498603
15,32.33795698924731,35.68494623655914,42.3,549.5211541396978
16,31.40838709677419,38.58494623655914,21.5,357.6960767216892
17,30.190322580645162,41.93978494623656,6.3,160.88653857854516
18,28.614838709677418,46.663440860215054,15.0,15.671024237358065
19,27.059247311827956,51.70537634408602,6.5,0.0
20,25.918709677419358,56.20967741935484,2.8,0.0
21,25.105483870967742,59.543010752688176,9.399999999999999,0.0
22,24.410860215053763,62.44731182795699,9.0,0.0
23,23.81440860215054,64.60967741935484,8.6,0.0
