Hour,T,RH,Prec,Irr
0,19.73744394618834,69.22757847533633,12.7,0.0
1,19.10078475336323,71.55381165919283,9.299999999999999,0.0
2,18.512780269058297,73.50784753363229,9.2,0.0
3,17.89854260089686,75.5627802690583,5.3,0.0
4,17.40504484304933,77.35650224215247,22.9,0.0
5,18.074327354260088,75.26569506726457,15.8,0.0
6,20.271973094170402,66.31053811659193,16.2,107.40630050904036
7,22.236659192825112,57.96748878923767,25.9,314.14217772057964
8,24.15571748878924,50.35313901345292,11.8,515.0651826168386
9,25.914237668161434,44.39237668161435,13.2,694.7334569742488
10,27.472533632286996,39.70291479820628,15.3,812.957218297612
11,28.66311659192825,36.535874439461885,40.4,875.038417722769
12,29.493273542600896,34.850896860986545,8.2,868.4952281434081
13,29.82309417040359,34.60201793721973,22.900000000000002,794.0799763142601
14,29.67432735426009,35.64237668161435,15.4,675.3056323372646
15,29.133632286995518,37.12668161434978,13.100000000000001,511.4718229287668
16,28.22903587443946,39.61771300448431,35.5,326.09266830145964
17,27.181614349775785,42.29708520179372,15.4,144.3930956704899
18,25.743273542600896,46.347533632286996,19.7,16.619031359902465
19,24.162892376681615,51.55269058295964,33.3,0.0
20,22.905829596412556,56.43497757847533,20.7,0.0
21,21.976905829596415,60.285874439461885,13.7,0.0
22,21.191255605381166,63.827354260089685,14.4,0.0
23,20.503811659192827,66.58183856502242,13.799999999999999,0.0
