Hour,T,RH,Prec,Irr
0,8.443804347826088,76.70760869565217,29.400000000000002,0.0
1,7.903043478260869,78.5,30.3,0.0
2,7.386304347826086,80.20869565217392,23.9,0.0
3,6.93322440087146,81.75054466230937,17.2,0.0
4,6.531372549019608,83.06427015250544,16.5,0.0
5,6.198692810457516,84.08169934640523,19.7,0.0
6,6.265795206971678,84.32352941176471,26.4,42.28948029068872
7,7.897385620915033,79.50980392156863,20.5,201.83428219676463
8,10.196514161220044,70.64814814814815,17.0,404.2607203895553
9,12.527015250544661,61.13616557734205,19.900000000000002,590.2672197851736
10,14.555168661588684,53.193688792165396,29.8,732.4087345673103
11,16.114239130434783,47.39891304347826,26.7,805.1365853346205
12,17.21391304347826,43.52608695652174,24.2,808.8458091147614
13,17.863152173913043,41.280434782608694,28.0,751.3952534595661
14,18.167608695652174,40.506521739130434,12.3,644.7557255574512
15,17.987934782608697,41.45,18.2,476.1371784285032
16,17.260217391304348,44.018478260869564,26.1,269.8424967821193
17,15.837391304347825,49.12391304347826,30.4,77.22694119945662
18,13.985434782608696,55.81521739130435,30.4,0.15078318187744036
19,12.622065217391304,61.120652173913044,22.7,0.0
20,11.589347826086957,65.27282608695653,22.5,0.0
21,10.724782608695651,68.70434782608696,27.7,0.0
22,9.91945652173913,71.79130434782608,37.1,0.0
23,9.180217391304348,74.6804347826087,29.2,0.0
