Hour,T,RH,Prec,Irr
0,15.12674672489083,72.14410480349345,7.3,0.0
1,14.502947598253275,74.35152838427948,8.5,0.0
2,13.884279475982533,76.4443231441048,8.8,0.0
3,13.356986899563319,78.09497816593887,7.3,0.0
4,12.918122270742359,79.72598253275109,12.6,0.0
5,13.251310043668123,79.29912663755458,10.8,0.0
6,15.338100436681223,71.26965065502183,9.7,100.6070619429083
7,17.422816593886463,62.417030567685586,9.0,308.3937521168559
8,19.334279475982534,54.786026200873366,15.5,509.0345198832096
9,21.108187772925763,48.224890829694324,12.7,686.0922330223253
10,22.629039301310044,43.21288209606987,21.3,808.0959393426201
11,23.775218340611353,39.76310043668122,29.4,863.9922018157314
12,24.631659388646288,37.42467248908297,12.700000000000001,871.1179599096398
13,25.105240174672492,36.43995633187773,26.7,807.940355313155
14,25.089737991266375,36.737991266375545,25.0,673.5609970280677
15,24.708187772925765,37.68777292576419,32.4,502.38710387340615
16,23.983733624454146,39.737991266375545,34.7,317.22073141200764
17,22.874890829694326,43.22707423580786,32.2,131.74756979888537
18,21.31244541484716,48.006550218340614,33.0,11.390433640850437
19,19.64923580786026,53.87336244541485,26.1,0.0
20,18.441812227074237,58.603711790393014,21.3,0.0
21,17.52576419213974,62.7532751091703,11.6,0.0
22,16.682860262008735,66.39519650655022,11.7,0.0
23,15.941812227074237,69.42030567685589,2.7,0.0
