Hour,T,RH,Prec,Irr
0,9.054113110539847,84.82647814910025,42.6,0.0
1,8.749485861182519,85.73007712082263,65.4,0.0
2,8.47827763496144,86.52956298200515,24.6,0.0
3,8.225964010282777,87.31105398457584,43.5,0.0
4,8.022493573264782,87.8598971722365,32.1,0.0
5,7.900900900900901,88.14157014157014,31.3,0.0
6,7.778994845360825,88.41494845360825,18.7,0.0
7,8.154768041237114,88.06701030927834,32.4,486.968880966183
8,9.835824742268041,83.2409793814433,42.8,356.3385568706198
9,11.622164948453607,75.67525773195877,37.4,480.5944903454987
10,13.409020618556701,68.125,32.6,585.4454326287681
11,14.97126288659794,61.57216494845361,44.4,633.6167517698609
12,16.144974226804123,56.876288659793815,63.1,627.872022821031
13,16.84291237113402,53.81829896907217,80.0,550.7266962039033
14,17.02667525773196,52.949742268041234,60.2,415.2569003151675
15,16.581572164948454,54.66881443298969,33.7,224.1118864253415
16,14.957474226804123,61.43556701030928,29.4,33.64834340080928
17,13.12860824742268,68.8221649484536,27.8,0.0
18,12.061082474226804,72.66365979381443,36.4,0.0
19,11.210309278350516,75.92654639175258,30.7,0.0
20,10.533505154639176,78.68298969072166,25.6,0.0
21,10.03569587628866,80.61082474226804,24.2,0.0
22,9.598711340206187,82.21520618556701,24.2,0.0
23,9.232474226804124,83.56958762886597,28.5,0.0
