Hour,T,RH,Prec,Irr
0,14.661888888888889,80.64555555555556,15.4,0.0
1,14.178555555555556,82.2,34.8,0.0
2,13.741444444444443,83.49222222222222,28.3,0.0
3,13.351777777777778,84.3488888888889,22.2,0.0
4,12.995,85.15444444444445,19.0,0.0
5,12.686666666666667,85.93555555555555,17.2,0.0
6,12.681555555555555,86.42,19.8,141.54228990261112
7,14.238555555555557,82.02666666666667,15.4,296.7466351614889
8,16.70411111111111,71.91777777777777,13.600000000000001,448.31706522618884
9,19.052888888888887,62.44777777777778,16.3,619.6139101468779
10,21.06733333333333,54.532222222222224,10.9,746.8379879011667
11,22.645222222222223,48.61,19.4,805.1492512311189
12,23.722555555555555,44.79666666666667,24.4,785.6401676142056
13,24.31,42.721111111111114,34.0,700.0031414930545
14,24.33222222222222,42.90222222222222,69.9,549.2840790218555
15,23.79011111111111,45.02444444444444,30.9,348.8304371691289
16,22.37233333333333,50.58555555555556,33.800000000000004,128.70991125439778
17,20.29722222222222,58.90111111111111,10.6,6.685835976208889
18,18.908,64.39444444444445,17.6,0.0
19,17.908,68.52444444444444,25.0,0.0
20,17.05788888888889,71.83777777777777,25.1,0.0
21,16.272444444444446,74.72777777777777,39.4,0.0
22,15.614222222222221,77.14666666666666,38.699999999999996,0.0
23,15.031333333333334,79.10111111111111,40.6,0.0
