Hour,T,RH,Prec,Irr
0,19.28885135135135,73.9358108108108,27.5,0.0
1,18.718130630630633,75.57657657657657,26.700000000000003,0.0
2,18.19707207207207,77.11936936936937,20.599999999999998,0.0
3,17.69358108108108,78.49662162162163,15.2,0.0
4,17.251914414414415,79.75,33.0,0.0
5,16.861373873873873,80.8108108108108,14.3,0.0
6,17.412612612612612,79.29054054054055,18.5,56.69736386832623
7,19.49876126126126,71.20495495495496,11.4,259.22574405454037
8,22.108455467869224,60.53889515219842,21.3,480.6526597233397
9,24.229391891891893,52.414414414414416,22.7,660.1804264733969
10,26.0125,46.083333333333336,48.6,791.2779859312893
11,27.370495495495497,41.556306306306304,20.3,856.277912311703
12,28.375280898876404,38.51011235955056,23.0,854.4696772296693
13,28.8214606741573,37.54719101123595,12.6,759.7280958714463
14,28.81112359550562,38.04269662921348,14.5,627.476458251962
15,28.235393258426967,40.332584269662924,24.6,440.43493543325224
16,27.14696629213483,44.198876404494385,18.9,241.08454079415134
17,25.551797752808987,49.83033707865169,14.3,55.6345522722343
18,23.946171171171173,56.01463963963964,10.9,0.39648307108632286
19,22.79448198198198,60.538288288288285,20.0,0.0
20,21.923423423423422,64.17117117117117,24.9,0.0
21,21.126463963963964,67.16666666666667,4.7,0.0
22,20.41936936936937,69.82995495495496,11.3,0.0
23,19.749662162162164,72.29617117117117,3.7,0.0
