,t,Reservoir0.Q,Reservoir0.W,Reservoir0.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Reservoir2.Q,Reservoir2.W,Reservoir2.z,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Turb1.Qin,Turb1.Qout,Turb1.H,Turb1.Ph,Turb1.Pe,Pipe01.Q,Pipe01.H,Pipe01.zlow,Pipe01.zhigh,Pipe01.H0,Pipe01.signQ,Pipe02.Q,Pipe02.H,Pipe02.zlow,Pipe02.zhigh,Pipe02.H0,Pipe02.signQ,VarSource.Qin,VarSource.Qmax,VarSource.Qout,VarSource.Q,VarSource.H,VarSource.zhigh,VarSource.zlow,Pipe01T.Q,Pipe01T.H,Pipe01T.zlow,Pipe01T.zhigh,Pipe01T.H0,Pipe01T.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EB.P_bal,HydroSwitch.Qin0,HydroSwitch.Qin1,HydroSwitch.Qout,HydroSwitch.Hout,HydroSwitch.Hin0,HydroSwitch.Hin1,HydroSwitch.alpha,Load.P,Load.Pin,Load.Pout,p1r0_expanded.Q,p1eb_expanded.P,t1r0_expanded.Q,t1eb_expanded.P,c01tr1_expanded.Q,c01r1_Q_expanded.Q,c02r2_Q_expanded.Q,c21r2_Q_expanded.Q,c21r1_Q_expanded.Q,pveb_expanded.P,grideb_expanded.P,loadeb_expanded.P
0,0,0.004334723121527069,1515.6050032374974,2.818726003884997,-0.004334688277593285,484.39512220066416,67.64586016293423,-3.484393136364349e-08,499.99987456184715,78.99999949824738,0.0,0.0,64.82713415904922,2117.9550708287966,0.0,0.0,0.0,-0.0043347231215270995,0.0043347231215271,64.82713378325275,-2756.685338382551,-2205.348270706041,0.0,64.82713415904921,2.8187260038849975,67.64586016293423,64.82713415904921,0.0,0.0,76.18127349436237,2.8187260038849975,78.99999949824738,76.18127349436239,1.0,-3.4843931363643485e-08,2.98508434560127,3.4843931363643485e-08,3.4843931363643485e-08,11.35413933531315,78.99999949824738,67.64586016293423,-0.0043347231215270995,64.82713378325275,2.818726003884997,67.64586016293423,64.82713415904924,0.0,0.4971078908988494,-7794.651729293959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.82713415904922,64.82713415904921,76.18127349436237,0.0,-10000.0,10000.0,-10000.0,0.0,0.0,0.004334723121527069,-2205.348270706041,-0.0043347231215270995,0.0,0.0,-3.4843931363643485e-08,3.484393381448696e-08,-7794.651729293959,0.0,10000.0
1,1,0.00034871816468532335,1516.8603886303645,2.820232466356438,-0.00034871816468455286,483.1397368077998,67.64418631574374,0.0,499.9998745618471,78.99999949824739,0.0,0.0,76.179767031891,2295.9274735744048,0.0,0.0,0.0,-0.00034871816468455286,0.000348718164684558,64.82395384695815,-221.75922425017217,-177.40737940013778,0.0,64.82395384938731,2.8202324663564378,67.64418631574374,64.82395384938731,0.0,0.0,76.17976703189099,2.8202324663564378,78.99999949824739,76.17976703189099,0.0,0.0,2.9853043706846547,0.0,0.0,11.355813182503649,78.99999949824739,67.64418631574374,-0.00034871816468455286,64.82395384695815,2.8202324663564378,67.64418631574374,64.8239538493873,0.0,0.6902159686444646,-10822.586388345204,-0.006232254658328884,0.0,0.006232254658328884,0.0,0.0,0.0,0.0,76.17976703189099,64.82395384938731,76.17976703189099,1.0,-11000.0,11000.0,-11000.0,0.0,0.0,0.0003487181646845972,-177.40737940013778,-0.00034871816468455286,0.0,0.0,0.0,0.0,-10822.586388345204,-0.006232254658328884,11000.0
2,2,0.0,1516.8603886303645,2.820232466356438,0.0,483.1397368077998,67.64418631574374,0.0,499.9998745618471,78.99999949824739,0.0,0.0,64.82395384938731,2117.9031356673327,0.0,0.0,0.0,0.0,0.0,64.82395384938731,0.0,0.0,0.0,64.8239538493873,2.8202324663564378,67.64418631574374,64.8239538493873,1.0,0.0,76.17976703189096,2.8202324663564378,78.99999949824739,76.17976703189096,0.0,0.0,2.9853043549735365,0.0,0.0,11.355813182503665,78.99999949824739,67.64418631574374,0.0,64.82395384938731,2.8202324663564378,67.64418631574374,64.82395384938731,1.0000000000000002,0.8271725442451721,-12970.065493764298,3970.065493764297,3970.065493764297,0.0,0.0,0.0,0.0,0.0,64.8239538493873,64.8239538493873,76.17976703189096,0.0,-9000.0,9000.0,-9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12970.065493764298,3970.065493764297,9000.0
3,3,0.0,1516.8603886303645,2.820232466356438,0.0,483.1397368077998,67.64418631574374,0.0,499.9998745618471,78.99999949824739,0.0,0.0,64.8239538493873,2117.9033048750234,0.0,0.0,0.0,0.0,0.0,64.82395384938728,0.0,0.0,0.0,64.82395384938728,2.8202324663564378,67.64418631574374,64.8239538493873,0.0,0.0,76.17976703189098,2.8202324663564378,78.99999949824739,76.17976703189098,0.0,0.0,2.985304370684675,0.0,0.0,11.355813182503663,78.99999949824739,67.64418631574374,0.0,64.82395384938728,2.8202324663564378,67.64418631574374,64.8239538493873,1.0000000000000002,0.9073690875066988,-14227.547292105037,4227.547292105037,4227.547292105038,0.0,0.0,0.0,0.0,0.0,64.8239538493873,64.82395384938728,76.17976703189098,0.0,-10000.0,10000.0,-10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14227.547292105037,4227.547292105037,10000.0
4,4,-0.027799999999999995,1416.7803886303645,2.700136466356438,0.02779999999999999,583.2197368077998,67.77762631574373,0.0,499.9998745618471,78.99999949824739,-0.02779999999999999,0.027799999999999995,65.07750530618728,2122.0412698301643,17747.80709209278,22184.758865115975,1.0,0.0,0.0,65.07748984938729,0.0,0.0,0.027799999999999988,65.07750530618728,2.700136466356438,67.77762631574373,65.07748984938729,1.0,0.0,76.29986303189095,2.700136466356438,78.99999949824739,76.29986303189096,0.0,0.0,2.967712666958963,0.0,0.0,11.222373182503654,78.99999949824739,67.77762631574375,0.0,65.07748984938729,2.700136466356438,67.77762631574373,65.07748984938729,1.0000000000000002,0.9075888237412905,-14230.992756263437,-16953.76610885254,0.0,16953.76610885254,0.0,0.027799999999999988,0.0,0.027799999999999995,65.07750530618728,65.07750530618728,76.29986303189095,0.0,-9000.0,9000.0,-9000.0,-0.02779999999999999,22184.758865115975,0.0,0.0,0.0,0.027799999999999988,0.0,0.0,0.0,-14230.992756263437,-16953.76610885254,9000.0
5,5,-0.05043049006090908,1235.2306244110919,2.4822767492933107,0.050430490060909085,764.7695010270725,68.0196926680361,0.0,499.9998745618471,78.99999949824739,-0.05043049006090907,0.05043049006090907,65.53746678281968,2129.52711469002,32422.898627280552,40528.62328410069,1.0,0.0,0.0,65.53741591874278,0.0,0.0,0.05043049006090907,65.53746678281966,2.4822767492933107,68.0196926680361,65.5374159187428,1.0,0.0,76.5177227489541,2.4822767492933107,78.99999949824739,76.5177227489541,0.0,0.0,2.9355314340591985,0.0,0.0,10.980306830211296,78.99999949824739,68.01969266803611,0.0,65.53741591874278,2.4822767492933107,68.0196926680361,65.5374159187428,1.0000000000000002,0.8371170424435377,-13125.995225514673,-35402.62805858602,0.0,35402.62805858603,0.0,0.05043049006090907,0.0,0.05043049006090907,65.53746678281968,65.53746678281966,76.5177227489541,0.0,-8000.0,8000.0,-8000.0,-0.05043049006090907,40528.62328410069,0.0,0.0,0.0,0.05043049006090907,0.0,0.0,0.0,-13125.995225514673,-35402.62805858602,8000.0
6,6,0.0,1235.2306244110919,2.4822767492933107,0.0,764.7695010270725,68.0196926680361,0.0,499.9998745618471,78.99999949824739,0.0,0.0,65.5374159187428,2129.526205397707,0.0,0.0,0.0,0.0,0.0,65.53741591874278,0.0,0.0,0.0,65.5374159187428,2.4822767492933107,68.0196926680361,65.53741591874278,0.0,0.0,76.51772274895409,2.4822767492933107,78.99999949824739,76.5177227489541,0.0,0.0,2.9355314340592273,0.0,0.0,10.980306830211296,78.99999949824739,68.01969266803611,0.0,65.53741591874278,2.4822767492933107,68.0196926680361,65.5374159187428,1.0000000000000002,0.7025998704330214,-11016.765968389775,1016.7659683897746,1016.7659683897746,0.0,0.0,0.0,0.0,0.0,65.5374159187428,65.5374159187428,76.51772274895409,0.0,-10000.0,10000.0,-10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11016.765968389775,1016.7659683897746,10000.0
7,7,0.0,1235.2306244110919,2.4822767492933107,0.0,764.7695010270724,68.0196926680361,0.0,499.9998745618471,78.99999949824739,0.0,0.0,76.5177227489541,2301.0144554322615,0.0,0.0,0.0,0.0,0.0,65.53741591874278,0.0,0.0,0.0,65.53741591874278,2.4822767492933107,68.0196926680361,65.53741591874278,0.0,0.0,76.51772274895409,2.4822767492933107,78.99999949824739,76.5177227489541,0.0,0.0,2.9355314340592225,0.0,0.0,10.980306830211312,78.99999949824739,68.01969266803609,0.0,65.53741591874278,2.4822767492933107,68.0196926680361,65.53741591874278,1.0000000000000002,0.5186243614651183,-8132.029987773054,-2867.970012226946,0.0,2867.9700122269464,0.0,0.0,0.0,0.0,76.5177227489541,65.53741591874278,76.51772274895409,1.0,-11000.0,11000.0,-11000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8132.029987773054,-2867.970012226946,11000.0
8,8,0.0076768701472652,1262.8673569412467,2.515440828329496,-0.007676870147265199,737.1327684969177,67.98284369132922,0.0,499.9998745618471,78.99999949824739,0.0,0.0,65.46740286299972,2128.3884649572033,0.0,0.0,0.0,-0.007676870147265198,0.0076768701472652,65.46740168595741,-4930.356750219958,-3944.285400175967,0.0,65.46740286299972,2.515440828329496,67.98284369132922,65.46740286299972,0.0,0.0,76.48455866991793,2.515440828329496,78.99999949824739,76.48455866991792,0.0,0.0,2.9404529947568085,0.0,0.0,11.017155806918169,78.99999949824739,67.98284369132922,-0.007676870147265198,65.46740168595741,2.515440828329496,67.98284369132922,65.46740286299972,0.0,0.32243077805000214,-5055.714599824033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.46740286299972,65.46740286299972,76.48455866991793,0.0,-9000.0,9000.0,-9000.0,0.0,0.0,0.0076768701472652,-3944.285400175967,-0.007676870147265198,0.0,0.0,0.0,0.0,-5055.714599824033,0.0,9000.0
9,9,0.015861139041111225,1319.9674574892472,2.5839609489870963,-0.015861139041111222,680.0326679489175,67.9067102239319,0.0,499.9998745618471,78.99999949824739,0.0,0.0,76.41603854926028,2299.485322427728,0.0,0.0,0.0,-0.015861139041111225,0.015861139041111222,65.3227442434316,-10164.07381025836,-8131.259048206689,0.0,65.3227492749448,2.583960948987097,67.9067102239319,65.32274927494478,0.0,0.0,76.41603854926028,2.583960948987097,78.99999949824739,76.41603854926028,0.0,0.0,2.9505954352440757,0.0,0.0,11.093289274315483,78.99999949824739,67.9067102239319,-0.015861139041111225,65.3227442434316,2.583960948987097,67.9067102239319,65.32274927494478,0.0,0.11917990763987955,-1868.7409517933113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.41603854926026,65.3227492749448,76.41603854926028,1.0,-10000.0,10000.0,-10000.0,0.0,0.0,0.015861139041111225,-8131.259048206689,-0.015861139041111225,0.0,0.0,0.0,0.0,-1868.7409517933113,0.0,10000.0
