,t,Reservoir0s.Q,Reservoir0s.W,Reservoir0s.z,Reservoir1s.Q,Reservoir1s.W,Reservoir1s.z,Reservoir2s.Q,Reservoir2s.W,Reservoir2s.z,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.Ph,Pump1s.Pe,Pump1s.N_on,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.Ph,Pump2s.Pe,Pump2s.N_on,Turb1s.Qin,Turb1s.Qout,Turb1s.H,Turb1s.Ph,Turb1s.Pe,Pipe01s.Q,Pipe01s.H,Pipe01s.zlow,Pipe01s.zhigh,Pipe01s.signQ,Pipe02s.Q,Pipe02s.H,Pipe02s.zlow,Pipe02s.zhigh,Pipe02s.signQ,VarSources.Qin,VarSources.Qout,Pipe01Ts.Q,Pipe01Ts.H,Pipe01Ts.zlow,Pipe01Ts.zhigh,Pipe01Ts.signQ,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBs.P_bal,Loads.P,Loads.Pin,Loads.Pout,p1r0s_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2ebs_expanded.P,t1r0s_expanded.Q,t1ebs_expanded.P,c01tr1s_expanded.Q,c01r1_Qs_expanded.Q,c02r2_Qs_expanded.Q,c21r2_Qs_expanded.Q,c21r1_Qs_expanded.Q,pvebs_expanded.P,gridebs_expanded.P,loadebs_expanded.P
0,0,0.0,2500.0,4.0,0.0,0.0,67.0,0.0,4.973799150320701e-13,77.0,0.0,0.0,63.00000000000002,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,63.00000000000002,0.0,0.0,0.0,63.00000000000002,3.9999999999999987,67.0,1.0,0.0,73.0,3.9999999999999987,77.0,0.0,0.0,0.0,0.0,63.00000000000002,3.9999999999999987,67.0,0.0,0.0,0.0,-10056.75,0.0,10056.75,0.0,-10056.75,10056.75,-10056.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10056.75,10056.75
1,1,0.0,2499.999999999999,3.999999999999999,0.0,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.00000000000002,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,63.00000000000002,0.0,0.0,0.0,63.00000000000002,3.9999999999999982,67.0,0.0,0.0,73.0,3.9999999999999982,77.0,0.0,0.0,0.0,0.0,63.00000000000002,3.9999999999999982,67.0,0.0,0.0,0.0,-9980.75,0.0,9980.75,0.0,-9980.75,9980.75,-9980.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9980.75,9980.75
2,2,0.0,2499.999999999999,3.999999999999999,0.0,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.00000000000002,0.0,0.0,0.0,0.0,0.0,73.00000000000001,0.0,0.0,0.0,0.0,0.0,63.00000000000002,0.0,0.0,0.0,63.00000000000002,3.9999999999999982,67.0,0.0,0.0,73.00000000000001,3.9999999999999982,77.0,0.0,0.0,0.0,0.0,63.00000000000002,3.9999999999999982,67.0,0.0,0.0,0.0,-9824.75,0.0,9824.75,0.0,-9824.75,9824.75,-9824.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9824.75,9824.75
3,3,0.0,2499.999999999999,3.999999999999999,0.0,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.000000000000014,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,63.00000000000002,0.0,0.0,0.0,63.000000000000014,3.9999999999999982,67.0,0.0,0.0,73.0,3.9999999999999982,77.0,0.0,0.0,0.0,0.0,63.00000000000002,3.9999999999999982,67.0,0.0,0.0,0.0,-9876.249999999998,0.0,9876.249999999998,0.0,-9876.25,9876.25,-9876.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9876.249999999998,9876.25
4,4,0.0,2499.999999999999,3.999999999999999,0.0,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.000000000000014,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,63.00000000000002,0.0,0.0,0.0,63.000000000000014,3.9999999999999982,67.0,0.0,0.0,73.0,3.9999999999999982,77.0,0.0,0.0,0.0,0.0,63.00000000000002,3.9999999999999982,67.0,0.0,0.0,0.0,-9657.0,0.0,9657.0,0.0,-9657.0,9657.0,-9657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9657.0,9657.0
5,5,0.0,2499.999999999999,3.999999999999999,0.0,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.000000000000014,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,63.00000000000002,0.0,0.0,0.0,63.000000000000014,3.9999999999999982,67.0,0.0,0.0,73.0,3.9999999999999982,77.0,0.0,0.0,0.0,0.0,63.00000000000002,3.9999999999999982,67.0,0.0,0.0,0.0,-9560.250000000002,0.0,9560.250000000002,0.0,-9560.25,9560.25,-9560.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9560.250000000002,9560.25
6,6,0.0,2499.999999999999,3.999999999999999,0.0,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.00000000000002,0.0,0.0,0.0,0.0,0.0,72.99999999999999,0.0,0.0,0.0,0.0,0.0,63.00000000000002,0.0,0.0,0.0,63.00000000000002,3.9999999999999982,67.0,0.0,0.0,72.99999999999999,3.9999999999999982,77.0,0.0,0.0,0.0,0.0,63.00000000000002,3.9999999999999982,67.0,0.0,0.003,-47.03999999999999,-9354.96,0.0,9354.959999999997,0.0,-9402.0,9402.0,-9402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.03999999999999,-9354.96,9402.0
7,7,0.0,2499.999999999999,3.999999999999999,0.0,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.000000000000014,0.0,0.0,0.0,0.0,0.0,72.99999999999999,0.0,0.0,0.0,0.0,0.0,63.00000000000002,0.0,0.0,0.0,63.000000000000014,3.9999999999999982,67.0,0.0,0.0,72.99999999999999,3.9999999999999982,77.0,0.0,0.0,0.0,0.0,63.00000000000002,3.9999999999999982,67.0,0.0,0.09125,-1430.8,-7783.950000000001,0.0,7783.95,0.0,-9214.75,9214.75,-9214.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1430.8,-7783.950000000001,9214.75
8,8,0.0,2499.999999999999,3.999999999999999,0.0,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.000000000000014,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,63.00000000000002,0.0,0.0,0.0,63.000000000000014,3.9999999999999982,67.0,0.0,0.0,73.0,3.9999999999999982,77.0,0.0,0.0,0.0,0.0,63.00000000000002,3.9999999999999982,67.0,0.0,0.266,-4170.88,-5297.37,0.0,5297.369999999999,0.0,-9468.25,9468.25,-9468.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4170.88,-5297.37,9468.25
9,9,0.0,2499.9999999999986,3.9999999999999987,0.0,5.204725539442735e-12,67.0,0.0,0.0,77.0,0.0,0.0,63.000000000000036,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,63.000000000000036,0.0,0.0,0.0,63.000000000000036,3.9999999999999982,67.0,0.0,0.0,73.0,3.9999999999999982,77.0,0.0,0.0,0.0,0.0,63.000000000000036,3.9999999999999982,67.0,0.0,0.42175,-6613.04,-1822.4599999999994,0.0,1822.4599999999994,0.0,-8435.5,8435.5,-8435.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6613.04,-1822.4599999999994,8435.5
10,10,0.0,2499.999999999999,3.999999999999999,0.0,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.00000000000002,0.0,0.0,0.0,0.0,0.0,73.00000000000001,0.0,0.0,0.0,0.0,0.0,63.00000000000002,0.0,0.0,0.0,63.00000000000002,3.9999999999999982,67.0,0.0,0.0,73.00000000000001,3.9999999999999982,77.0,0.0,0.0,0.0,0.0,63.00000000000002,3.9999999999999982,67.0,0.0,0.6405,-10043.039999999999,2822.7899999999995,2822.7899999999995,0.0,0.0,-7220.25,7220.25,-7220.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10043.039999999999,2822.7899999999995,7220.25
11,11,-0.0070232855001539675,2474.7161721994444,3.9696594066393334,0.007023285500153962,25.283827800543875,67.03371177040071,0.0,0.0,77.0,-0.009694074279580352,0.00969407427958035,63.092244886602494,6000.0,7500.0,1.0,0.0,0.0,73.03034059336066,0.0,0.0,0.0,-0.0026707887794263866,0.0026707887794263866,63.061912430398536,-1652.2499999999989,-1321.799999999999,0.00969407427958035,63.092244886602494,3.9696594066393325,67.03371177040071,1.0,0.0,73.03034059336066,3.9696594066393325,77.0,0.0,0.0,0.0,-0.0026707887794263866,63.061912430398536,3.9696594066393325,67.03371177040071,0.0,0.79,-12387.2,0.0,0.0,0.0,0.0,-6209.0,6209.0,-6209.0,-0.009694074279580352,7500.0,0.0,0.0,0.0026707887794263866,-1321.799999999999,-0.0026707887794263866,0.00969407427958035,0.0,0.0,0.0,-12387.2,0.0,6209.0
12,12,-0.009680539092773338,2439.8662314654607,3.9278394777585524,0.00968053909277312,60.133768534527114,67.08017835804604,0.0,0.0,77.0,-0.009680539092773338,0.009680539092773117,63.180452731412785,6000.0,7500.0,1.0,0.0,0.0,73.07216052224146,0.0,0.0,0.0,0.0,0.0,63.15233888028749,0.0,0.0,0.009680539092773117,63.180452731412785,3.9278394777585524,67.08017835804604,1.0,0.0,73.07216052224146,3.927839477758552,77.0,0.0,0.0,0.0,0.0,63.15233888028749,3.927839477758552,67.08017835804604,0.0,0.90175,-14139.44,1151.9400000000014,1151.9400000000012,0.0,0.0,-5487.5,5487.5,-5487.5,-0.009680539092773338,7500.0,0.0,0.0,0.0,0.0,0.0,0.009680539092773117,0.0,0.0,0.0,-14139.44,1151.9400000000014,5487.5
13,13,-0.019281951005411614,2370.451207845979,3.844541449415175,0.01928195100541161,129.5487921540089,67.172731722872,0.0,0.0,77.0,-0.01928195100541161,0.019281951005411607,63.43972835414758,12000.0,15000.0,2.0,0.0,0.0,73.15545855058483,0.0,0.0,0.0,0.0,0.0,63.32819027345684,0.0,0.0,0.019281951005411607,63.43972835414758,3.844541449415175,67.172731722872,1.0,0.0,73.15545855058483,3.8445414494151744,77.0,0.0,0.0,0.0,0.0,63.32819027345684,3.8445414494151744,67.172731722872,0.0,0.97,-15209.6,-4835.399999999998,0.0,4835.399999999998,0.0,-5045.0,5045.0,-5045.0,-0.01928195100541161,15000.0,0.0,0.0,0.0,0.0,0.0,0.019281951005411607,0.0,0.0,0.0,-15209.6,-4835.399999999998,5045.0
14,14,-0.00964032805937665,2335.746026832223,3.802895232198668,0.009640328059376684,164.25397316776494,67.21900529755702,0.0,0.0,77.0,-0.00964032805937665,0.009640328059376684,63.443990842872395,6000.0,7500.0,1.0,0.0,0.0,73.19710476780133,0.0,0.0,0.0,0.0,0.0,63.41611006535837,0.0,0.0,0.009640328059376684,63.443990842872395,3.802895232198667,67.21900529755702,1.0,0.0,73.19710476780133,3.8028952321986673,77.0,0.0,0.0,0.0,0.0,63.41611006535837,3.8028952321986673,67.21900529755702,0.0,0.69575,-10909.359999999999,-3906.140000000001,0.0,3906.140000000001,0.0,-7315.5,7315.5,-7315.5,-0.00964032805937665,7500.0,0.0,0.0,0.0,0.0,0.0,0.009640328059376684,0.0,0.0,0.0,-10909.359999999999,-3906.140000000001,7315.5
