,t,Reservoir0s.Q,Reservoir0s.W,Reservoir0s.z,Reservoir1s.Q,Reservoir1s.W,Reservoir1s.z,Reservoir2s.Q,Reservoir2s.W,Reservoir2s.z,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.Ph,Pump1s.Pe,Pump1s.N_on,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.Ph,Pump2s.Pe,Pump2s.N_on,Turb1s.Qin,Turb1s.Qout,Turb1s.H,Turb1s.Ph,Turb1s.Pe,Pipe01s.Q,Pipe01s.H,Pipe01s.zlow,Pipe01s.zhigh,Pipe01s.Qp,Pipe01s.Qn,Pipe02s.Q,Pipe02s.H,Pipe02s.zlow,Pipe02s.zhigh,Pipe02s.Qp,Pipe02s.Qn,VarSources.Qin,VarSources.Qout,Pipe01Ts.Q,Pipe01Ts.H,Pipe01Ts.zlow,Pipe01Ts.zhigh,Pipe01Ts.Qp,Pipe01Ts.Qn,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBs.P_bal,Loads.P,Loads.Pin,Loads.Pout,p1r0s_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2ebs_expanded.P,t1r0s_expanded.Q,t1ebs_expanded.P,c01tr1s_expanded.Q,c01r1_Qs_expanded.Q,c02r2_Qs_expanded.Q,c21r2_Qs_expanded.Q,c21r1_Qs_expanded.Q,pvebs_expanded.P,gridebs_expanded.P,loadebs_expanded.P
0,0,5.543449549875598e-09,2000.0,4.0,-6.658755909336775e-14,0.0,67.0,-2.7508295674944853e-13,0.0,77.0,0.0,0.0,62.99999997006387,0.0,0.0,0.0,0.0,4.054074014741222e-14,72.9999999700631,8.207007303449665e-16,5.388680514198222e-16,0.0,-1.0165892227269127e-12,7.927771937799001e-10,62.99999997006387,-5.236560035582818e-07,-4.189248005710694e-07,-9.013117484197171e-10,62.99999997006387,4.0000000299350615,66.99999999999925,8.682428742182178e-07,8.691441859500671e-07,1.197196363754526e-09,72.9999999700631,4.0000000299350615,76.99999999999775,8.549803370389152e-07,8.537831406946731e-07,-4.444306126775201e-09,4.422152423461245e-09,-9.021590469289499e-10,62.99999997006387,4.0000000299350615,66.99999999999925,8.685539327895519e-07,8.694560918199281e-07,8.19672131147541e-06,-0.12846787673168275,-11218.752679245328,0.0002115054675148192,11218.752890750795,0,-11218.881147540984,11218.881147540984,-11218.881147540984,0.0,0.0,0.0,5.645199506307873e-16,1.584536042142979e-09,-4.1892479943328725e-07,-1.803301521187902e-09,-1.8024542226786688e-09,2.3943522062814727e-09,-3.59178313176517e-09,4.506831630566426e-09,-0.12846787673168275,-11218.752679245328,11218.881147540984
1,1,3.033480253443006e-12,2000.0,4.0,1.6339121825037278e-12,5.313492870879564e-09,67.00000000000708,1.6301373472089927e-12,5.314552492954441e-09,77.00000000002126,0.0,0.0,62.99999997005564,0.0,0.0,0.0,0.0,1.465606551816052e-15,72.99999997006982,3.3421251089457073e-17,2.3031941638976758e-17,0.0,-9.82912011521211e-13,1.2736324336356637e-12,62.99999997005564,-6.066846973033593e-07,-4.853477578256196e-07,-1.2418763809202033e-11,62.99999997005564,4.000000029951436,67.00000000000708,8.686804914837297e-07,8.686929102469169e-07,1.4947530966434032e-11,72.99999997006982,4.000000029951436,77.00000000002126,7.824643243619502e-07,7.824493768322641e-07,-6.102034782621543e-11,8.120655035554074e-11,-1.338425212181334e-11,62.99999997005564,4.000000029951436,67.00000000000708,8.674557954403227e-07,8.674691796918198e-07,8.19672131147541e-06,-0.12846718153924097,-10904.801860191968,0.00020963479332595418,10904.802069826761,0,-10904.930327868853,10904.930327868853,-10904.930327868853,0.0,0.0,0.0,2.5268080638138493e-17,1.5644128641267099e-12,-4.853477578170855e-07,-2.5785592856561458e-11,-2.4820104543950126e-11,2.9893597606378566e-11,-4.3209526899114096e-11,6.464095031776339e-11,-0.12846718153924097,-10904.801860191968,10904.930327868853
2,2,-1.5010832210128066e-12,2000.0,4.0,1.2481255045775493e-12,9.806754998227816e-09,67.00000000001307,1.2481525713714852e-12,9.808027425448608e-09,77.00000000003924,-3.5953618829986065e-13,0.0,62.999999970069744,0.0,0.0,0.0,-3.7573291957564396e-13,7.247626169517919e-17,72.9999999700959,1.6434446541574038e-18,1.1626078881556162e-18,0.0,-1.1124057832451694e-12,7.367685428722034e-13,62.999999970069744,-6.875251313402382e-07,-5.500201050727344e-07,1.2540325728748998e-14,62.999999970069744,4.00000002994333,67.00000000001307,8.686832752569293e-07,8.686832627165799e-07,3.491712210982647e-13,72.9999999700959,4.00000002994333,77.00000000003924,7.997504984427718e-07,7.997501492715747e-07,-9.994220230182123e-13,3.613786925748581e-12,-1.0837644418832696e-12,62.999999970069744,4.00000002994333,67.00000000001307,7.388396322064112e-07,7.388407159708148e-07,2.0491803278688526e-06,-0.03207293215603648,-10732.316287163565,0.00021001484914936832,10732.316497178414,0,-10732.348360655738,10732.348360655738,-10732.348360655738,-7.351775537548604e-13,0.0,-7.51387134276022e-13,1.2608928931817233e-18,3.6112715152357007e-13,-5.500201050730063e-07,-1.0551231387294863e-12,4.118162888253231e-14,6.982699900432056e-13,0.0,2.2334257112707188e-12,-0.03207293215603648,-10732.316287163565,10732.348360655738
3,3,-9.253039642947293e-13,2000.0,4.0,9.751930714639337e-13,1.3317532008702855e-08,67.00000000001776,9.7531159627324e-13,1.3319277584647276e-08,77.00000000005328,-3.1005282573903356e-13,5.3764681855739325e-17,62.99999997007943,1.0837455102840977e-18,6.6819693097366715e-19,0.0,-3.1006759203147e-13,6.667035300581595e-17,72.99999997011494,1.2091579318278015e-18,7.616483207598059e-19,0.0,-1.2448148286495566e-12,9.348157730014275e-13,62.99999997007943,-7.693661363696346e-07,-6.154929090964312e-07,2.2770155915454064e-13,62.99999997007943,4.000000029938334,67.00000000001776,8.68680976859315e-07,8.686807491577528e-07,3.5676837761497073e-13,72.99999997011494,4.000000029938334,77.00000000005328,8.686260209615252e-07,8.686256641931486e-07,-4.776720746222781e-13,8.982186542749718e-13,-1.0171670340126018e-12,62.99999997007943,4.000000029938334,67.00000000001776,8.69231293672784e-07,8.69232310839815e-07,0.0,-3.3338571094668784e-09,-10674.659835446746,0.00021005267830991132,10674.660045499424,0,-10674.659836065573,10674.659836065573,-10674.659836065573,-6.200523053898286e-13,6.58440705026963e-19,-6.200680904912746e-13,7.682748435742291e-19,6.248162961408105e-13,-6.154929090967929e-07,-7.895192425128462e-13,4.553493506542961e-13,7.134700857889085e-13,-9.486019768960627e-14,1.0817151718227282e-12,-3.3338571094668784e-09,-10674.659835446746,10674.659836065573
4,4,-6.312484342152592e-13,2000.0,4.0,7.458881035411095e-13,1.6002811751437756e-08,67.00000000002133,7.459980750886696e-13,1.600497865869081e-08,77.00000000006402,-2.886542876104843e-13,5.17963737530798e-17,62.99999997008641,1.0603484152583247e-18,6.590415982550045e-19,0.0,-2.886624046875294e-13,5.886147514061348e-17,72.9999999701291,1.0639629114170285e-18,6.684747383535049e-19,0.0,-1.3890822560045126e-12,1.1004797714049748e-12,62.99999997008641,-8.585265179820311e-07,-6.868212143863219e-07,2.2941287254852633e-13,62.99999997008641,4.000000029934925,67.00000000002133,8.686791303819129e-07,8.68678900969039e-07,3.0006920504668026e-13,72.9999999701291,4.000000029934925,77.00000000006402,8.499814169648696e-07,8.499811168956663e-07,-4.5416689681699557e-13,7.496310931795157e-13,-1.1597211796642307e-12,62.99999997008641,4.000000029934925,67.00000000002133,8.373023473389506e-07,8.373035070601286e-07,2.0491803278688526e-06,-0.03207912200430218,-10516.863411994455,0.00020894366503953566,10516.86362093812,0,-10516.89549180328,10516.89549180328,-10516.89549180328,-5.772569811046186e-13,6.551991069063666e-19,-5.772656471504018e-13,6.721189000221892e-19,8.1187708129695e-13,-6.868212143866704e-07,-9.303601049260566e-13,4.587739472867002e-13,6.000795503895706e-13,-1.5409182064379128e-13,9.881131864422922e-13,-0.03207912200430218,-10516.863411994455,10516.89549180328
5,5,-3.853454443356867e-13,2000.0,4.0,5.343064135654422e-13,1.7926397125406754e-08,67.0000000000239,5.343964607467154e-13,1.7928896110744116e-08,77.00000000007172,-2.76969255209652e-13,5.054888055143693e-17,62.99999997009106,1.042613555273689e-18,6.504118334370099e-19,0.0,-2.7697183308740515e-13,5.2745683903140595e-17,72.99999997013887,9.470046895280599e-19,5.930796563766078e-19,0.0,-1.5531897023072188e-12,1.2762710041790452e-12,62.99999997009106,-9.599490719840436e-07,-7.679592575879154e-07,2.286203645064343e-13,62.99999997009106,4.000000029932844,67.0000000000239,8.686776368718255e-07,8.686774082514604e-07,2.5058987028406145e-13,72.99999997013887,4.000000029932844,77.00000000007172,8.393957388077583e-07,8.393954882178887e-07,-4.664603676655959e-13,7.133099254809085e-13,-1.324619886598254e-12,62.99999997009106,4.000000029932844,67.0000000000239,8.69581155950191e-07,8.69582480570077e-07,0.0,-3.333927298147955e-09,-10500.778687753296,0.0002069977364130457,10500.778894751033,0,-10500.77868852459,10500.77868852459,-10500.77868852459,-5.538880328992156e-13,6.491646857922818e-19,-5.53890804956877e-13,5.9430560173251085e-19,9.993522306571228e-13,-7.679592575882556e-07,-1.0960500715774946e-12,4.571901795271938e-13,5.011269956518695e-13,-2.1726766027296216e-13,9.445964905949833e-13,-3.333927298147955e-09,-10500.778687753296,10500.77868852459
6,6,5.873857012001179e-15,2000.0,4.0,3.2435791675226623e-13,1.9094163974176905e-08,67.00000000002547,3.244168120604964e-13,1.909687525170823e-08,77.00000000007638,-2.490675849057066e-13,4.6665586085495823e-17,62.99999997009259,9.663389867176352e-19,6.039182380617626e-19,0.0,-2.490676736392604e-13,4.6740343103802533e-17,72.9999999701435,8.355931827472189e-19,5.222929112625508e-19,0.0,-1.7491138258780496e-12,1.5000929162909487e-12,62.99999997009259,-1.0810336580245193e-06,-8.648269264202438e-07,2.1768128216720256e-13,62.99999997009259,4.000000029932875,67.00000000002547,8.686763874774668e-07,8.686761697961846e-07,2.1842881352255736e-13,72.9999999701435,4.000000029932875,77.00000000007638,8.602502859312032e-07,8.602500675023896e-07,-5.491900366602251e-13,7.676779926210293e-13,-1.531479209296798e-12,62.99999997009259,4.000000029932875,67.00000000002547,8.658200045977269e-07,8.658215360769362e-07,0.0012438524590163936,-19.50356378842593,-10764.307910756585,0.00012594714270290568,10764.308036703727,0,-10783.811475409837,10783.811475409837,-10783.811475409837,-4.980885248577878e-13,6.038731142554595e-19,-4.980886208087783e-13,5.223413492609389e-19,1.2510719812165565e-12,-8.648269264205579e-07,-1.3138445927407183e-12,4.3531589872328233e-13,4.3681088673518513e-13,-3.307761478873165e-13,9.852519942136224e-13,-19.50356378842593,-10764.307910756585,10783.811475409837
7,7,-1.5150711186919057e-13,2000.0,4.0,1.0319293098849437e-13,1.9465730273135128e-08,67.00000000002595,1.032121181153054e-13,1.9468510948719454e-08,77.00000000007788,-3.0600945074910763e-13,5.052576118834644e-17,62.999999970093896,1.046257872671086e-18,6.538610844786333e-19,0.0,-3.0600955696721544e-13,5.0615878779064255e-17,72.99999997014582,9.048782696054306e-19,5.655990137371348e-19,0.0,-1.9903062644476215e-12,1.6843473530308425e-12,62.999999970093896,-1.2301002064665066e-06,-9.840801651738857e-07,1.9934885813987049e-13,62.999999970093896,4.000000029932057,67.00000000002595,8.686753182884506e-07,8.686751189395925e-07,2.0025004969182134e-13,72.99999997014582,4.000000029932057,77.00000000007788,8.547669061170219e-07,8.547667058669722e-07,-6.97519355056197e-13,8.973519467428935e-13,-1.7910079320687467e-12,62.999999970093896,4.000000029932057,67.00000000002595,8.661540488597444e-07,8.661558398676765e-07,0.036772540983606564,-576.5934011750637,-10239.55618800479,0.00013014452722183174,10239.556318149316,0,-10816.149590163934,10816.149590163934,-10816.149590163934,-6.119683356647815e-13,6.538103462311386e-19,-6.119684499893757e-13,5.656498770627617e-19,1.3783884749124657e-12,-9.840801651742258e-07,-1.5917095997213183e-12,3.98647190487299e-13,4.0044948345716266e-13,-4.974367991071986e-13,1.0969570078750853e-12,-576.5934011750637,-10239.55618800479,10816.149590163934
8,8,1.0887651334014734e-12,2000.0,4.0,-1.5159602719341894e-13,1.8920050201748772e-08,67.00000000002522,-1.5162456090710454e-13,1.8922728156084984e-08,77.00000000007569,-1.7428013964872606e-13,3.565405355068727e-17,62.99999997008729,7.3842924398298e-19,4.615181739518762e-19,0.0,-1.7428013968385925e-13,3.565408948872879e-17,72.99999997013775,6.372753283600889e-19,3.982970463720457e-19,0.0,-2.308548127436994e-12,2.1343036546918896e-12,62.99999997008729,-1.4267740337952428e-06,-1.1414192270366744e-06,1.8233151502800116e-13,62.99999997008729,4.000000029937936,67.00000000002522,8.68674393104053e-07,8.686742107725381e-07,1.8233185159957487e-13,72.99999997013775,4.000000029937936,77.00000000007569,8.674551158454192e-07,8.674549335135677e-07,-8.808449880679764e-13,1.0631410440991361e-12,-2.1262522664626946e-12,62.99999997008729,4.000000029937936,67.00000000002522,8.542304066613912e-07,8.542325329136577e-07,0.15173975409836066,-2379.279328257176,-8276.757555847305,7.492953303258877e-05,8276.757630776838,0,-10656.036885245901,10656.036885245901,-10656.036885245901,-3.485246761979015e-13,4.615180776472458e-19,-3.4852467623257867e-13,3.982970133752833e-19,1.9600591244760747e-12,-1.1414192270369145e-06,-1.9439564054925226e-12,3.6462737599817297e-13,3.6462804911479166e-13,-6.98548807537113e-13,1.2454371413307588e-12,-2379.279328257176,-8276.757555847305,10656.036885245901
9,9,7.238540412275509e-13,2000.0,4.0,-4.767120663474419e-13,1.720394605700614e-08,67.00000000002294,-4.767980690919773e-13,1.720631440146779e-08,77.00000000006882,-2.9167718105792947e-13,4.563376098425976e-17,62.99999997008109,9.451191267569074e-19,5.906994940667214e-19,0.0,-2.916771810587875e-13,4.563376181217503e-17,72.99999997012698,8.156508109544713e-19,5.097817965300895e-19,0.0,-2.7653659010682723e-12,2.473734377408854e-12,62.99999997008109,-1.709107290055709e-06,-1.3672858320451819e-06,1.6475148976213473e-13,62.99999997008109,4.000000029941845,67.00000000002294,8.686735806384493e-07,8.686734158869595e-07,1.6475150585518213e-13,72.99999997012698,4.000000029941845,77.00000000006882,8.653544044231018e-07,8.65354239671596e-07,-1.1356671900972235e-12,1.3003730578914567e-12,-2.6006600450671423e-12,62.99999997008109,4.000000029941845,67.00000000002294,8.637809535628203e-07,8.637835542228653e-07,0.3207190082644628,-5028.87405824282,-4272.603399406286,7.646399972182921e-05,4272.603475870286,0,-9301.477459016394,9301.477459016394,-9301.477459016394,-5.833086944563273e-13,5.906995323063333e-19,-5.833086944572069e-13,5.0978183132552715e-19,2.1821028758201033e-12,-1.3672858320454894e-06,-2.435954189067045e-12,3.2945734576223177e-13,3.2945737794984243e-13,-9.7096131913648e-13,1.4650789209572746e-12,-5028.87405824282,-4272.603399406286,9301.477459016394
