,t,Reservoir0s.Q,Reservoir0s.W,Reservoir0s.z,Reservoir1s.Q,Reservoir1s.W,Reservoir1s.z,Reservoir2s.Q,Reservoir2s.W,Reservoir2s.z,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.Ph,Pump1s.Pe,Pump1s.N_on,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.Ph,Pump2s.Pe,Pump2s.N_on,Turb1s.Qin,Turb1s.Qout,Turb1s.H,Turb1s.Ph,Turb1s.Pe,Pipe01s.Q,Pipe01s.H,Pipe01s.zlow,Pipe01s.zhigh,Pipe01s.signQ,Pipe02s.Q,Pipe02s.H,Pipe02s.zlow,Pipe02s.zhigh,Pipe02s.signQ,VarSources.Qin,VarSources.Qout,Pipe01Ts.Q,Pipe01Ts.H,Pipe01Ts.zlow,Pipe01Ts.zhigh,Pipe01Ts.signQ,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBs.P_bal,Loads.P,Loads.Pin,Loads.Pout,p1r0s_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2ebs_expanded.P,t1r0s_expanded.Q,t1ebs_expanded.P,c01tr1s_expanded.Q,c01r1_Qs_expanded.Q,c02r2_Qs_expanded.Q,c21r2_Qs_expanded.Q,c21r1_Qs_expanded.Q,pvebs_expanded.P,gridebs_expanded.P,loadebs_expanded.P
0,0,-0.02888917215645982,2395.9989802367445,3.8751987762840936,0.02888917215645976,104.00101976325513,67.138668026351,0.0,0.0,77.0,-0.028889172156459815,0.02888917215645976,63.51384453040426,18000.0,22500.0,3.0,0.0,0.0,73.12480122371589,0.0,0.0,0.0,0.0,0.0,63.263469250066905,0.0,-3.5385028240852993e-12,0.02888917215645976,63.51384453040426,3.8751987762840936,67.138668026351,1.0,0.0,73.12480122371589,3.8751987762840936,77.0,0.0,0.0,0.0,0.0,63.263469250066905,3.8751987762840936,67.138668026351,0.0,0.0,0.0,-33181.95661157025,0.0,33181.95661157025,0.0,-10681.956611570247,10681.956611570247,-10681.956611570247,-0.028889172156459815,22500.0,0.0,0.0,0.0,-3.5385028240852993e-12,0.0,0.02888917215645976,0.0,0.0,0.0,0.0,-33181.95661157025,10681.956611570247
1,1,-0.038196744560631476,2258.4906998184706,3.7101888397821656,0.03819674456063152,241.5093001815286,67.32201240024204,0.0,0.0,77.0,-0.03819674456063148,0.03819674456063152,64.0495209387361,24000.0,30000.0,4.0,0.0,0.0,73.28981116021784,0.0,0.0,0.0,0.0,0.0,63.61182356045987,0.0,-2.7142732506035827e-12,0.03819674456063152,64.0495209387361,3.7101888397821656,67.32201240024204,1.0,0.0,73.28981116021784,3.710188839782165,77.0,1.0,0.0,0.0,0.0,63.61182356045987,3.710188839782165,67.32201240024204,0.0,0.0,0.0,-40663.77272727273,0.0,40663.77272727273,0.0,-10663.772727272728,10663.772727272728,-10663.772727272728,-0.03819674456063148,30000.0,0.0,0.0,0.0,-2.7142732506035827e-12,0.0,0.03819674456063152,0.0,0.0,0.0,0.0,-40663.77272727273,10663.772727272728
2,2,-0.037993952503064705,2121.712470807438,3.546054964968926,0.03799395250306477,378.28752919256175,67.50438337225677,0.0,0.0,77.0,-0.037993952503064705,0.037993952503064775,64.39138961858988,24000.0,30000.0,4.0,0.0,0.0,73.45394503503107,0.0,0.0,0.0,0.0,0.0,63.95832840728782,0.0,0.0,0.037993952503064775,64.39138961858988,3.5460549649689255,67.50438337225677,1.0,0.0,73.45394503503107,3.546054964968926,77.0,0.0,0.0,0.0,0.0,63.95832840728782,3.546054964968926,67.50438337225677,0.0,0.0,0.0,-41111.57291666667,0.0,41111.572916666664,0.0,-11111.572916666666,11111.572916666666,-11111.572916666666,-0.037993952503064705,30000.0,0.0,0.0,0.0,0.0,0.0,0.037993952503064775,0.0,0.0,0.0,0.0,-41111.57291666667,11111.572916666666
3,3,-0.03779430192721327,1985.65298386947,3.3827835806433644,0.03779430192721336,514.3470161305298,67.68579602150737,0.0,0.0,77.0,-0.03779430192721326,0.037794301927213364,64.73153512865822,24000.0,30000.0,4.0,0.0,0.0,73.61721641935664,0.0,0.0,0.0,0.0,0.0,64.303012440864,0.0,0.0,0.037794301927213364,64.73153512865822,3.3827835806433644,67.68579602150737,1.0,0.0,73.61721641935664,3.382783580643365,77.0,1.0,9.86864910777917e-16,0.0,0.0,64.303012440864,3.382783580643365,67.68579602150737,1.0000000000000002,2.066115702479339e-06,-0.03239669421487604,-41108.5626446281,0.0,41108.5626446281,0.0,-11108.595041322315,11108.595041322315,-11108.595041322315,-0.03779430192721326,30000.0,0.0,0.0,0.0,0.0,0.0,0.037794301927213364,0.0,9.86864910777917e-16,0.0,-0.03239669421487604,-41108.5626446281,11108.595041322315
4,4,-0.03759772621397207,1850.3011694991706,3.220361403399005,0.03759772621397193,649.6988305008289,67.86626510733444,0.0,0.0,77.0,-0.03759772621397207,0.037597726213971935,65.06997850983645,24000.0,30000.0,4.0,0.0,0.0,73.77963859660099,0.0,0.0,0.0,0.0,0.0,64.64590370393543,0.0,0.0,0.037597726213971935,65.06997850983645,3.220361403399005,67.86626510733444,1.0,0.0,73.77963859660099,3.220361403399005,77.0,0.0,0.0,0.0,0.0,64.64590370393543,3.220361403399005,67.86626510733444,1.0,0.0,0.0,-41204.17768595042,0.0,41204.177685950424,0.0,-11204.177685950413,11204.177685950413,-11204.177685950413,-0.03759772621397207,30000.0,0.0,0.0,0.0,0.0,0.0,0.037597726213971935,0.0,0.0,0.0,0.0,-41204.17768595042,11204.177685950413
5,5,0.0,1850.301169499171,3.220361403399005,0.0,649.6988305008289,67.86626510733444,0.0,0.0,77.0,0.0,0.0,64.64590370393543,0.0,0.0,0.0,0.0,0.0,73.77963859660098,0.0,0.0,0.0,0.0,0.0,64.64590370393543,0.0,-7.815970093361102e-13,0.0,64.64590370393543,3.220361403399005,67.86626510733444,0.0,0.0,73.77963859660098,3.220361403399005,77.0,0.0,0.0,0.0,0.0,64.64590370393543,3.220361403399005,67.86626510733444,0.0,0.0,0.0,-11631.103305785124,0.0,11631.103305785124,0.0,-11631.103305785124,11631.103305785124,-11631.103305785124,0.0,0.0,0.0,0.0,0.0,-7.815970093361102e-13,0.0,0.0,0.0,0.0,0.0,0.0,-11631.103305785124,11631.103305785124
6,6,0.0,1850.3011694991703,3.220361403399005,0.0,649.6988305008289,67.86626510733444,0.0,0.0,77.0,0.0,0.0,64.64590370393543,0.0,0.0,0.0,0.0,0.0,73.77963859660098,0.0,0.0,0.0,0.0,0.0,64.64590370393543,0.0,0.0,0.0,64.64590370393543,3.220361403399005,67.86626510733444,0.0,0.0,73.77963859660098,3.220361403399005,77.0,0.0,0.0,0.0,0.0,64.64590370393543,3.220361403399005,67.86626510733444,0.0,0.0,0.0,-12233.545454545454,0.0,12233.545454545454,0.0,-12233.545454545454,12233.545454545454,-12233.545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12233.545454545454,12233.545454545454
7,7,0.025839973668728203,1943.3250747065922,3.331990089647911,-0.0258399736687282,556.6749252934072,67.74223323372455,0.0,0.0,77.0,0.0,0.0,64.41024314407662,0.0,0.0,0.0,0.0,0.0,73.66800991035208,0.0,0.0,0.0,-0.025839973668728207,0.025839973668728207,64.20993257056551,-16276.585537190083,-13021.268429752066,0.0,64.41024314407662,3.331990089647911,67.74223323372455,0.0,0.0,73.66800991035208,3.331990089647911,77.0,0.0,0.0,0.0,-0.025839973668728207,64.20993257056551,3.33199008964791,67.74223323372455,0.0,0.0032148760330578514,-50.40925619834711,0.0,0.0,0.0,0.0,-13071.677685950413,13071.677685950413,-13071.677685950413,0.0,0.0,0.0,0.0,0.025839973668728207,-13021.268429752066,-0.025839973668728207,0.0,0.0,0.0,0.0,-50.40925619834711,0.0,13071.677685950413
8,8,0.024265276016018383,2030.6800683642582,3.4368160820371103,-0.02426527601601854,469.31993163574055,67.62575990884766,0.0,0.0,77.0,0.0,0.0,64.18894382681054,0.0,0.0,0.0,0.0,0.0,73.5631839179629,0.0,0.0,0.0,-0.02426527601601854,0.024265276016018546,64.01230897502613,-15237.643491735536,-12190.114793388428,0.0,64.18894382681054,3.43681608203711,67.62575990884766,0.0,0.0,73.5631839179629,3.43681608203711,77.0,0.0,0.0,0.0,-0.02426527601601854,64.01230897502613,3.43681608203711,67.62575990884766,0.0,0.04175206611570247,-654.6723966942149,0.0,0.0,0.0,0.0,-12844.787190082645,12844.787190082645,-12844.787190082645,0.0,0.0,0.0,0.0,0.02426527601601838,-12190.114793388428,-0.02426527601601854,0.0,0.0,0.0,0.0,-654.6723966942149,0.0,12844.787190082645
9,9,0.017143352153037937,2092.3961361151946,3.510875363338234,-0.017143352153038,407.6038638848038,67.54347181851307,0.0,0.0,77.0,0.0,0.0,64.03259645517484,0.0,0.0,0.0,0.0,0.0,73.48912463666177,0.0,0.0,0.0,-0.017143352153038003,0.017143352153038003,63.94444754016566,-10753.940082644629,-8603.152066115703,0.0,64.03259645517484,3.510875363338234,67.54347181851307,0.0,0.0,73.48912463666177,3.510875363338234,77.0,0.0,0.0,0.0,-0.017143352153038003,63.94444754016566,3.5108753633382337,67.54347181851307,0.0,0.14980371900826447,-2348.9223140495874,0.0,0.0,0.0,0.0,-10952.07438016529,10952.07438016529,-10952.07438016529,0.0,0.0,0.0,0.0,0.017143352153037937,-8603.152066115703,-0.017143352153038003,0.0,0.0,0.0,0.0,-2348.9223140495874,0.0,10952.07438016529
