,t,Reservoir0s.Q,Reservoir0s.W,Reservoir0s.z,Reservoir1s.Q,Reservoir1s.W,Reservoir1s.z,Reservoir2s.Q,Reservoir2s.W,Reservoir2s.z,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.Ph,Pump1s.Pe,Pump1s.N_on,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.Ph,Pump2s.Pe,Pump2s.N_on,Turb1s.Qin,Turb1s.Qout,Turb1s.H,Turb1s.Ph,Turb1s.Pe,Pipe01s.Q,Pipe01s.H,Pipe01s.zlow,Pipe01s.zhigh,Pipe01s.Qp,Pipe01s.Qn,Pipe02s.Q,Pipe02s.H,Pipe02s.zlow,Pipe02s.zhigh,Pipe02s.Qp,Pipe02s.Qn,VarSources.Qin,VarSources.Qout,Pipe01Ts.Q,Pipe01Ts.H,Pipe01Ts.zlow,Pipe01Ts.zhigh,Pipe01Ts.Qp,Pipe01Ts.Qn,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBs.P_bal,Loads.P,Loads.Pin,Loads.Pout,p1r0s_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2ebs_expanded.P,t1r0s_expanded.Q,t1ebs_expanded.P,c01tr1s_expanded.Q,c01r1_Qs_expanded.Q,c02r2_Qs_expanded.Q,c21r2_Qs_expanded.Q,c21r1_Qs_expanded.Q,pvebs_expanded.P,gridebs_expanded.P,loadebs_expanded.P
0,0,-4.8569291817050724e-11,1999.9999998251506,3.857142856893072,2.919861097479587e-13,1.6252981546780463e-09,67.00000000000217,4.4077418959468626e-13,6.968026805686353e-10,77.00000000000279,-1.2274489126170287e-11,1.4473661887002945e-13,63.1428571431094,0.0,0.0,0.0,-1.2244054087456388e-11,0.0,73.14285714310857,0.0,0.0,0.0,-9.341755961051652e-12,9.342719564839898e-12,63.14285714310915,-5.885476707586144e-06,-4.708381368213922e-06,1.5950006977087343e-09,63.1428571431094,3.857142856893072,67.00000000000217,4.7169372803934143e-07,4.700987273793912e-07,-2.472425001627078e-09,73.14285714310857,3.857142856893072,77.00000000000279,1.1557338814499625e-06,1.1582063064520363e-06,0.0,0.0,1.585514027889554e-09,63.14285714310915,3.857142856893072,67.00000000000217,8.194447719369372e-08,8.035896338080196e-08,0.0,-3.3337341248580706e-09,-10681.956606848538,0.0001728450412648706,10681.956779693579,0,-10681.956611570247,10681.956611570247,-10681.956611570247,-2.8759178344661517e-11,0.0,-2.9153190441571193e-11,0.0,9.343077009926094e-12,-4.708381369286426e-06,3.1803700267379154e-09,3.1898566965570958e-09,-4.944603895994398e-09,0.0,0.0,-3.3337339573676967e-09,-10681.956606848538,10681.956611570247
1,1,-0.03326949326813172,1880.2298240598764,3.6860426057998232,0.0332694779612455,119.7701206621091,67.15969349421614,1.5273182803858926e-08,5.498415489657232e-05,77.00000021993662,-1.4491723121481385e-11,1.450616666522069e-15,63.473650888416316,1.5343643243687538e-17,1.917711755680061e-21,0.0,-0.03326949376431058,0.03326949376431058,73.5353293248053,24000.0,30000.0,4.0,-5.298837172722369e-10,5.298837172242952e-10,63.4736508884163,-0.0003299461465403801,-0.0002639569172323041,1.4495487090585388e-15,63.473650888416316,3.6860426057998232,67.15969349421614,4.6953589552741787e-07,4.695358940778993e-07,0.03326949376431058,73.5353293248053,3.6860426057998232,77.00000021993662,0.03326948381539143,0.0,-0.03326947849112777,0.03326947849112777,-5.298837183095837e-10,63.4736508884163,3.6860426057998232,67.15969349421614,8.088398711567868e-08,8.14138708339878e-08,0.0,-3.3337198880136193e-09,-40663.772463312474,0.0001685571092701222,40663.772631869586,0,-10663.772727272728,10663.772727272728,-10663.772727272728,-3.3704860791932196e-11,3.3055533974892868e-21,-0.03326949376431058,30000.0,5.298837171783864e-10,-0.0002639569172323041,-5.298837193473982e-10,1.4485108946231248e-15,0.03326949376431057,-0.03326947849112777,0.03326947849112777,-3.3337197215353998e-09,-40663.772463312474,10663.772727272728
2,2,-0.03319289820223848,1760.7353905318178,3.515336272188311,0.033192898131196094,239.26455393441503,67.31901940524588,4.024537300611313e-11,5.512903823939396e-05,77.00000022051616,-1.312988514599935e-11,1.3142865039213697e-15,63.803683133057575,1.3833025047907565e-17,1.728920102792599e-21,0.0,-0.03319289870229247,0.03319289870229247,73.70501752108706,24000.0,30000.0,4.0,-5.308522996366225e-10,5.308522995994426e-10,63.80368313305756,-0.0003322679561005109,-0.0002658143648804087,1.3132218442533855e-15,63.803683133057575,3.515336272188311,67.31901940524588,4.7012971653850137e-07,4.7012971522530633e-07,0.033192898702292466,73.70501752108706,3.515336272188311,77.00000022051616,0.03319288875340853,0.0,-0.03319289866204709,0.03319289866204709,-5.308523006739888e-10,63.80368313305756,3.515336272188311,67.31901940524588,8.088344502159714e-08,8.141429732227067e-08,0.0,-3.33372022015136e-09,-41111.57265084897,0.00016150890203325987,41111.57281235787,0,-11111.572916666666,11111.572916666666,-11111.572916666666,-3.079830824172273e-11,3.09495634108349e-21,-0.03319289870229247,30000.0,5.30852299563993e-10,-0.0002658143648804087,-5.308523017118043e-10,1.312184028839059e-15,0.033192898702292466,-0.03319289866204709,0.03319289866204709,-3.3337200536320284e-09,-41111.57265084897,11111.572916666666
3,3,-0.03311682074610045,1641.5148358458562,3.3450211940655086,0.03311596641955621,358.4820330448174,67.47797604405976,8.543244757019713e-07,0.0031306971507664904,77.00001252278861,-6.227090230343726e-13,6.23325779651397e-17,64.13295484999425,7.420382624444285e-19,9.285864375605276e-23,0.0,-0.033116821266830215,0.033116821266830215,73.87433596709748,24000.0,30000.0,4.0,-5.227983481168677e-10,5.227983480902431e-10,64.13295484999423,-0.0003289155940117155,-0.0002631324752093724,6.129138613745519e-17,64.13295484999425,3.3450211940655086,67.47797604405976,4.7012582131139104e-07,4.70125821250103e-07,0.03311682126683021,73.87433596709748,3.3450211940655086,77.00001252278861,0.0331168113180001,0.0,-0.033115966942354504,0.033115966942354504,-5.227983491542281e-10,64.13295484999423,3.3450211940655086,67.47797604405976,8.088742312712674e-08,8.141022147628052e-08,2.066115702479339e-06,-0.03231830036569753,-41108.56245988947,0.00016169859519207403,41108.56262158807,0,-11108.595041322315,11108.595041322315,-11108.595041322315,-2.0685784627514972e-12,1.3051530863706528e-21,-0.033116821266830215,30000.0,5.227983480650637e-10,-0.0002631324752093724,-5.22798350192044e-10,6.025357015041259e-17,0.03311682126683021,-0.033115966942354504,0.033115966942354504,-0.03231830036569753,-41108.56245988947,11108.595041322315
4,4,5.089923684303694e-10,1641.5148376782286,3.345021196683184,4.1117776836332856e-08,358.48218106881404,67.4779762414251,-4.166958856954493e-08,0.002980686631916128,77.00001192274654,-9.244593432669347e-13,0.0,64.1329550447419,0.0,0.0,0.0,-1.7589651626259314e-11,1.7596540888542483e-15,73.65499072606335,3.4075090968402196e-17,2.2311805274693515e-17,0.0,-5.517976856437403e-10,5.517976856271974e-10,64.13295504474189,-0.0003471603626000037,-0.00027772829008000297,-1.579641245809138e-14,64.1329550447419,3.345021196683184,67.4779762414251,4.698697245128964e-07,4.698697403093129e-07,1.7584878496230384e-15,73.65499072606335,3.345021196683184,77.00001192274654,3.990243266132738e-07,3.990243248548424e-07,-4.1669590324705974e-08,4.166959032361141e-08,-5.517976866811351e-10,64.13295504474189,3.345021196683184,67.4779762414251,8.087296709423453e-08,8.142476478091524e-08,0.0,-3.3337342729522424e-09,-11204.177408208796,0.00016193876231452038,11204.177570147558,0,-11204.177685950413,11204.177685950413,-11204.177685950413,-2.8504787360203393e-12,0.0,-3.9954838433119875e-11,2.3421595242984544e-17,5.517976856119745e-10,-0.00027772829008000297,-5.517976877189548e-10,-1.579745027774657e-14,1.757378067177692e-15,-4.166959032581321e-08,4.1669590322539906e-08,-3.3337341066019107e-09,-11204.177408208796,11204.177685950413
5,5,6.247618320009928e-10,1641.5148399273712,3.3450211998962445,4.261542545704827e-08,358.48233448434564,67.47797644597914,-4.328166652385573e-08,0.002824872632430247,77.00001129949052,-9.255511593899258e-13,0.0,64.13295524608289,0.0,0.0,0.0,-1.6900359491993052e-11,1.2685416751006354e-15,73.65499009959429,0.0,0.0,0.0,-6.662419402607733e-10,6.662419402436067e-10,64.13295524608286,-0.0004191623131158366,-0.0003353298504926693,-3.8301171734895835e-16,64.13295524608289,3.3450211998962445,67.47797644597914,4.6961826581422927e-07,4.696182661972425e-07,1.2662870453236657e-15,73.65499009959429,3.3450211998962445,77.00001129949052,8.11486058134006e-08,8.114860454820596e-08,-4.3281667786673465e-08,4.328166778555482e-08,-6.662419412982519e-10,64.13295524608286,3.3450211998962445,67.47797644597914,8.081589442749305e-08,8.148213636879096e-08,0.0,-3.3337894198529445e-09,-11631.102970449037,0.00016342445597660013,11631.103133873494,0,-11631.103305785124,11631.103305785124,-11631.103305785124,-2.829879942556184e-12,0.0,-3.8650228272046513e-11,0.0,6.66241940228058e-10,-0.0003353298504926693,-6.662419423360703e-10,-3.8404953561478266e-16,1.2651248209519479e-15,-4.328166778781832e-08,4.32816677844717e-08,-3.3337892540378467e-09,-11631.102970449037,11631.103305785124
6,6,8.488981445946606e-10,1641.5148429834046,3.3450212042620064,4.420427677240133e-08,358.48249361974206,67.47797665815966,-4.5092415686517564e-08,0.0026625399359587834,77.00001065015974,-6.054893376449385e-13,0.0,64.13295545389765,0.0,0.0,0.0,-1.6183831093689847e-11,1.1968167616723261e-15,73.65498944589773,0.0,0.0,0.0,-8.881396742565029e-10,8.881396742382371e-10,64.13295545389762,-0.0005587680074477338,-0.00044701440595818707,-4.2429411946746494e-16,64.13295545389765,3.3450212042620064,67.47797665815966,4.6933170273376306e-07,4.69331703158058e-07,1.1945535810664546e-15,73.65498944589773,3.3450212042620064,77.00001065015974,8.114860678446696e-08,8.114860559092804e-08,-4.50924168773661e-08,4.5092416876206295e-08,-8.881396752940721e-10,64.13295545389762,3.3450212042620064,67.47797665815966,8.070535154731898e-08,8.15934912226128e-08,0.0,-3.3338559729827342e-09,-12233.545007524797,0.00017205423553659838,12233.545179579032,0,-12233.545454545454,12233.545454545454,-12233.545454545454,-2.0257678299521758e-12,0.0,-3.7215761785080484e-11,0.0,8.881396742221365e-10,-0.00044701440595818707,-8.881396763319009e-10,-4.253319482117602e-16,1.1933050645318155e-15,-4.509241687857411e-08,4.509241687510301e-08,-3.3338558078639864e-09,-12233.545007524797,12233.545454545454
7,7,9.281787153840582e-09,1641.5148763978384,3.345021251996912,3.7832649572526823e-08,358.4826298172805,67.47797683975637,-4.714915303188853e-08,0.0024928029850439844,77.00000997121194,0.0,0.0,64.13295558775945,0.0,0.0,0.0,-1.5197990434672984e-11,1.0981487593319896e-15,73.65498871921503,0.0,0.0,0.0,-9.316504030597276e-09,9.316504030480385e-09,64.13295558775916,-0.00586142535382148,-0.004689140283057184,-5.140462925666375e-16,64.13295558775945,3.345021251996912,67.47797683975637,4.6907101602708603e-07,4.6907101654113106e-07,1.0958453969284437e-15,73.65498871921503,3.345021251996912,77.00000997121194,8.114860733576273e-08,8.114860624084402e-08,-4.7149154123677885e-08,4.714915412245584e-08,-9.316504031635202e-09,64.13295558775916,3.345021251996912,67.47797683975637,7.66022193679784e-08,8.59187233996137e-08,0.0032148760330578514,-50.40921462871923,-13021.263782178505,0.00010837103606595003,13021.26389054954,0,-13071.677685950413,13071.677685950413,-13071.677685950413,0.0,0.0,-3.517883162017816e-11,0.0,9.316504030414884e-09,-0.004689140283057184,-9.316504032673041e-09,-5.150841313828295e-16,1.0944687169311607e-15,-4.714915412498056e-08,4.714915412132183e-08,-50.40921462871923,-13021.263782178505,13071.677685950413
8,8,3.6573274401696746e-09,1641.5148895642171,3.3450212708060243,4.5828967361359746e-08,358.482794801563,67.47797705973542,-4.9517129555439795e-08,0.0023145413186444006,77.00000925816528,0.0,0.0,64.1329557889294,0.0,0.0,0.0,-1.4067056933418068e-11,9.84995252307744e-16,73.65498798735925,0.0,0.0,0.0,-3.688162588495241e-09,3.6881625884457268e-09,64.13295578892928,-0.0023203864563396703,-0.0018563091650717364,-5.769891019770417e-16,64.1329557889294,3.3450212708060243,67.47797705973542,4.688085210764036e-07,4.6880852165339e-07,9.825967592502197e-16,73.65498798735925,3.3450212708060243,77.00000925816528,8.114860761130894e-08,8.1148606629553e-08,-4.9517130533484095e-08,4.951713053217327e-08,-3.6881625895328654e-09,64.13295578892928,3.3450212708060243,67.47797705973542,7.932185334749128e-08,8.301001593702391e-08,0.04175206611570247,-654.672359119358,-12190.112974651203,0.00011096040228426614,12190.113085611605,0,-12844.787190082645,12844.787190082645,-12844.787190082645,0.0,0.0,-3.278906301007836e-11,0.0,3.6881625884139692e-09,-0.0018563091650717364,-3.6881625905707145e-09,-5.78026950672983e-16,9.81039076453559e-16,-4.9517130534921186e-08,4.951713053099526e-08,-654.672359119358,-12190.112974651203,12844.787190082645
9,9,0.01715432603742563,1703.2704632989494,3.4332435189984993,-0.01715427377828377,296.72740919974143,67.39563654559966,-5.228953839835664e-08,0.002126298980410316,77.00000850519592,0.0,0.0,63.962393026601156,0.0,0.0,0.0,-1.316370789412842e-11,8.940898030240197e-16,73.56676498619743,0.0,0.0,0.0,-0.017154326067822526,0.017154326067822526,63.903538914142786,-10753.93922695992,-8603.151381567935,-5.224299300502316e-16,63.962393026601156,3.4332435189984993,67.39563654559966,4.685137850468462e-07,4.6851378556927477e-07,8.915018275676697e-16,73.56676498619743,3.4332435189984993,77.00000850519592,8.114860774796179e-08,8.114860685723933e-08,-5.228953928461719e-08,5.2289539283182526e-08,-0.017154326067822526,63.903538914142786,3.4332435189984993,67.39563654559966,0.0,0.017154316141774578,0.14980371900826447,-2348.9222972985563,-0.0007012958799104656,7.610872040739546e-05,0.0007774046003178609,0,-10952.07438016529,10952.07438016529,-10952.07438016529,0.0,0.0,-3.085210001882459e-11,0.0,0.017154326067822526,-8603.151381567935,-0.017154326067822526,-5.234677874508617e-16,8.896932149483887e-16,-5.228953928624124e-08,5.2289539281942966e-08,-2348.9222972985563,-0.0007012958799104656,10952.07438016529
