,t,Reservoir0s.Q,Reservoir0s.W,Reservoir0s.z,Reservoir1s.Q,Reservoir1s.W,Reservoir1s.z,Reservoir2s.Q,Reservoir2s.W,Reservoir2s.z,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.Ph,Pump1s.Pe,Pump1s.N_on,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.Ph,Pump2s.Pe,Pump2s.N_on,Turb1s.Qin,Turb1s.Qout,Turb1s.H,Turb1s.Ph,Turb1s.Pe,Pipe01s.Q,Pipe01s.H,Pipe01s.zlow,Pipe01s.zhigh,Pipe01s.Qp,Pipe01s.Qn,Pipe02s.Q,Pipe02s.H,Pipe02s.zlow,Pipe02s.zhigh,Pipe02s.Qp,Pipe02s.Qn,VarSources.Qin,VarSources.Qout,Pipe01Ts.Q,Pipe01Ts.H,Pipe01Ts.zlow,Pipe01Ts.zhigh,Pipe01Ts.Qp,Pipe01Ts.Qn,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBs.P_bal,BatsDim.E,BatsDim.P,BatsDim.Pch,BatsDim.Pdc,Loads.P,Loads.Pin,Loads.Pout,p1r0s_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2ebs_expanded.P,t1r0s_expanded.Q,t1ebs_expanded.P,c01tr1s_expanded.Q,c01r1_Qs_expanded.Q,c02r2_Qs_expanded.Q,c21r2_Qs_expanded.Q,c21r1_Qs_expanded.Q,pvebs_expanded.P,gridebs_expanded.P,loadebs_expanded.P,batebsdim_expanded.P
0,0,6.930996995890434e-09,2500.0,4.0,1.763713190061457e-12,7.06638105486515e-09,67.00000000000942,2.2248319767905026e-12,6.817209794590038e-09,77.00000000002727,0.0,0.0,62.99999997006345,0.0,0.0,0.0,0.0,0.0,72.99999997008099,0.0,0.0,0.0,-8.008164133055564e-13,0.0,62.99999997006345,-9.262562760417437e-07,-7.410050302269501e-07,1.991692173579328e-09,62.99999997006345,4.000000029946085,67.00000000000942,1.4610113917765033e-07,1.4410944700386074e-07,-3.312166379834115e-09,72.99999997008099,4.000000029946085,77.00000000002727,1.434546667606489e-07,1.4676683313025126e-07,0.0,0.0,1.9909035443139184e-09,62.99999997006345,4.000000029946085,67.00000000000942,1.461007334599316e-07,1.441098299177902e-07,8.19672131147541e-06,-0.52999635538211,-11218.34864613664,0.0006247681867030498,11218.349270904826,0,0.006871694800403926,-0.0025042880147110157,0.025413130987504536,0.02791741900221555,-11218.881147540984,11218.881147540984,-11218.881147540984,0.0,0.0,0.0,0.0,0.0,-7.410050349237277e-07,3.9826079072136534e-09,3.9833965364790635e-09,-6.623792273878815e-09,0.0,0.0,-0.52999635538211,-11218.34864613664,11218.881147540984,-0.0025042880147110157
1,1,-6.306956319385067e-13,2500.0,4.0,2.878527248126516e-12,1.8146164299195276e-08,67.0000000000242,3.3305894045671953e-12,1.7615929979242655e-08,77.00000000007046,0.0,0.0,62.99999997008014,0.0,0.0,0.0,0.0,0.0,72.99999997012608,0.0,0.0,0.0,-1.0765867001204354e-12,0.0,62.99999997008014,-1.0969229490873032e-06,-8.775383686710542e-07,1.9918870438263136e-09,62.99999997008014,4.0000000299441725,67.0000000000242,1.4610123547087252e-07,1.441093484276371e-07,-3.3099932005675177e-09,72.99999997012608,4.0000000299441725,77.00000000007046,1.4345574009516497e-07,1.4676573328486694e-07,0.0,0.0,1.9908266081638053e-09,62.99999997008014,4.0000000299441725,67.0000000000242,1.4610069317626125e-07,1.441098665706627e-07,8.19672131147541e-06,-0.5299943008730302,-10904.400067137352,0.0006192425561946355,10904.400686379908,0,0.00663271496610361,-0.00026553314922257254,0.026532508417672684,0.026798041566895258,-10904.930327868853,10904.930327868853,-10904.930327868853,0.0,0.0,0.0,0.0,0.0,-8.775383733716601e-07,3.98272980559299e-09,3.983790241255498e-09,-6.6194422888710855e-09,0.0,0.0,-0.5299943008730302,-10904.400067137352,10904.930327868853,-0.00026553314922257254
2,2,-1.8568420756191826e-12,2500.0,4.0,2.1647786911036213e-12,2.6656382252609213e-08,67.00000000003554,2.6410594003328927e-12,2.5932767083298087e-08,77.00000000010373,0.0,0.0,62.99999997009864,0.0,0.0,0.0,0.0,0.0,72.99999997016651,0.0,0.0,0.0,-1.3268958778708492e-12,0.0,62.99999997009864,-1.251600430031583e-06,-1.0012803534277646e-06,1.9916912604801436e-09,62.99999997009864,4.000000029937013,67.00000000003554,1.4610113612951834e-07,1.441094448698009e-07,-3.3088126779156304e-09,72.99999997016651,4.000000029937013,77.00000000010373,1.43456323255057e-07,1.4676513592117556e-07,0.0,0.0,1.9903805050862414e-09,62.99999997009864,4.000000029937013,67.00000000003554,1.4610046768654052e-07,1.4411008718449223e-07,2.0491803278688526e-06,-0.1323688296326626,-10732.218292458121,0.0006203651723246429,10732.218912823293,0,0.008704202878833675,0.0023016532363667424,0.027816101612639834,0.025514448376273095,-10732.348360655738,10732.348360655738,-10732.348360655738,0.0,0.0,0.0,0.0,0.0,-1.0012803581290139e-06,3.982087909088748e-09,3.98339866448265e-09,-6.6170813922012445e-09,0.0,0.0,-0.1323688296326626,-10732.218292458121,10732.348360655738,0.0023016532363667424
3,3,-1.420933336571139e-12,2500.0,4.0,1.6897569569954017e-12,3.345647250570221e-08,67.00000000004461,2.167581452473349e-12,3.25454583109308e-08,77.00000000013019,0.0,0.0,62.99999997011298,0.0,0.0,0.0,0.0,0.0,72.99999997019825,0.0,0.0,0.0,-1.5884319497603786e-12,0.0,62.99999997011298,-1.413219131475981e-06,-1.1305753145843005e-06,1.9915538623546114e-09,62.99999997011298,4.000000029931737,67.00000000004461,1.4610106646818652e-07,1.4410951260674358e-07,-3.3077716420971807e-09,72.99999997019825,4.000000029931737,77.00000000013019,1.4345683738639542e-07,1.4676460901586735e-07,0.0,0.0,1.9899815865199023e-09,62.99999997011298,4.000000029931737,67.00000000004461,1.4610026619041883e-07,1.4411028460740024e-07,0.0,-3.3293015335920774e-09,-10674.660814937582,0.0006204769129115924,10674.661435414495,0,0.00958622615085908,0.000980025857806005,0.027155287921557605,0.0261752620637516,-10674.659836065573,10674.659836065573,-10674.659836065573,0.0,0.0,0.0,0.0,0.0,-1.1305753192860584e-06,3.9815516084906515e-09,3.983123884325361e-09,-6.614999423406913e-09,0.0,0.0,-3.331333035908009e-09,-10674.660814937582,10674.659836065573,0.000980025857806005
4,4,-9.93779432815927e-13,2500.0,4.0,1.3061489455894286e-12,3.887553278274057e-08,67.00000000005183,1.7846130652315289e-12,3.777981957729425e-08,77.00000000015112,0.0,0.0,62.99999997012363,0.0,0.0,0.0,0.0,0.0,72.99999997022262,0.0,0.0,0.0,-1.8796677464379334e-12,0.0,62.99999997012363,-1.593194471219946e-06,-1.2745555863803435e-06,1.991439586368614e-09,62.99999997012363,4.000000029928306,67.00000000005183,1.461010085921079e-07,1.4410956900678834e-07,-3.306782007315886e-09,72.99999997022262,4.000000029928306,77.00000000015112,1.434573265952115e-07,1.4676410858909545e-07,0.0,0.0,1.9895760863649095e-09,62.99999997012363,4.000000029928306,67.00000000005183,1.4610006171382614e-07,1.4411048563145083e-07,2.0491803278688526e-06,-0.1323871491554484,-10516.762600890346,0.0006172010898530009,10516.763218091435,0,0.00913400379776517,-0.0005024692812154553,0.02641404035175205,0.026916509632967506,-10516.89549180328,10516.89549180328,-10516.89549180328,0.0,0.0,0.0,0.0,0.0,-1.2745555910825366e-06,3.981031844465855e-09,3.9828953444695595e-09,-6.613020253066027e-09,0.0,0.0,-0.1323871491554484,-10516.762600890346,10516.89549180328,-0.0005024692812154553
5,5,-5.473752769730548e-13,2500.0,4.0,9.54547749030221e-13,4.3028791420170644e-08,67.00000000005737,1.4538825967017116e-12,4.182390942743968e-08,77.00000000016729,0.0,0.0,62.99999997013068,0.0,0.0,0.0,0.0,0.0,72.9999999702403,0.0,0.0,0.0,-2.2190194494837246e-12,0.0,62.99999997013068,-1.8029078252834575e-06,-1.4423262696319377e-06,1.9913358768823593e-09,62.99999997013068,4.000000029926803,67.00000000005737,1.4610095612301482e-07,1.4410962024731357e-07,-3.3057867103013597e-09,72.9999999702403,4.000000029926803,77.00000000016729,1.434578187904569e-07,1.4676360548649303e-07,0.0,0.0,1.989133034132067e-09,62.99999997013068,4.000000029926803,67.00000000005737,1.4609983893091776e-07,1.441107059013188e-07,0.0,-3.3293248735974075e-09,-10500.779828588193,0.0006114531707798826,10500.780440041364,0,0.010161380079929911,0.0011415292024052647,0.02723603959399985,0.026094510391594584,-10500.77868852459,10500.77868852459,-10500.77868852459,0.0,0.0,0.0,0.0,0.0,-1.4423262743345233e-06,3.980485092246711e-09,3.982687934997004e-09,-6.611029760247857e-09,0.0,0.0,-3.331356521990956e-09,-10500.779828588193,10500.77868852459,0.0011415292024052647
6,6,-5.500692789535993e-14,2500.0,4.0,5.845775281077372e-13,4.585012407089809e-08,67.00000000006114,1.1741656125808568e-12,4.4861376186299584e-08,77.00000000017944,0.0,0.0,62.99999997013382,0.0,0.0,0.0,0.0,0.0,72.99999997025182,0.0,0.0,0.0,-2.6348119420440396e-12,0.0,62.99999997013382,-2.0598650273125486e-06,-1.6478920312559625e-06,1.991243671717714e-09,62.99999997013382,4.000000029927428,67.00000000006114,1.4610090950209724e-07,1.4410966583168872e-07,-3.304792019846099e-09,72.99999997025182,4.000000029927428,77.00000000017944,1.4345831079094663e-07,1.4676310279567763e-07,0.0,0.0,1.9886250427205733e-09,62.99999997013382,4.000000029927428,67.00000000006114,1.4609958488762935e-07,1.4411095985007837e-07,0.0012438524590163936,-80.45225089439467,-10703.351390087932,0.00037204446647240777,10703.351762132397,0,0.003111896371405951,-0.00783275967613773,0.022748895179029463,0.03058165485516719,-10783.811475409837,10783.811475409837,-10783.811475409837,0.0,0.0,0.0,0.0,0.0,-1.6478920359589242e-06,3.9798849025530065e-09,3.982503531550147e-09,-6.609040482155152e-09,0.0,0.0,-80.45225089439467,-10703.351390087932,10783.811475409837,-0.00783275967613773
7,7,5.174612276915342e-13,2500.0,4.0,1.064272261827005e-13,4.695009434948731e-08,67.0000000000626,9.982219861384994e-13,4.726574754010035e-08,77.00000000018906,0.0,0.0,62.99999997013219,0.0,0.0,0.0,0.0,0.0,72.99999997025834,0.0,0.0,0.0,-3.1672430355500157e-12,0.0,62.99999997013219,-2.3889104283463812e-06,-1.9111283520837903e-06,1.991184544952905e-09,62.99999997013219,4.000000029930526,67.0000000000626,1.4610087956573924e-07,1.44109695022211e-07,-3.3039540135462025e-09,72.99999997025834,4.000000029930526,77.00000000018906,1.4345872516249276e-07,1.467626791602175e-07,0.0,0.0,1.988033485274028e-09,62.99999997013219,4.000000029930526,67.0000000000626,1.460992914502431e-07,1.4411125797091368e-07,0.036772540983606564,-2378.447833624833,-8437.709707306274,0.0003844427798576749,8437.710091749053,0,0.010269324789478035,0.007952698242302315,0.030641624138993746,0.02268892589669143,-10816.149590163934,10816.149590163934,-10816.149590163934,0.0,0.0,0.0,0.0,0.0,-1.911128356787133e-06,3.97923421952819e-09,3.982385279207067e-09,-6.607364558817951e-09,0.0,0.0,-2378.447833624833,-8437.709707306274,10816.149590163934,0.007952698242302315
8,8,1.247869777942397e-12,2500.0,4.0,-7.271921617143019e-13,4.504905379151534e-08,67.00000000006007,1.1472838995891295e-12,5.0206782535166994e-08,77.00000000020083,0.0,0.0,62.999999970123405,0.0,0.0,0.0,0.0,0.0,72.99999997026384,0.0,0.0,0.0,-3.914514961363406e-12,0.0,62.999999970123405,-2.8507383160084637e-06,-2.2805906622143307e-06,1.991237225483523e-09,62.999999970123405,4.000000029936778,67.00000000006007,1.4610090591138097e-07,1.441096686873878e-07,-3.303840790910657e-09,72.99999997026384,4.000000029936778,77.00000000020083,1.4345878123673294e-07,1.4676262201185103e-07,0.0,0.0,1.9873388786442446e-09,62.999999970123405,4.000000029936778,67.00000000006007,1.460989555134403e-07,1.4411161664174466e-07,0.15173975409836066,-9814.52726940634,-841.499945269352,0.00022134778794185978,841.5001666171399,0,0.0015678820811471687,-0.009668269675923184,0.021831140191588765,0.03149940986751195,-10656.036885245901,10656.036885245901,-10656.036885245901,0.0,0.0,0.0,0.0,0.0,-2.28059066691811e-06,3.978592279198228e-09,3.982490626037506e-09,-6.607138133839057e-09,0.0,0.0,-9814.52726940634,-841.499945269352,10656.036885245901,-0.009668269675923184
9,9,2.2785482248741373e-12,2500.0,4.0,-2.6822250289799714e-12,3.611003264738602e-08,67.00000000004815,2.3219398005930424e-12,5.7375785882536186e-08,77.0000000002295,0.0,0.0,62.999999970100774,0.0,0.0,0.0,0.0,0.0,72.99999997028182,0.0,0.0,0.0,-5.066793233844154e-12,0.0,62.999999970100774,-3.5628853822926236e-06,-2.8503083152428556e-06,1.9916198813529925e-09,62.999999970100774,4.000000029947484,67.00000000004815,1.461010983037807e-07,1.441094784238214e-07,-3.3060434718063687e-09,72.99999997028182,4.000000029947484,77.0000000002295,1.4345769216431288e-07,1.4676373562265865e-07,0.0,0.0,1.9865691988898374e-09,62.999999970100774,4.000000029947484,67.00000000004815,1.4609860618843893e-07,1.44112036997977e-07,0.3207190082644628,-20744.105378822896,11442.622143202145,11442.622369082412,0.00022588026717608182,0,0.0067694092297872046,0.005779474609600043,0.029555012310756884,0.023775537701156844,-9301.477459016394,9301.477459016394,-9301.477459016394,0.0,0.0,0.0,0.0,0.0,-2.8503083199472342e-06,3.978205199441433e-09,3.983255881904588e-09,-6.611543290600152e-09,0.0,0.0,-20744.105378822896,11442.622143202145,9301.477459016394,0.005779474609600043
