,t,Reservoir0s.Q,Reservoir0s.W,Reservoir0s.z,Reservoir1s.Q,Reservoir1s.W,Reservoir1s.z,Reservoir2s.Q,Reservoir2s.W,Reservoir2s.z,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.Ph,Pump1s.Pe,Pump1s.N_on,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.Ph,Pump2s.Pe,Pump2s.N_on,Turb1s.Qin,Turb1s.Qout,Turb1s.H,Turb1s.Ph,Turb1s.Pe,Pipe01s.Q,Pipe01s.H,Pipe01s.zlow,Pipe01s.zhigh,Pipe01s.signQ,Pipe02s.Q,Pipe02s.H,Pipe02s.zlow,Pipe02s.zhigh,Pipe02s.signQ,VarSources.Qin,VarSources.Qout,Pipe01Ts.Q,Pipe01Ts.H,Pipe01Ts.zlow,Pipe01Ts.zhigh,Pipe01Ts.signQ,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBs.P_bal,Bats.E,Bats.P,Bats.Pch,Bats.Pdc,Loads.P,Loads.Pin,Loads.Pout,p1r0s_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2ebs_expanded.P,t1r0s_expanded.Q,t1ebs_expanded.P,c01tr1s_expanded.Q,c01r1_Qs_expanded.Q,c02r2_Qs_expanded.Q,c21r2_Qs_expanded.Q,c21r1_Qs_expanded.Q,pvebs_expanded.P,gridebs_expanded.P,loadebs_expanded.P
0,0,-1.1102230246251565e-16,2499.9999999999995,3.9999999999999996,0.0,0.0,67.0,0.0,0.0,77.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.02851378998167984,58.72293150274797,3.9999999999999996,67.0000000000001,1.0,0.0,73.0000000000001,3.9999999999999996,76.99999999999999,0.0,0.0,0.0,-0.02851378998167984,58.72293150274797,3.9999999999999996,67.0000000000001,0.0,0.0,0.0,-10681.956611570247,7.958078640513122e-13,10681.956611570247,0.0,4.6566128730773915e-11,0.0,0.0,0.0,-10681.956611570247,10681.956611570231,-10681.956611570247,-0.02851378998167984,0.0,0.0,0.0,0.0,-32000.0,-0.02851378998167984,0.02851378998167984,0.0,0.0,0.0,0.0,21318.04338842974,10681.956611570247
1,1,-0.019328071610057795,2430.418942203791,3.9165027306445497,0.019328071610057795,69.58105779620806,67.09277474372828,0.0,0.0,77.0,-0.019328071610057795,0.019328071610057795,63.28834431827116,12000.0,15000.0,2.0,0.0,0.0,73.08349726935545,0.0,0.0,0.0,0.0,0.0,63.17627201308374,0.0,0.0,0.3136516897984783,18.552704176557395,3.916502730644549,68.36866191912064,1.0,0.0,74.23179572720863,3.916502730644549,76.99999999999999,1.0,0.0,0.0,-0.02851378998167984,61.323389149077386,3.916502730644549,68.36866191912064,0.0,0.0,0.0,-25663.772727272728,0.0,25663.772727272724,0.0,4.656612873077392e-11,0.0,0.0,0.0,-10663.772727272728,10663.772727272719,-10663.772727272728,-0.3136516897984783,0.0,0.0,0.0,0.0,-32000.0,-0.02851378998167984,0.3136516897984783,0.0,0.0,0.0,0.0,21336.22727272724,10663.772727272728
2,2,0.0,2430.418942203791,3.9165027306445506,0.0,69.58105779620806,67.09277474372828,0.0,1.2789769243681803e-12,77.0,0.0,0.0,63.17627201308374,0.0,0.0,0.0,0.0,0.0,73.08349726935546,0.0,0.0,0.0,0.0,0.0,63.17627201308374,0.0,0.0,0.0,65.34041188169633,3.9165027306445497,68.23179572720865,1.0,0.0,74.10861615448772,3.9165027306445497,76.99999999999999,0.0,0.0,0.0,-0.02851378998167984,61.063343384444316,3.9165027306445497,68.23179572720865,0.0,0.0,0.0,-11111.572916666668,0.0,11111.572916666666,0.0,4.656612873077392e-11,0.0,0.0,0.0,-11111.572916666666,11111.572916666664,-11111.572916666666,0.0,0.0,0.0,0.0,0.0,-32000.0,-0.02851378998167984,0.0,0.0,0.0,0.0,0.0,20888.427083333303,11111.572916666666
3,3,-0.02881021034129327,2326.7021849751354,3.7920426219701624,0.028810210341293236,173.29781502486375,67.23106375336648,0.0,0.0,77.0,-0.02881021034129327,0.028810210341293236,63.68802959552455,18000.0,22500.0,3.0,0.0,0.0,73.20795737802982,0.0,0.0,0.0,0.0,0.0,63.43902113139634,0.0,0.0,0.0,65.08036611706333,3.792042621970162,68.09492953529652,1.0,0.0,73.98543658176688,3.792042621970163,76.99999999999999,0.0,0.0,0.0,-0.02851378998167984,60.80329761981142,3.792042621970163,68.09492953529652,1.0,2.066115702479339e-06,-0.13363636363636366,-33608.46140495868,0.0,33608.46140495868,0.0,4.656612873077392e-11,0.0,0.0,0.0,-11108.595041322315,11108.595041322318,-11108.595041322315,0.0,0.0,0.0,0.0,0.0,-32000.0,-0.02851378998167984,0.0,0.0,0.0,0.0,-0.13363636363636347,20891.53859504134,11108.595041322315
4,4,0.0,2326.702184975136,3.7920426219701624,0.0,173.29781502486375,67.23106375336648,0.0,0.0,77.0,0.0,0.0,63.43902113139633,0.0,0.0,0.0,0.0,0.0,73.20795737802985,0.0,0.0,0.0,0.0,0.0,63.43902113139634,0.0,0.0,0.0,64.8203203524304,3.792042621970163,67.95806334338438,0.0,0.0,73.86225700904603,3.792042621970163,76.99999999999999,0.0,0.0,0.0,-0.02851378998167984,60.543251855178475,3.792042621970163,67.95806334338438,0.0,0.0,0.0,-11204.177685950413,0.0,11204.177685950413,0.0,4.656612873077392e-11,0.0,0.0,0.0,-11204.177685950413,11204.177685950404,-11204.177685950413,0.0,0.0,0.0,0.0,0.0,-32000.0,-0.02851378998167984,0.0,0.0,0.0,0.0,0.0,20795.822314049543,11204.177685950413
5,5,0.0,2326.702184975136,3.7920426219701624,0.0,173.29781502486375,67.23106375336648,0.0,0.0,77.0,0.0,0.0,63.439021131396345,0.0,0.0,0.0,0.0,0.0,73.20795737802983,0.0,0.0,0.0,0.0,0.0,63.43902113139634,0.0,0.0,0.0,64.56027458779751,3.792042621970163,67.82119715147243,0.0,0.0,73.73907743632518,3.792042621970163,76.99999999999999,0.0,0.0,0.0,-0.02851378998167984,60.28320609054557,3.792042621970163,67.82119715147243,0.0,0.0,0.0,-11631.103305785124,0.0,11631.103305785124,0.0,4.656612873077392e-11,0.0,0.0,0.0,-11631.103305785124,11631.103305785111,-11631.103305785124,0.0,0.0,0.0,0.0,0.0,-32000.0,-0.02851378998167984,0.0,0.0,0.0,0.0,0.0,20368.896694214836,11631.103305785124
6,6,0.0,2326.702184975136,3.7920426219701624,0.0,173.29781502486375,67.23106375336648,0.0,0.0,77.0,0.0,0.0,63.43902113139632,0.0,0.0,0.0,0.0,0.0,73.20795737802983,0.0,0.0,0.0,0.0,0.0,63.43902113139634,0.0,0.0,0.0,64.30022882316452,3.792042621970163,67.68433095956024,0.0,0.0,73.61589786360418,3.792042621970163,76.99999999999999,0.0,0.0,0.0,-0.02851378998167984,60.02316032591265,3.792042621970163,67.68433095956024,0.0,0.0,0.0,-12233.545454545452,0.0,12233.545454545452,0.0,4.656612873077392e-11,0.0,0.0,0.0,-12233.545454545454,12233.545454545438,-12233.545454545454,0.0,0.0,0.0,0.0,0.0,-32000.0,-0.02851378998167984,0.0,0.0,0.0,0.0,0.0,19766.454545454508,12233.545454545454
7,7,0.026018130418348,2420.367454481189,3.9044409453774263,-0.02601813041834813,79.63254551881047,67.10617672735843,0.0,0.0,77.0,0.0,0.0,63.20173578198099,0.0,0.0,0.0,0.0,0.0,73.09555905462257,0.0,0.0,0.0,-0.02601813041834813,0.02601813041834813,62.99866351443366,-16079.67438016529,-12863.739504132232,0.0,64.0401830585316,3.9044409453774263,67.54746476764824,0.0,0.0,73.49271829088335,3.9044409453774263,76.99999999999999,0.0,0.0,0.0,-0.02851378998167984,59.76311456127967,3.9044409453774263,67.54746476764824,0.0,0.0032148760330578514,-207.93818181818182,0.0,0.0,0.0,0.0,4.656612873077392e-11,0.0,0.0,0.0,-13071.677685950413,13071.677685950399,-13071.677685950413,0.0,0.0,0.0,0.0,0.026018130418348,-32000.0,-0.02851378998167984,0.0,0.0,0.0,0.0,-207.93818181818176,19136.26049586777,13071.677685950413
8,8,0.019566088743866894,2490.8053739591096,3.988966448750931,-0.019566088743866637,9.194626040890574,67.01225950138786,0.0,0.0,77.0,0.0,0.0,63.023293052636944,0.0,0.0,0.0,0.0,0.0,73.01103355124906,0.0,0.0,0.0,-0.019566088743866908,0.019566088743866904,62.90844355967398,-12074.908361574244,-9659.926689259397,0.0,63.78013729389864,3.9889664487509306,67.41059857573617,0.0,0.0,73.36953871816264,3.9889664487509306,76.99999999999999,0.0,0.0,0.0,-0.02851378998167984,59.5030687966469,3.9889664487509306,67.41059857573617,0.0,0.04175206611570247,-2700.5236363636354,-484.33686445961297,0.0,484.33686445961297,0.0,4.656612873077392e-11,0.0,0.0,0.0,-12844.787190082645,12844.787190082658,-12844.787190082645,0.0,0.0,0.0,0.0,0.019566088743866904,-32000.0,-0.02851378998167984,0.0,0.0,0.0,0.0,-2700.5236363636345,21855.736446280956,12844.787190082645
9,9,0.0025540627891362335,2499.9999999999995,3.9999999999999996,-0.00255406278913627,5.229594535194337e-12,67.00000000000003,0.0,0.0,77.0,0.0,0.0,63.000000000000014,0.0,0.0,0.0,0.0,0.0,72.99999999999999,0.0,0.0,0.0,-0.00255406278913627,0.00255406278913627,62.99804309197787,-1578.4622933884286,-1262.7698347107428,0.0,63.52009152926601,3.9999999999999996,67.27373238382417,0.0,0.0,73.24635914544173,3.9999999999999996,76.99999999999999,0.0,0.0,0.0,-0.02851378998167984,59.24302303201389,3.9999999999999996,67.27373238382417,0.0,0.14980371900826447,-9689.304545454546,0.0,0.0,0.0,0.0,4.656612873077392e-11,0.0,0.0,0.0,-10952.07438016529,10952.074380165297,-10952.07438016529,0.0,0.0,0.0,0.0,0.002554062789136234,-32000.0,-0.02851378998167984,0.0,0.0,0.0,0.0,-9689.30454545455,30737.23016528924,10952.07438016529
