,t,Reservoir0s.Q,Reservoir0s.W,Reservoir0s.z,Reservoir1s.Q,Reservoir1s.W,Reservoir1s.z,Reservoir2s.Q,Reservoir2s.W,Reservoir2s.z,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.Ph,Pump1s.Pe,Pump1s.N_on,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.Ph,Pump2s.Pe,Pump2s.N_on,Turb1s.Qin,Turb1s.Qout,Turb1s.H,Turb1s.Ph,Turb1s.Pe,Pipe01s.Q,Pipe01s.H,Pipe01s.zlow,Pipe01s.zhigh,Pipe01s.Qp,Pipe01s.Qn,Pipe02s.Q,Pipe02s.H,Pipe02s.zlow,Pipe02s.zhigh,Pipe02s.Qp,Pipe02s.Qn,VarSources.Qin,VarSources.Qout,Pipe01Ts.Q,Pipe01Ts.H,Pipe01Ts.zlow,Pipe01Ts.zhigh,Pipe01Ts.Qp,Pipe01Ts.Qn,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBs.P_bal,BatsDim.E,BatsDim.P,BatsDim.Pch,BatsDim.Pdc,Loads.P,Loads.Pin,Loads.Pout,p1r0s_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2ebs_expanded.P,t1r0s_expanded.Q,t1ebs_expanded.P,c01tr1s_expanded.Q,c01r1_Qs_expanded.Q,c02r2_Qs_expanded.Q,c21r2_Qs_expanded.Q,c21r1_Qs_expanded.Q,pvebs_expanded.P,gridebs_expanded.P,loadebs_expanded.P,batebsdim_expanded.P
0,0,1.6572224001217505e-12,2000.000000005966,3.85714285715138,-2.3544971334680802e-12,0.0,67.0,-1.3576624540695415e-12,0.0,77.0,-1.663093853621976e-13,1.663093034541111e-13,63.14285714283819,3.4366396230894517e-15,2.1479013501220835e-15,0.0,0.0,0.0,73.14285714282546,0.0,0.0,0.0,-1.578549639540521e-12,1.578584064073169e-12,63.14285714283819,-1.080820461070974e-06,-8.646563710907549e-07,1.6632592878123855e-09,63.14285714283819,3.85714285715138,66.9999999999895,1.2271329213195966e-07,1.2105003284443703e-07,-2.4491466533886928e-09,73.14285714282546,3.85714285715138,76.99999999997692,7.448834424166246e-08,7.693749077490094e-08,0.0,0.0,1.6615144288545119e-09,63.14285714283819,3.85714285715138,66.9999999999895,1.2001414144961678e-07,1.1835262702106673e-07,0.0,-3.3337837555790003e-09,-10681.957971345864,0.00015172448874365115,10681.958123070353,0,0.0024921179588394647,0.0013606436072713356,0.008471898445791604,0.007111254838520269,-10681.956611570247,10681.956611570247,-10681.956611570247,-1.6630934571816234e-13,2.147902935818077e-15,0.0,0.0,1.5786013648354507e-12,-8.646563722077428e-07,3.3246074076530318e-09,3.326352266610905e-09,-4.8980485367407894e-09,0.0,0.0,-3.3337837555790003e-09,-10681.957971345864,10681.956611570247,0.0013606436072713356
1,1,-0.009668718098180032,1965.1926148525179,3.8074180212178823,0.009668708102466653,34.80734916100248,67.04640979888134,5.031854323135368e-12,1.114712900703352e-08,77.00000000004458,-0.009668718680642193,0.009668718680642193,63.25768856338366,6000.0,7500.0,1.0,0.0,0.0,73.19258197882654,0.0,0.0,0.0,-5.821293052248059e-10,5.821293053833073e-10,63.23899177766343,-0.00036113818210050205,-0.00028891054568040166,0.009668718680642192,63.25768856338366,3.8074180212178823,67.04640979888134,0.00966870873494049,0.0,-3.3291024210992817e-09,73.19258197882654,3.8074180212178823,77.00000000004458,1.2026216030142355e-07,1.235912627223451e-07,0.0,0.0,-5.821293069863988e-10,63.23899177766343,3.8074180212178823,67.04640979888134,1.1698462102897447e-07,1.1756675033596086e-07,0.0,-3.333767537758189e-09,-18163.773773981902,0.00014796048515378012,18163.773921942386,0,0.0036941787079993807,0.0013356230546221288,0.008459388169439445,0.007123765114817317,-10663.772727272728,10663.772727272728,-10663.772727272728,-0.009668718680642193,7500.0,0.0,0.0,5.821293055429907e-10,-0.00028891054568040166,-5.821293087479891e-10,0.00966871868064219,-6.657871986645835e-09,0.0,0.0,-3.333767537758189e-09,-18163.773773981902,10663.772727272728,0.0013356230546221288
2,2,-0.00965407735355813,1930.4379363797086,3.757768480542441,0.009654067358496598,69.56199165159023,67.09274932220212,4.624839369084647e-12,2.6599169533244966e-08,77.0000000001064,-0.009654077935803569,0.009654077935803569,63.35362104740711,6000.0,7500.0,1.0,0.0,0.0,73.24223151956379,0.0,0.0,0.0,-5.819130068863889e-10,5.819130070470713e-10,63.33498084165965,-0.0003615519560893949,-0.00028924156487151597,0.009654077935803565,63.35362104740711,3.757768480542441,67.09274932220212,0.009654067989054214,0.0,-3.3263913260789973e-09,73.24223151956379,3.757768480542441,77.0000000001064,1.202603556208753e-07,1.2358674694625599e-07,0.0,0.0,-5.819130086500955e-10,63.33498084165965,3.757768480542441,67.09274932220212,1.165320586747168e-07,1.171139716833669e-07,0.0,-3.333767915835234e-09,-18611.57221836874,0.00014177347359949392,18611.572360142214,0,0.0033260309845185737,-0.0004090530260897851,0.007587050128417083,0.007996103154506868,-11111.572916666666,11111.572916666666,-11111.572916666666,-0.009654077935803569,7500.0,0.0,0.0,5.819130072089386e-10,-0.00028924156487151597,-5.819130104137996e-10,0.009654077935803564,-6.652450221893755e-09,0.0,0.0,-3.333767915835234e-09,-18611.57221836874,11111.572916666666,-0.0004090530260897851
3,3,-0.02876569066582584,1826.8814499827356,3.6098306428324793,0.028765680671211546,173.1184420679518,67.23082458942395,4.200449286972621e-12,4.052654136400371e-08,77.0000000001621,-0.028765691238075528,0.028765691238075528,63.786486830269425,18000.0,22500.0,3.0,0.0,0.0,73.39016935732947,0.0,0.0,0.0,-5.719179055965236e-10,5.719179057595081e-10,63.62099394659143,-0.0003569465188330348,-0.0002855572150664279,0.02876569123807552,63.786486830269425,3.6098306428324793,67.23082458942395,0.028765681260660012,0.0,-3.3176806666819936e-09,73.39016935732947,3.6098306428324793,77.0000000001621,1.2026003316945993e-07,1.2357771383210215e-07,0.0,0.0,-5.719179073623406e-10,63.62099394659143,3.6098306428324793,67.23082458942395,1.1631473131929702e-07,1.1688664922665936e-07,2.066115702479339e-06,-0.13356728662149872,-33608.46263386733,0.00014193998827792998,33608.46277580732,0,0.004626880955794459,0.0014453888569732056,0.008514271070739503,0.007068882213766298,-11108.595041322315,11108.595041322315,-11108.595041322315,-0.028765691238075524,22500.0,0.0,0.0,5.719179059236181e-10,-0.0002855572150664279,-5.719179091281551e-10,0.02876569123807552,-6.635029562078347e-09,0.0,0.0,-0.13356728662149872,-33608.46263386733,11108.595041322315,0.0014453888569732056
4,4,6.089041035126034e-10,1826.8814521747904,3.6098306459639864,-1.0603080702323277e-08,173.11840389686128,67.23082453852915,5.314476705198935e-12,5.84873546098922e-08,77.00000000023394,0.0,0.0,63.62099389256516,4.548744445346864e-23,5.953214184150304e-23,0.0,0.0,0.0,73.3901693542698,0.0,0.0,0.0,-6.08578627732338e-10,6.085786279057845e-10,63.62099389256513,-0.00037982727992088596,-0.0003038618239367088,-1.776347517966687e-18,63.62099389256516,3.6098306459639864,67.23082453852915,7.570471026183826e-08,7.570471026361462e-08,-3.2539444903573697e-09,73.3901693542698,3.6098306459639864,77.00000000023394,1.2028536267558968e-07,1.2353930710797993e-07,0.0,0.0,-6.085786295084907e-10,63.62099389256513,3.6098306459639864,67.23082453852915,1.1544746451672296e-07,1.1605604314623145e-07,0.0,-3.3337839259211103e-09,-11204.177847853485,0.00014215080987381706,11204.177990004295,0,0.0050460723631939215,0.0004657682304438465,0.00802446075670453,0.007558692526260682,-11204.177685950413,11204.177685950413,-11204.177685950413,0.0,5.927254399554525e-23,0.0,0.0,6.085786280806184e-10,-0.0003038618239367088,-6.085786312846421e-10,-3.5524988670306935e-18,-6.507563637100941e-09,0.0,0.0,-3.3337839259211103e-09,-11204.177847853485,11204.177685950413,0.0004657682304438465
5,5,7.744483122785974e-10,1826.8814549628044,3.609830649946863,-1.0768278296843638e-08,173.1183651310594,67.23082448684141,3.4234219619272512e-12,6.987549097099451e-08,77.00000000027951,0.0,0.0,63.62099383689455,0.0,0.0,0.0,0.0,0.0,73.39016935033253,0.0,0.0,0.0,-7.741899631249522e-10,7.741899632957376e-10,63.62099383689451,-0.0004831889490996743,-0.00038655115927973947,-1.7763466940994352e-18,63.62099383689455,3.609830649946863,67.23082448684141,7.570471232964664e-08,7.570471233142299e-08,-2.600768997603205e-09,73.39016935033253,3.609830649946863,77.00000000027951,1.2060215983875212e-07,1.2320293024644077e-07,0.0,0.0,-7.741899649011059e-10,63.62099383689451,3.609830649946863,67.23082448684141,1.1231981542003105e-07,1.1309400538493215e-07,0.0,-3.333846752729194e-09,-11631.102979514084,0.00014345497183507953,11631.103122969056,0,0.005100327471928035,6.028345414901425e-05,0.007821718368468343,0.007761434914319328,-11631.103305785124,11631.103305785124,-11631.103305785124,0.0,0.0,0.0,0.0,7.741899634691425e-10,-0.00038655115927973947,-7.741899666772578e-10,-3.552498517181572e-18,-5.2012765027026375e-09,0.0,0.0,-3.333846752729194e-09,-11631.102979514084,11631.103305785124,6.028345414901425e-05
6,6,1.1511869298937342e-09,1826.8814591070773,3.609830655867253,-1.114460708160358e-08,173.1183250104739,67.23082443334731,3.4403187347696215e-12,8.136158283875965e-08,77.00000000032546,0.0,0.0,63.62099377748005,2.4121614299700378e-24,4.1661955812639855e-24,0.0,0.0,0.0,73.39016934445812,0.0,0.0,0.0,-1.150937157954347e-09,1.1509371581200368e-09,63.62099377748,-0.0007183251421494675,-0.000574660113719574,-1.7763483506095186e-18,63.62099377748005,3.609830655867253,67.23082443334731,1.2186772440647917e-07,1.218677244082555e-07,-2.497626368346499e-09,73.39016934445812,3.609830655867253,77.00000000032546,8.783659840167886e-08,9.033422476636234e-08,0.0,0.0,-1.1509371597305034e-09,63.62099377748,3.609830655867253,67.23082443334731,1.0693665591548664e-07,1.0808759307521714e-07,0.0,-3.333922574533288e-09,-12233.5450626868,0.00015103030883898487,12233.545213717109,0,0.005264851786110731,0.00018280479353632948,0.007882979038174408,0.007700174244638079,-12233.545454545454,12233.545454545454,-12233.545454545454,0.0,7.601095148667219e-24,0.0,0.0,1.1509371582919474e-09,-0.000574660113719574,-1.1509371615066546e-09,-3.5524995869189144e-18,-4.995002972250704e-09,0.0,0.0,-3.333922574533288e-09,-12233.5450626868,12233.545454545454,0.00018280479353632948
7,7,0.0259234603433192,1920.2059163430263,3.7431513090614663,-0.02592347033631258,79.79383179974862,67.106391775733,4.075313253931712e-12,9.513385173744991e-08,77.00000000038054,0.0,0.0,63.36324046667153,3.183673946312787e-25,1.70626751466462e-24,0.0,0.0,0.0,73.25684869131901,0.0,0.0,0.0,-0.025923460343069485,0.025923460343069485,63.228835410903756,-16079.671133740832,-12863.736906992666,-1.7763479082591433e-18,63.36324046667153,3.7431513090614663,67.106391775733,1.218678786447664e-07,1.2186787864654276e-07,-2.49707975718191e-09,73.25684869131901,3.7431513090614663,77.00000000038054,7.446470246106749e-08,7.696178221885336e-08,0.0,0.0,-0.025923460343069485,63.228835410903756,3.7431513090614663,67.106391775733,0.0,0.025923450365238236,0.0032148760330578514,-207.93814522486716,-0.0007552120807441094,0.00010692905556692115,0.0008621411363110306,0,0.003574183066961775,-0.0018785207990543958,0.006852316243307393,0.00873083704236179,-13071.677685950413,13071.677685950413,-13071.677685950413,0.0,3.504621210637508e-24,0.0,0.0,0.025923460343069485,-12863.736906992666,-0.02592346034306949,-3.5524999823116494e-18,-4.993909800137156e-09,0.0,0.0,-207.93814522486716,-0.0007552120807441094,13071.677685950413,-0.0018785207990543958
8,8,0.019616642732057883,1990.8258301784347,3.8440369002549066,-0.019616652724673646,9.17388199092348,67.01223184265456,8.618666779357859e-13,9.733753898854359e-08,77.00000000038935,0.0,0.0,63.16819494239965,2.530575594499515e-24,4.228986880730938e-24,0.0,0.0,0.0,73.15596310013437,0.0,0.0,0.0,-0.019616642731808152,0.019616642731808152,63.091232486229835,-12141.230420151742,-9712.984336121393,-1.7775988709576934e-18,63.16819494239965,3.8440369002549066,67.01223184265456,1.2186873796667846e-07,1.2186873796845606e-07,-2.497563034929528e-09,73.15596310013437,3.8440369002549066,77.00000000038935,7.446446505194328e-08,7.696202808637245e-08,0.0,0.0,-0.019616642731808152,63.091232486229835,3.8440369002549066,67.01223184265456,0.0,0.019616632760216496,0.04175206611570247,-2700.5236235107714,-431.27888389907633,9.740133851678662e-05,431.27898130041484,0,0.0032622868036783774,-0.00034655140364821957,0.00761830093961822,0.00796485234326644,-12844.787190082645,12844.787190082645,-12844.787190082645,0.0,8.000769837583577e-24,0.0,0.0,0.019616642731808152,-9712.984336121393,-0.019616642731808156,-3.555001705582872e-18,-4.994876339027163e-09,0.0,0.0,-2700.5236235107714,-431.27888389907633,12844.787190082645,-0.00034655140364821957
9,9,0.002548290116049774,1999.999674596214,3.8571423922803056,-0.002548300108202149,1.6013957428280093e-06,67.0000000021352,2.242198834287626e-12,1.0451071133698056e-07,77.00000000041804,0.0,0.0,63.14285760985489,2.595963239085265e-25,2.4879438539656587e-24,0.0,0.0,0.0,73.14285760813767,0.0,0.0,0.0,-0.0025482901158001216,0.0025482901158001216,63.14155886334452,-1578.458531510666,-1262.766825208533,-1.777598559494961e-18,63.14285760985489,3.8571423922803056,67.0000000021352,1.218696355520285e-07,1.218696355538061e-07,-2.496759247461582e-09,73.14285760813767,3.8571423922803056,77.00000000041804,7.446486096069068e-08,7.696162020743445e-08,0.0,0.0,-0.002548290115800123,63.14155886334452,3.8571423922803056,67.0000000021352,0.0,0.0025482803126676908,0.14980371900826447,-9689.304599326504,-0.0001616249952767028,8.120235252242478e-05,0.00024282734779912756,0,0.0007476820720667324,-0.0027940052573462723,0.006394574015836803,0.009188579273183076,-10952.07438016529,10952.07438016529,-10952.07438016529,0.0,6.754221867255082e-24,0.0,0.0,0.0025482901158001216,-1262.766825208533,-0.0025482901158001246,-3.555001087338042e-18,-4.993268844679625e-09,0.0,0.0,-9689.304599326504,-0.0001616249952767028,10952.07438016529,-0.0027940052573462723
