,t,Reservoir0s.Q,Reservoir0s.W,Reservoir0s.z,Reservoir1s.Q,Reservoir1s.W,Reservoir1s.z,Reservoir2s.Q,Reservoir2s.W,Reservoir2s.z,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.Ph,Pump1s.Pe,Pump1s.N_on,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.Ph,Pump2s.Pe,Pump2s.N_on,Turb1s.Qin,Turb1s.Qout,Turb1s.H,Turb1s.Ph,Turb1s.Pe,Pipe01s.Q,Pipe01s.H,Pipe01s.zlow,Pipe01s.zhigh,Pipe01s.Qp,Pipe01s.Qn,Pipe02s.Q,Pipe02s.H,Pipe02s.zlow,Pipe02s.zhigh,Pipe02s.Qp,Pipe02s.Qn,VarSources.Qin,VarSources.Qout,Pipe01Ts.Q,Pipe01Ts.H,Pipe01Ts.zlow,Pipe01Ts.zhigh,Pipe01Ts.Qp,Pipe01Ts.Qn,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBs.P_bal,Bats.E,Bats.P,Bats.Pch,Bats.Pdc,Loads.P,Loads.Pin,Loads.Pout,p1r0s_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2ebs_expanded.P,t1r0s_expanded.Q,t1ebs_expanded.P,c01tr1s_expanded.Q,c01r1_Qs_expanded.Q,c02r2_Qs_expanded.Q,c21r2_Qs_expanded.Q,c21r1_Qs_expanded.Q,pvebs_expanded.P,gridebs_expanded.P,batebs_expanded.P,loadebs_expanded.P
0,0,0.0,2500.0,4.000000000000001,-1.865174681370263e-16,-6.714628852932945e-13,67.0,1.865174681370263e-16,6.714628852932947e-13,77.0,0.0,0.0,62.99999220527594,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,63.000011475269424,0.0,0.0,0.0,62.99999220527594,4.000000000000001,67.0,0.0,0.0,0.0,73.0,4.000000000000001,77.0,0.0,0.0,1.8651746813702627e-16,-1.8651746813702627e-16,0.0,63.000011475269424,4.000000000000001,67.0,1.147526942671196e-07,1.147526942671196e-07,8.19672131147541e-06,-0.5301639344262296,-11218.350983606546,0.0,11218.350983606548,0,115199999.99999999,-1.0595322241423166e-11,-1.1772580268247961e-11,0.0,-11218.881147540984,11218.881147540984,-11218.881147540984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8651746813702627e-16,-1.8651746813702627e-16,-0.5301639344262296,-11218.350983606546,-1.0595322241423166e-11,11218.881147540984
1,1,0.0,2500.0,4.000000000000001,0.0,-6.714628852932945e-13,67.0,0.0,6.714628852932947e-13,77.0,0.0,0.0,62.999986252801,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,63.00000947870853,0.0,0.0,0.0,62.999986252801,4.000000000000001,67.0,0.0,0.0,0.0,73.0,4.000000000000001,77.0,0.0,0.0,0.0,0.0,0.0,63.00000947870853,4.000000000000001,67.0,1.4836397037988346e-05,1.4836397037988344e-05,8.19672131147541e-06,-0.5301639344262296,0.0,0.0,0.0,0,75944159.40983602,-10904.400163934426,0.0,9813.960147540984,-10904.930327868853,10904.930327868853,-10904.930327868853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5301639344262296,0.0,-10904.400163934426,10904.930327868853
2,2,0.0,2500.0,4.000000000000001,-2.871776890363738e-16,-1.7053025658242402e-12,67.0,2.8717768903637375e-16,1.7053025658242402e-12,77.00000000000001,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,72.99999853768023,0.0,0.0,0.0,0.0,0.0,63.000010557894655,0.0,0.0,0.0,63.0,4.000000000000001,67.0,0.0,0.0,0.0,72.99999853768023,4.000000000000001,77.00000000000001,1.1182491059784341e-05,1.1182491059784343e-05,2.871776890363737e-16,-2.8717768903637365e-16,0.0,63.000010557894655,4.000000000000001,67.0,1.0557894661506306e-07,1.0557894661506303e-07,2.0491803278688526e-06,-0.1325409836065574,-21636.615983606574,0.0,21636.615983606574,0,115200000.0,10904.40016393444,12116.000182149379,0.0,-10732.348360655738,10732.348360655738,-10732.348360655738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.871776890363737e-16,-2.871776890363737e-16,-0.1325409836065574,-21636.615983606574,10904.40016393444,10732.348360655738
3,3,0.0,2500.0,4.000000000000001,1.4210854715202003e-15,3.410605131648481e-12,67.0,-1.4210854715201999e-15,-3.4106051316484793e-12,76.99999999999999,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,72.99999319661137,0.0,0.0,0.0,0.0,0.0,63.00000940004482,0.0,0.0,0.0,63.0,4.000000000000001,67.0,0.0,0.0,0.0,72.99999319661137,4.000000000000001,76.99999999999999,1.2027277101077505e-05,1.2027277101077502e-05,-1.4210854715201999e-15,1.4210854715202e-15,0.0,63.00000940004482,4.000000000000001,67.0,1.4305114746093748e-05,1.4305114746093748e-05,0.0,0.0,-10674.659836065573,0.0,10674.659836065572,0,115200000.0,5.819945047706178e-12,0.0,-5.23795054293556e-12,-10674.659836065573,10674.659836065573,-10674.659836065573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4210854715201999e-15,1.4210854715202003e-15,0.0,-10674.659836065573,5.819945047706178e-12,10674.659836065573
4,4,0.0,2500.0,4.000000000000001,0.0,3.410605131648481e-12,67.0,0.0,-3.4106051316484793e-12,76.99999999999999,0.0,0.0,62.99998707006605,0.0,0.0,0.0,0.0,0.0,72.99999319165458,0.0,0.0,0.0,0.0,0.0,63.000010477378964,0.0,0.0,0.0,62.99998707006605,4.000000000000001,67.0,1.4019731931388769e-07,1.401973193138877e-07,0.0,72.99999319165458,4.000000000000001,76.99999999999999,1.2031480786359518e-05,1.2031480786359518e-05,0.0,0.0,0.0,63.000010477378964,4.000000000000001,67.0,1.0477378964424127e-07,1.0477378964424127e-07,2.0491803278688526e-06,-0.1325409836065574,-10516.762950819675,0.0,10516.762950819673,0,115200000.0,0.0,0.0,0.0,-10516.89549180328,10516.89549180328,-10516.89549180328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1325409836065574,-10516.762950819675,0.0,10516.89549180328
5,5,0.0,2500.0,4.000000000000001,0.0,3.410605131648481e-12,67.0,0.0,-3.4106051316484793e-12,76.99999999999999,0.0,0.0,62.99998597331931,0.0,0.0,0.0,0.0,0.0,72.99999999999999,0.0,0.0,0.0,0.0,0.0,63.000009400044824,0.0,0.0,0.0,62.99998597331931,4.000000000000001,67.0,1.4026680687718203e-07,1.4026680687718203e-07,0.0,72.99999999999999,4.000000000000001,76.99999999999999,0.0,0.0,0.0,0.0,0.0,63.000009400044824,4.000000000000001,67.0,1.4305114746093747e-05,1.4305114746093745e-05,0.0,0.0,-2483.3490163935103,0.0,2483.34901639351,0,86337253.18032813,-8017.42967213108,0.0,7215.686704917972,-10500.77868852459,10500.77868852459,-10500.77868852459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2483.3490163935103,-8017.42967213108,10500.77868852459
6,6,0.0,2500.0,4.000000000000001,0.0,3.410605131648481e-12,67.0,0.0,-3.4106051316484793e-12,76.99999999999999,0.0,0.0,62.99998398568564,0.0,0.0,0.0,0.0,0.0,72.99999315313195,0.0,0.0,0.0,0.0,0.0,63.00000910204567,0.0,0.0,0.0,62.99998398568564,4.000000000000001,67.0,0.0,0.0,0.0,72.99999315313195,4.000000000000001,76.99999999999999,1.2039543039366784e-05,1.2039543039366786e-05,0.0,0.0,0.0,63.00000910204567,4.000000000000001,67.0,1.047737896442413e-07,1.0477378964424129e-07,0.0012438524590163936,-80.45237704918033,0.0,0.0,0.0,0,47805160.42622976,-10703.359098360657,0.0,9633.023188524594,-10783.811475409837,10783.811475409837,-10783.811475409837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.45237704918033,0.0,-10703.359098360657,10783.811475409837
7,7,0.0,2500.0,4.000000000000001,1.5789838572446664e-16,3.979039320256561e-12,67.0,-1.5789838572446666e-16,-3.9790393202565594e-12,76.99999999999997,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,72.99999317733631,0.0,0.0,0.0,0.0,0.0,63.00000940004482,0.0,0.0,0.0,63.0,4.000000000000001,67.0,0.0,0.0,0.0,72.99999317733631,4.000000000000001,76.99999999999997,1.2043615045324088e-05,1.2043615045324088e-05,-1.5789838572446664e-16,1.5789838572446664e-16,0.0,63.00000940004482,4.000000000000001,67.0,1.4305114746093748e-05,1.4305114746093748e-05,0.036772540983606564,-2378.4479508196723,0.0,0.0,0.0,0,17429434.524590418,-8437.701639344263,0.0,7593.931475409836,-10816.149590163934,10816.149590163934,-10816.149590163934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5789838572446664e-16,1.5789838572446664e-16,-2378.4479508196723,0.0,-8437.701639344263,10816.149590163934
8,8,-1.3724966781110174e-16,2499.999999999999,3.999999999999999,3.4737644859382697e-16,5.229594535194337e-12,67.00000000000001,-2.1012678078275523e-16,-4.735495731074478e-12,76.99999999999997,0.0,0.0,62.99999847422736,0.0,0.0,0.0,0.0,0.0,72.99999975810867,0.0,0.0,0.0,1.3724966781110174e-16,-1.3724966781110174e-16,63.000010477378986,8.640808877165968e-11,6.912647101732775e-11,0.0,62.99999847422736,3.9999999999999996,67.00000000000001,0.0,0.0,0.0,72.99999975810867,3.9999999999999996,76.99999999999997,0.0,0.0,-2.101267807827252e-16,2.1012678078272518e-16,1.3724966781110174e-16,63.000010477378986,3.9999999999999996,67.00000000000001,0.0,-1.3724966781110172e-16,0.15173975409836066,-9814.527295081967,0.0,0.0,0.0,0,14400000.0,-841.5095901640041,0.0,757.3586311476037,-10656.036885245901,10656.036885245901,-10656.036885245901,0.0,0.0,0.0,0.0,-1.3724966781110172e-16,6.912647101732775e-11,1.3724966781110174e-16,0.0,0.0,-2.101267807827252e-16,2.101267807827252e-16,-9814.527295081967,0.0,-841.5095901640041,10656.036885245901
9,9,0.0,2499.999999999999,3.999999999999999,0.0,5.229594535194337e-12,67.0,0.0,-4.735495731074478e-12,76.99999999999997,0.0,0.0,62.99999422624285,0.0,0.0,0.0,0.0,0.0,72.99999317566316,0.0,0.0,0.0,0.0,0.0,63.00001055789201,0.0,0.0,0.0,62.99999422624285,3.9999999999999987,67.0,9.742882359714041e-05,9.742882359714043e-05,0.0,72.99999317566316,3.9999999999999987,76.99999999999997,1.2045032112131428e-05,1.204503211213143e-05,0.0,0.0,0.0,63.00001055789201,3.9999999999999987,67.0,0.0,0.0,0.3207190082644628,-20744.105454545454,11442.62799552906,11442.627995529061,0.0,0,14400000.0,0.0,0.0,0.0,-9301.477459016394,9301.477459016394,-9301.477459016394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20744.105454545454,11442.62799552906,0.0,9301.477459016394
