,t,Reservoir0s.Q,Reservoir0s.W,Reservoir0s.z,Reservoir1s.Q,Reservoir1s.W,Reservoir1s.z,Reservoir2s.Q,Reservoir2s.W,Reservoir2s.z,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.Ph,Pump1s.Pe,Pump1s.N_on,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.Ph,Pump2s.Pe,Pump2s.N_on,Turb1s.Qin,Turb1s.Qout,Turb1s.H,Turb1s.Ph,Turb1s.Pe,Pipe01s.Q,Pipe01s.H,Pipe01s.zlow,Pipe01s.zhigh,Pipe01s.Qp,Pipe01s.Qn,Pipe02s.Q,Pipe02s.H,Pipe02s.zlow,Pipe02s.zhigh,Pipe02s.Qp,Pipe02s.Qn,VarSources.Qin,VarSources.Qout,Pipe01Ts.Q,Pipe01Ts.H,Pipe01Ts.zlow,Pipe01Ts.zhigh,Pipe01Ts.Qp,Pipe01Ts.Qn,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBs.P_bal,Bats.E,Bats.P,Bats.Pch,Bats.Pdc,BatsDim.E,BatsDim.P,BatsDim.Pch,BatsDim.Pdc,Loads.P,Loads.Pin,Loads.Pout,p1r0s_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2ebs_expanded.P,t1r0s_expanded.Q,t1ebs_expanded.P,c01tr1s_expanded.Q,c01r1_Qs_expanded.Q,c02r2_Qs_expanded.Q,c21r2_Qs_expanded.Q,c21r1_Qs_expanded.Q,pvebs_expanded.P,gridebs_expanded.P,batebs_expanded.P,loadebs_expanded.P,batebsdim_expanded.P
0,0,2.786213770983862e-09,2000.0,4.0,-2.378187265519086e-12,0.0,67.0,-2.378273039471047e-12,0.0,77.0,0.0,0.0,62.99999998495021,6.285087204857519e-13,6.113337227684237e-13,0.0,0.0,0.0,72.99999998492737,6.286232524013375e-13,6.114053192402172e-13,0.0,-1.6087130390314067e-13,3.987949633090317e-10,62.99999998495021,-7.472549850121826e-08,-5.978039696543791e-08,-8.086719378328587e-13,62.99999998495021,4.0000000150383865,66.99999999998859,6.809736684154539e-08,6.809817554279428e-08,6.690861354627455e-14,72.99999998492737,4.0000000150383865,76.99999999996577,1.9157499488700742e-08,1.9157432882302694e-08,-2.547216349545069e-12,2.2163756961702134e-12,-9.295941718089683e-13,62.99999998495021,4.0000000150383865,66.99999999998859,2.2246378715610403e-08,2.224730819747977e-08,8.19672131147541e-06,-0.5301619267716274,-2.065385856823196e-05,9.224469446454202e-06,2.987832801468616e-05,0,119474.95529985793,-11218.350964900574,31061.976307001216,42280.32727190179,4.992426764174117e-05,2.743533705735807e-15,0.0002998033050593351,0.0002998033050565916,-11218.881147540984,11218.881147540984,-11218.881147540984,0.0,8.298403639262918e-13,0.0,8.299119840754391e-13,7.97226150450687e-10,-5.978039604768826e-08,-1.6984293421609997e-12,-1.5775071081848901e-12,1.7383948855481765e-13,-2.6590434030344078e-12,1.6665843551788355e-12,-0.5301619267716274,-2.065385856823196e-05,-11218.350964900574,11218.881147540984,2.7435337069699876e-15
1,1,2.7613379052694454e-09,2000.0,4.0,3.0362783007375033e-13,0.0,67.0,3.035441265129825e-13,0.0,77.0,0.0,0.0,62.99999997003305,6.285166629289039e-13,6.113386572709586e-13,0.0,0.0,0.0,72.99999997001314,6.286300685891993e-13,6.11409537780574e-13,0.0,-1.7891245864010084e-13,3.951514676712273e-10,62.99999997003305,-8.613199671070446e-08,-6.89055957776941e-08,-3.1914477763810235e-13,62.99999997003305,4.000000029956991,66.99999999999004,6.809136465408929e-08,6.809168382450265e-08,5.565286501277029e-13,72.99999997001314,4.000000029956991,76.99999999997013,1.9157770197982673e-08,1.9157213972786988e-08,-1.822679842888922e-12,1.981003780463469e-12,-4.584717388336482e-13,62.99999997003305,4.000000029956991,66.99999999999004,2.0695493924750814e-08,2.0695952253175362e-08,8.19672131147541e-06,-0.5301619267716274,-2.8333090237457536e-05,8.61408844368647e-06,3.694717868114401e-05,0,109660.99517607185,-10904.400137540088,31210.0926712493,42114.492808789386,4.992426764092297e-05,-9.091213292212427e-16,0.00029980330505750884,0.00029980330505841794,-10904.930327868853,10904.930327868853,-10904.930327868853,0.0,8.298452940676407e-13,0.0,8.299161754615139e-13,7.898859874097652e-10,-6.89055949822694e-08,-7.381743333148728e-13,-5.98847372119327e-13,1.1526898821752727e-12,-1.4453069877098602e-12,1.9203521299891746e-12,-0.5301619267716274,-2.8333090237457536e-05,-10904.400137540088,10904.930327868853,-9.091213279645399e-16
2,2,2.7470027726664794e-12,2000.0,4.0,2.5666357236231533e-13,0.0,67.0,2.565810009545791e-13,0.0,77.0,0.0,0.0,62.99999997001945,6.293328747972328e-13,6.118488018253816e-13,0.0,0.0,7.780024201915905e-17,72.99999997000201,6.293344726060035e-13,6.118498015596456e-13,0.0,-1.5336918840140605e-13,1.0545288698742987e-12,62.99999997001945,-9.469917216356092e-08,-7.575933694420553e-08,-2.9778115761943484e-13,62.99999997001945,4.000000029971822,66.99999999999127,6.8088334419603e-08,6.808863222289602e-08,5.7792497386177e-13,72.99999997000201,4.000000029971822,76.99999999997382,1.9157791395680564e-08,1.9157213770744448e-08,-1.8369995360182615e-12,1.9773014776864586e-12,-4.509201768728025e-13,62.99999997001945,4.000000029971822,66.99999999999127,1.9157631362170394e-08,1.915808208393563e-08,2.0491803278688526e-06,-0.13253897298503572,-4.624440658833861e-05,8.032896254906325e-06,5.427730284324494e-05,0,100002.00097824553,-10732.215775362589,31291.430510118873,42023.64628548146,4.9924267639641615e-05,-1.4236916964466784e-15,0.00029980330505725156,0.0002998033050586752,-10732.348360655738,10732.348360655738,-10732.348360655738,0.0,8.303554417435913e-13,0.0,8.303564431504627e-13,1.737203186181743e-12,-7.575933655089147e-08,-7.486695769658669e-13,-5.955305577124992e-13,1.156072185227886e-12,-1.477638395639423e-12,1.8986131071337457e-12,-0.13253897298503572,-4.624440658833861e-05,-10732.215775362589,10732.348360655738,-1.4236916951620925e-15
3,3,-4.011970180359551e-13,2000.0,4.0,2.2243270491120923e-13,0.0,67.0,2.223507591246023e-13,0.0,77.0,-4.244740368731151e-13,3.5029299340797385e-17,62.99999997002269,6.293338019134852e-13,6.118493822935946e-13,0.0,-4.2456142609574777e-13,1.224531731184738e-16,72.99999997000738,6.293352706932093e-13,6.118503003910242e-13,0.0,-1.664517045385098e-13,6.160282477716875e-13,62.99999997002269,-1.0281215898995368e-07,-8.224972658819868e-08,-3.02787381020593e-13,62.99999997002269,4.000000029969655,66.99999999999234,6.80881143186185e-08,6.808841712508744e-08,5.729337335670454e-13,72.99999997000738,4.000000029969655,76.99999999997704,1.9157795712180448e-08,1.9157223075054834e-08,-1.8511241917156503e-12,1.98638489481532e-12,-4.690157876755573e-13,62.99999997002269,4.000000029969655,66.99999999999234,1.9157911807138278e-08,1.9158380583686705e-08,0.0,-3.456306677380651e-09,-1.8943788842221692e-05,9.306003835144356e-06,2.8249792677366048e-05,0,90394.80714291307,-10674.659817036081,31318.63594049921,41993.29575753529,4.992426763805186e-05,-1.7664054250094327e-15,0.00029980330505708014,0.0002998033050588466,-10674.659836065573,10674.659836065573,-10674.659836065573,-6.303966271686498e-13,8.30356023607329e-13,-6.304839969839315e-13,8.303569419472877e-13,8.470872285596378e-13,-8.224972628632212e-08,-7.718191100638997e-13,-6.055907034089353e-13,1.146041621912284e-12,-1.4967987511329201e-12,1.9026458407723865e-12,-3.456447822369824e-09,-1.8943788842221692e-05,-10674.659817036081,10674.659836065573,-1.7664054236910588e-15
4,4,-3.46796463824116e-13,2000.0,4.0,1.9476400139199344e-13,0.0,67.0,1.9468233273583872e-13,0.0,77.0,-4.1849050925195866e-13,3.4041336723203163e-17,62.99999997002549,6.293337813116062e-13,6.118493693764973e-13,0.0,-4.185778992210246e-13,1.2146598119286795e-16,72.99999997001204,6.293352531270728e-13,6.118502894621952e-13,0.0,-1.789744910134756e-13,6.345325259924707e-13,62.99999997002549,-1.1055100841556483e-07,-8.844080627021042e-08,-3.0668545508985893e-13,62.99999997002549,4.000000029967783,66.99999999999328,6.808895894886668e-08,6.808926565062409e-08,5.690433678317134e-13,72.99999997001204,4.000000029967783,76.99999999997982,1.9157799581584227e-08,1.9157230831238057e-08,-1.8632277358335904e-12,1.994596720364989e-12,-4.853997911609309e-13,62.99999997002549,4.000000029967783,66.99999999999328,1.9158176068817154e-08,1.9158661190714366e-08,2.0491803278688526e-06,-0.1325389729850356,3.119848464065161e-06,1.5661043281219013e-05,1.2541194817153855e-05,0,80929.72048263752,-10516.762955861705,31393.311604463684,41910.07456032539,4.992426763625372e-05,-1.997924940623177e-15,0.0002998033050569644,0.0002998033050589623,-10516.89549180328,10516.89549180328,-10516.89549180328,-6.1843062319106e-13,8.303560105694808e-13,-6.185179936631323e-13,8.303569310178035e-13,8.715731607756866e-13,-8.844080603909395e-08,-7.921029852752448e-13,-6.133886492041728e-13,1.1382582913447842e-12,-1.5127908821220163e-12,1.906958829985725e-12,-0.1325389729850356,3.119848464065161e-06,-10516.762955861705,10516.89549180328,-1.997924939259142e-15
5,5,-2.892797094791737e-13,2000.0,4.0,1.709870406490456e-13,0.0,67.0,1.7090539812050832e-13,0.0,77.0,-4.1204524650323334e-13,3.307704780441809e-17,62.99999997002788,6.293337592537998e-13,6.118493547351305e-13,0.0,-4.121326372379864e-13,1.2050203695901335e-16,72.99999997001606,6.293352359675351e-13,6.118502787817915e-13,0.0,-1.913805641406264e-13,6.533824030032852e-13,62.99999997002788,-1.182177402522377e-07,-9.457419185321458e-08,-3.0988500972514974e-13,62.99999997002788,4.000000029966221,66.9999999999941,6.809029789460387e-08,6.809060779336526e-08,5.65847260241752e-13,72.99999997001606,4.000000029966221,76.9999999999823,1.915780241904787e-08,1.9157236861227512e-08,-1.8742170013917463e-12,2.0023901966248887e-12,-5.009659194689616e-13,62.99999997002788,4.000000029966221,66.9999999999941,1.915847394755525e-08,1.915897459449494e-08,0.0,-3.456334213168304e-09,1.6631284449913274e-05,2.6018458688424215e-05,9.387174238510942e-06,0,71479.01964808546,-10500.778705057846,31400.87397681294,41901.65268187079,4.99242676335118e-05,-3.0466058664905763e-15,0.0002998033050564401,0.00029980330505948664,-10500.77868852459,10500.77868852459,-10500.77868852459,-6.055411567846924e-13,8.303559946224974e-13,-6.056285282546323e-13,8.303569203368437e-13,8.968668714714164e-13,-9.457419167893008e-08,-8.108702545782687e-13,-6.197893448344569e-13,1.1318634583309501e-12,-1.5269742582996398e-12,1.911550975171078e-12,-3.4564753676298524e-09,1.6631284449913274e-05,-10500.778705057846,10500.77868852459,-3.0466058650721855e-15
6,6,-2.3764569435057113e-13,2000.0,4.0,1.4968408629463754e-13,0.0,67.0,1.4960227296468248e-13,0.0,77.0,-4.0646833800347737e-13,3.2246764005429054e-17,62.999999970029876,6.293337410005291e-13,6.118493428995077e-13,0.0,-4.065557299066102e-13,1.1967184210499116e-16,72.9999999700195,6.293352211901558e-13,6.118502695848326e-13,0.0,-2.0398145401875412e-13,6.715590552340175e-13,62.999999970029876,-1.2600495523235002e-07,-1.0080396392992055e-07,-3.1261259978031307e-13,62.999999970029876,4.000000029964937,66.99999999999481,6.809177282407345e-08,6.809208544808431e-08,5.631205589611659e-13,72.9999999700195,4.000000029964937,76.99999999998444,1.9157804598361328e-08,1.9157241763794975e-08,-1.8846100979438298e-12,2.010057808382461e-12,-5.162916228366355e-13,62.999999970029876,4.000000029964937,66.99999999999481,1.9158299427391694e-08,1.915881539574788e-08,0.0012438524590163936,-80.45237583160815,2.3784740690423805e-05,2.8696088749242545e-05,4.9113480588187365e-06,0,61845.996437149515,-10703.359123262167,31305.06794767798,42008.427070940146,4.9924267627543504e-05,-6.6315183862667935e-15,0.00029980330505464763,0.0002998033050612791,-10783.811475409837,10783.811475409837,-10783.811475409837,-5.943882695263512e-13,8.303559821060518e-13,-5.94475642890019e-13,8.303569111394367e-13,9.206192768490311e-13,-1.008039638019434e-07,-8.289250583049404e-13,-6.25246035248618e-13,1.126407438669865e-12,-1.5400920454138816e-12,1.9164886153165008e-12,-80.45237583160815,2.3784740690423805e-05,-10703.359123262167,10783.811475409837,-6.631518384774818e-15
7,7,-1.914753291941976e-13,2000.0,4.0,1.2999466802773224e-13,0.0,67.0,1.2991252221829017e-13,0.0,77.0,-4.017344191038204e-13,3.153389195118378e-17,62.99999997003154,6.293337244889589e-13,6.11849331863474e-13,0.0,-4.018218118675734e-13,1.1895890060058142e-16,72.99999997002242,6.293352085029624e-13,6.118502616906555e-13,0.0,-2.1701884671353636e-13,6.893294283233745e-13,62.99999997003154,-1.3406201620908622e-07,-1.0724961278590325e-07,-3.1500882729270627e-13,62.99999997003154,4.000000029963903,66.99999999999544,6.809287987819793e-08,6.80931948962793e-08,5.607236360642656e-13,72.99999997002242,4.000000029963903,76.99999999998631,1.9157806456206482e-08,1.915724601529881e-08,-1.8947090518432294e-12,2.0177615958341563e-12,-5.316966584093365e-13,62.99999997003154,4.000000029963903,66.99999999999544,1.915844246944722e-08,1.9158973812810217e-08,0.036772540983606564,-2378.4479725702577,3.9914971499989445e-06,1.1104750716535642e-05,7.1132535665366975e-06,0,54252.06497781938,-8437.701621477927,32382.43006846951,40820.13168994744,4.992426761630098e-05,-1.2491682491265673e-14,0.0002998033050517175,0.0002998033050642092,-10816.149590163934,10816.149590163934,-10816.149590163934,-5.849212384712013e-13,8.303559699725744e-13,-5.850086133206964e-13,8.30356903244928e-13,9.431226118095118e-13,-1.072496126952224e-07,-8.467277655387914e-13,-6.300399344221611e-13,1.121611041639205e-12,-1.5525859249958544e-12,1.921793475118139e-12,-2378.4479725702577,3.9914971499989445e-06,-8437.701621477927,10816.149590163934,-1.2491682489659945e-14
8,8,-1.498839820092227e-13,2000.0,4.0,1.113438785812507e-13,0.0,67.0,1.1126126196464152e-13,0.0,77.0,-3.9774838526873773e-13,3.0920666568355014e-17,62.999999970032874,6.293337102742747e-13,6.11849322358577e-13,0.0,-3.978357787767976e-13,1.1834551002641428e-16,72.99999997002483,6.293351975934901e-13,6.11850254906456e-13,0.0,-2.307117773140752e-13,7.070076120176778e-13,62.999999970032874,-1.4252428089210545e-07,-1.1401942459445644e-07,-3.1715627407014484e-13,62.999999970032874,4.000000029963094,66.99999999999598,6.809419084284498e-08,6.80945080063697e-08,5.585745364286946e-13,72.99999997002483,4.000000029963094,76.99999999998792,1.915780809350856e-08,1.9157249798611257e-08,-1.904760916435087e-12,2.025666420115581e-12,-5.475080162685011e-13,62.999999970032874,4.000000029963094,66.99999999999598,1.9158577567910005e-08,1.9159124692221145e-08,0.15173975409836066,-9814.527391155169,3.208598660384599e-06,7.063856169717907e-06,3.8552575093333076e-06,0,53494.706430352606,-841.509497185317,36089.88362317539,36931.393120360706,4.992426761311083e-05,-3.544655605090268e-15,0.00029980330505619104,0.0002998033050597357,-10656.036885245901,10656.036885245901,-10656.036885245901,-5.76949871965175e-13,8.303559595142765e-13,-5.770372481698678e-13,8.303568964605442e-13,9.64786029047785e-13,-1.1401942453484409e-07,-8.646879603511913e-13,-6.34336218152835e-13,1.1173103664720514e-12,-1.5647849345507668e-12,1.9275480011679676e-12,-9814.527391155169,3.208598660384599e-06,-841.509497185317,10656.036885245901,-3.544655603304705e-15
9,9,-1.1172081896852487e-13,2000.0,4.0,9.332902708137417e-14,0.0,67.0,9.324582787854203e-14,0.0,77.0,-3.9437769707911233e-13,3.038860818174754e-17,62.99999997003393,6.29333700493163e-13,6.118493167732914e-13,0.0,-3.9446509121577713e-13,1.1781322308787985e-16,72.99999997002678,6.293351881382666e-13,6.118502490339802e-13,0.0,-2.452834224620254e-13,7.249492913542071e-13,62.99999997003393,-1.5152966719896025e-07,-1.212237336851414e-07,-3.1910723437319186e-13,62.99999997003393,4.00000002996249,66.99999999999642,6.809559103664208e-08,6.809591014924521e-08,5.566212895719691e-13,72.99999997002678,4.00000002996249,76.99999999998927,1.9157809699686934e-08,1.9157253355100155e-08,-1.914960441441176e-12,2.033914925404168e-12,-5.640095981566157e-13,62.99999997003393,4.00000002996249,66.99999999999642,1.915858959971015e-08,1.9159153203229785e-08,0.3207190082644628,-20744.105659858324,1.5702988698241949e-06,5.994609888952535e-06,4.42431101912834e-06,0,63793.07180980617,11442.628199392851,42398.94435483734,30956.31615544449,4.99242676239877e-05,1.2085347875601731e-14,0.00029980330506400603,0.0002998033050519207,-9301.477459016394,9301.477459016394,-9301.477459016394,-5.702091109255679e-13,8.303559546459436e-13,-5.70296488335201e-13,8.303568905879923e-13,9.860977237572634e-13,-1.2122373364812924e-07,-8.831418523747236e-13,-6.382394885912997e-13,1.1134014687149853e-12,-1.5769358199794593e-12,1.9338426222655058e-12,-20744.105659858324,1.5702988698241949e-06,11442.628199392851,9301.477459016394,1.2085347877588206e-14
