,t,Reservoir0s.Q,Reservoir0s.W,Reservoir0s.z,Reservoir1s.Q,Reservoir1s.W,Reservoir1s.z,Reservoir2s.Q,Reservoir2s.W,Reservoir2s.z,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.Ph,Pump1s.Pe,Pump1s.N_on,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.Ph,Pump2s.Pe,Pump2s.N_on,Turb1s.Qin,Turb1s.Qout,Turb1s.H,Turb1s.Ph,Turb1s.Pe,Pipe01s.Q,Pipe01s.H,Pipe01s.zlow,Pipe01s.zhigh,Pipe01s.Qp,Pipe01s.Qn,Pipe02s.Q,Pipe02s.H,Pipe02s.zlow,Pipe02s.zhigh,Pipe02s.Qp,Pipe02s.Qn,VarSources.Qin,VarSources.Qout,Pipe01Ts.Q,Pipe01Ts.H,Pipe01Ts.zlow,Pipe01Ts.zhigh,Pipe01Ts.Qp,Pipe01Ts.Qn,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBs.P_bal,Bats.E,Bats.P,Bats.Pch,Bats.Pdc,BatsDim.E,BatsDim.P,BatsDim.Pch,BatsDim.Pdc,Loads.P,Loads.Pin,Loads.Pout,p1r0s_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2ebs_expanded.P,t1r0s_expanded.Q,t1ebs_expanded.P,c01tr1s_expanded.Q,c01r1_Qs_expanded.Q,c02r2_Qs_expanded.Q,c21r2_Qs_expanded.Q,c21r1_Qs_expanded.Q,pvebs_expanded.P,gridebs_expanded.P,batebs_expanded.P,loadebs_expanded.P,batebsdim_expanded.P
0,0,-0.009044553464544565,2467.439607527639,3.9609275290331674,0.00904455346454385,32.56039247235786,67.04341385662981,0.0,2.8421709430404007e-13,77.0,-0.00969268615539901,0.0,63.10126886407558,6000.0,7500.0,1.0,0.0,0.0,73.03907328297434,0.0,0.0,0.0,0.0,0.0006481326908544541,63.082388363712944,-401.08928751856524,-320.87143001485225,0.009692686155399012,0.0,3.9609275290331674,0.0,0.009692686155399012,0.0,0.0,0.0,3.9609275290331674,0.0,0.0,0.0,0.0,0.0,-0.0006481326908544542,0.0,3.9609275290331674,0.0,0.0,0.0006481326908544543,0.0,0.0,-17861.085181555394,0.0,17861.085181555398,0,14400000.000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10681.956611570247,0.0,-10681.956611570247,0.0,0.0,0.0,0.0,0.0006481326908544449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10681.956611570247,0.0
1,1,0.0,2467.439607527639,3.9609275290331674,0.0,32.56039247235786,67.04341385662981,0.0,0.0,77.0,0.0,0.0,63.082486327596634,0.0,0.0,0.0,0.0,0.0,73.03907247096683,0.0,0.0,0.0,0.0,0.0,63.082486327596634,0.0,0.0,0.0,0.0,3.9609275290331674,0.0,0.0,0.0,0.0,0.0,3.9609275290331674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9609275290331674,0.0,0.0,0.0,0.0,0.0,-10663.772727272728,0.0,10663.772727272728,0,14400000.000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10663.772727272728,0.0,-10663.772727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10663.772727272728,0.0
2,2,-0.009679153897071222,2432.5946534981827,3.9191135841978193,0.009679153897071309,67.40534650181402,67.08987379533575,0.0,0.0,77.0,-0.009679153897071224,0.0,63.189489661084096,6000.0,7500.0,1.0,0.0,0.0,73.08087156949306,0.0,0.0,0.0,0.0,0.0,63.1707674408781,0.0,0.0,0.009679153897071307,0.0,3.9191135841978197,0.0,0.00967915389707131,0.0,0.0,0.0,3.9191135841978197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9191135841978197,0.0,0.0,0.0,0.0,0.0,-18611.572916666668,0.0,18611.57291666667,0,14400000.000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11111.572916666666,0.0,-11111.572916666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11111.572916666666,0.0
3,3,0.0,2432.5946534981827,3.9191135841978193,0.0,67.40534650181402,67.08987379533575,0.0,0.0,77.0,0.0,0.0,63.170754189205105,0.0,0.0,0.0,0.0,0.0,73.08088641580217,0.0,0.0,0.0,0.0,0.0,63.1707674408781,0.0,0.0,0.0,0.0,3.9191135841978197,0.0,0.0,0.0,0.0,0.0,3.9191135841978197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9191135841978197,0.0,0.0,0.0,2.066115702479339e-06,-0.13363636363636366,-15265.126969597266,0.0,15265.12696959726,0,29363996.032698907,4156.665564638584,4618.517294042873,0.0,0.0,0.0,0.0,0.0,-11108.595041322315,0.0,-11108.595041322315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11108.595041322315,0.0
4,4,1.0336728907791e-05,2432.631865722251,3.919158238866702,-1.0336728907105963e-05,67.36813427774844,67.089824179037,0.0,0.0,77.0,0.0,0.0,63.1706659401703,0.0,0.0,0.0,0.0,0.0,73.08084176113329,0.0,0.0,0.0,0.0,1.0336728907105966e-05,63.17067316991051,-6.405284675034969,-5.124227740027977,0.0,0.0,3.9191582388667023,0.0,0.0,0.0,0.0,0.0,3.9191582388667023,0.0,0.0,0.0,0.0,0.0,-1.0336728907105964e-05,0.0,3.9191582388667014,0.0,0.0,1.0336728907105966e-05,0.0,0.0,-35042.387893571795,0.0,35042.3878935718,0,115200000.0,23843.334435361416,26492.593817068246,0.0,0.0,0.0,0.0,0.0,-11204.177685950413,0.0,-11204.177685950413,0.0,0.0,0.0,0.0,1.0336728907791e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11204.177685950413,0.0
5,5,0.0,2432.631865722251,3.919158238866702,0.0,67.36813427774844,67.089824179037,0.0,0.0,77.0,0.0,0.0,63.1706659401703,0.0,0.0,0.0,0.0,0.0,73.08084176113329,0.0,0.0,0.0,0.0,0.0,63.170665940170295,0.0,0.0,0.0,0.0,3.9191582388667023,0.0,0.0,0.0,0.0,0.0,3.9191582388667023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9191582388667023,0.0,0.0,0.0,0.0,0.0,-11631.103305785124,0.0,11631.103305785124,0,115200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11631.103305785124,0.0,-11631.103305785124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11631.103305785124,0.0
6,6,0.0,2432.631865722251,3.919158238866702,0.0,67.36813427774844,67.089824179037,0.0,0.0,77.0,0.0,0.0,63.1706659401703,0.0,0.0,0.0,0.0,0.0,73.08084176113329,0.0,0.0,0.0,0.0,0.0,63.170665940170295,0.0,0.0,0.0,0.0,3.9191582388667023,0.0,0.0,0.0,0.0,0.0,3.9191582388667023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9191582388667023,0.0,0.0,0.0,0.0,0.0,-8494.036743154124,0.0,8494.036743154124,0,101737768.63899122,-3739.5087113913305,0.0,3365.5578402521974,0.0,0.0,0.0,0.0,-12233.545454545454,0.0,-12233.545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12233.545454545454,0.0
7,7,2.07389957019131e-05,2432.7065261067773,3.9192478313281334,-2.0738995701913095e-05,67.29347389322156,67.08972463185762,0.0,0.0,77.0,0.0,0.0,63.170461475561424,0.0,0.0,0.0,0.0,0.0,73.08075216867185,0.0,0.0,0.0,0.0,2.07389957019131e-05,63.17047680052949,-12.852004941637565,-10.281603953310052,0.0,0.0,3.9192478313281334,0.0,0.0,0.0,0.0,0.0,3.9192478313281334,0.0,0.0,0.0,0.0,0.0,-2.0738995701913095e-05,0.0,3.9192478313281334,0.0,0.0,2.0738995701913095e-05,0.0032148760330578514,-207.93818181818182,0.0,0.0,0.0,0,55465320.198347114,-12853.457900178919,0.0,11568.11211016103,0.0,0.0,0.0,0.0,-13071.677685950413,0.0,-13071.677685950413,0.0,0.0,0.0,0.0,2.0738995701913102e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13071.677685950413,0.0
8,8,0.0,2432.7065261067773,3.9192478313281334,0.0,67.29347389322156,67.08972463185762,0.0,0.0,77.0,0.0,0.0,63.1704768005295,0.0,0.0,0.0,0.0,0.0,73.08075216867185,0.0,0.0,0.0,0.0,0.0,63.1704768005295,0.0,0.0,0.0,0.0,3.9192478313281334,0.0,0.0,0.0,0.0,0.0,3.9192478313281334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9192478313281334,0.0,0.0,0.0,0.04175206611570247,-2700.523636363636,0.0,0.0,0.0,0,18945971.404958677,-10144.263553719009,0.0,9129.837198347108,0.0,0.0,0.0,0.0,-12844.787190082645,0.0,-12844.787190082645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12844.787190082645,0.0
9,9,0.0,2432.7065261067773,3.9192478313281334,0.0,67.29347389322156,67.08972463185762,0.0,0.0,77.0,0.0,0.0,63.1704768005295,0.0,0.0,0.0,0.0,0.0,73.08075216867185,0.0,0.0,0.0,0.0,0.0,63.1704768005295,0.0,0.0,0.0,0.0,3.9192478313281334,0.0,0.0,0.0,0.0,0.0,3.9192478313281334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9192478313281334,0.0,0.0,0.0,0.14980371900826447,-9689.304545454546,0.0,0.0,0.0,0,14400000.000000002,-1262.769834710743,0.0,1136.4928512396689,0.0,0.0,0.0,0.0,-10952.07438016529,0.0,-10952.07438016529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10952.07438016529,0.0
