,t,Reservoir0s.Q,Reservoir0s.W,Reservoir0s.z,Reservoir1s.Q,Reservoir1s.W,Reservoir1s.z,Reservoir2s.Q,Reservoir2s.W,Reservoir2s.z,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.Ph,Pump1s.Pe,Pump1s.N_on,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.Ph,Pump2s.Pe,Pump2s.N_on,Turb1s.Qin,Turb1s.Qout,Turb1s.H,Turb1s.Ph,Turb1s.Pe,Pipe01s.Q,Pipe01s.H,Pipe01s.zlow,Pipe01s.zhigh,Pipe01s.Qp,Pipe01s.Qn,Pipe02s.Q,Pipe02s.H,Pipe02s.zlow,Pipe02s.zhigh,Pipe02s.Qp,Pipe02s.Qn,VarSources.Qin,VarSources.Qout,Pipe01Ts.Q,Pipe01Ts.H,Pipe01Ts.zlow,Pipe01Ts.zhigh,Pipe01Ts.Qp,Pipe01Ts.Qn,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBs.P_bal,Bats.E,Bats.P,Bats.Pch,Bats.Pdc,BatsDim.E,BatsDim.P,BatsDim.Pch,BatsDim.Pdc,Loads.P,Loads.Pin,Loads.Pout,p1r0s_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2ebs_expanded.P,t1r0s_expanded.Q,t1ebs_expanded.P,c01tr1s_expanded.Q,c01r1_Qs_expanded.Q,c02r2_Qs_expanded.Q,c21r2_Qs_expanded.Q,c21r1_Qs_expanded.Q,pvebs_expanded.P,gridebs_expanded.P,batebs_expanded.P,loadebs_expanded.P,batebsdim_expanded.P
0,0,5.522994816258244e-09,2000.0,4.0,6.406322443245761e-12,2.377409409684934e-08,67.0000000000317,6.9007610192414715e-12,2.3664251286494803e-08,77.00000000009466,0.0,2.5087185212683633e-14,62.99999997020261,0.0,0.0,0.0,0.0,0.0,72.99999997026461,0.0,0.0,0.0,-1.5702563382320647e-12,0.0,62.9999999702021,-1.3979744087952762e-06,-1.1183795363521553e-06,1.9759501850708078e-09,62.99999997020261,4.000000029829808,67.0000000000317,9.025222318712687e-07,9.0054628242488e-07,-3.274074928285308e-09,72.99999997026461,4.000000029829808,77.00000000009466,1.7779103928786808e-07,1.810651151836317e-07,0.0,0.0,1.974355467155969e-09,62.9999999702021,4.000000029829808,67.0000000000317,2.530537267955948e-07,2.5107937144151247e-07,0.0,-3.33528131073747e-09,-54675.137665034505,0.0007933664447857332,54675.13845840095,0,79593.86183968179,43993.17769096209,60819.75081037382,16826.573119411736,0.007214638520405792,0.0033636435580537655,0.04175596007093051,0.03839231651287675,-10681.956611570247,10681.956611570247,-10681.956611570247,0.0,0.0,0.0,0.0,0.0,-1.1183795410101224e-06,3.950281303724293e-09,3.9518760216391314e-09,-6.547653769326057e-09,0.0,0.0,-3.1782153306323828e-09,-54675.137665034505,43993.17769096209,10681.956611570247,0.0033636435580537655
1,1,-3.0216742158875465e-12,2000.0,4.0,6.264552268864686e-12,4.703788825416192e-08,67.00000000006271,6.745441893710037e-12,4.6770204706095526e-08,77.00000000018709,0.0,0.0,62.999999970249206,0.0,0.0,0.0,0.0,0.0,72.99999997037263,0.0,0.0,0.0,-1.8444001605144896e-12,0.0,62.99999997024864,-1.5681724184038494e-06,-1.2545379440569712e-06,1.9761106273313042e-09,62.999999970249206,4.000000029814215,67.00000000006271,9.024538349508318e-07,9.004777250244336e-07,-3.2717550257002534e-09,72.99999997037263,4.000000029814215,77.00000000018709,1.7779219522946385e-07,1.8106395111115205e-07,0.0,0.0,1.9742834598468293e-09,62.99999997024864,4.000000029814215,67.00000000006271,1.8041087423536585e-07,1.7843659066384372e-07,0.0,-3.335330731658962e-09,-99999.972086172,0.0007529973013583338,99999.9728391693,0,159996.44124748008,89336.1993419981,89557.7568464275,221.55750442938924,0.007230999374774303,1.8178727076129112e-05,0.040083227650738656,0.04006504892366253,-10663.772727272728,10663.772727272728,-10663.772727272728,0.0,0.0,0.0,0.0,0.0,-1.2545379487239172e-06,3.950411208179365e-09,3.952238375663839e-09,-6.542970019465289e-09,0.0,0.0,-3.1783541701638195e-09,-99999.972086172,89336.1993419981,10663.772727272728,1.8178727076129112e-05
2,2,-4.43301404249605e-12,2000.0,4.0,4.989808323116454e-12,6.571250427283036e-08,67.00000000008761,5.48411125780986e-12,6.533572505496342e-08,77.00000000026134,0.0,0.0,62.99999997029696,0.0,0.0,0.0,0.0,0.0,72.99999997046974,0.0,0.0,0.0,-2.0629668310463327e-12,0.0,62.99999997029639,-1.7035043514358157e-06,-1.3628034904888048e-06,1.9758334032002224e-09,62.99999997029696,4.000000029791359,67.00000000008761,9.023987356412678e-07,9.004229028806676e-07,-3.270762316801847e-09,72.99999997046974,4.000000029791359,77.00000000026134,1.7779269249828296e-07,1.8106345559242402e-07,0.0,0.0,1.97378745204219e-09,62.99999997029639,4.000000029791359,67.00000000008761,1.804106226318952e-07,1.7843683491500584e-07,0.0,-3.335239317995589e-09,-99999.97141347127,0.0007227713000274357,99999.97213624258,0,239995.99989570212,88888.39849802447,89259.74713126532,371.3486332408501,0.007231148737933999,1.6595906633264642e-07,0.04007422126673362,0.040074055307667285,-11111.572916666666,11111.572916666666,-11111.572916666666,0.0,0.0,0.0,0.0,0.0,-1.3628034951588807e-06,3.9496376060682616e-09,3.951683557226294e-09,-6.540985036934087e-09,0.0,0.0,-3.1780972473292947e-09,-99999.97141347127,88888.39849802447,11111.572916666666,1.6595906633264642e-07
3,3,-3.747795948006664e-12,2000.0,4.0,4.208065163401118e-12,8.157277102581804e-08,67.00000000010877,4.700665879961496e-12,8.108112447790451e-08,77.00000000032432,0.0,0.0,62.99999997033728,0.0,0.0,0.0,0.0,0.0,72.99999997055188,0.0,0.0,0.0,-2.266304269446803e-12,0.0,62.99999997033671,-1.8293123627308128e-06,-1.4634498995284678e-06,1.9756283850655978e-09,62.99999997033728,4.000000029772203,67.00000000010877,9.023537056033811e-07,9.003780778028756e-07,-3.2699775072194727e-09,72.99999997055188,4.000000029772203,77.00000000032432,1.7779308584471539e-07,1.810630640645242e-07,0.0,0.0,1.9733790017469456e-09,62.99999997033671,4.000000029772203,67.00000000010877,1.804104134783686e-07,1.784370340726705e-07,2.066115702479339e-06,-0.13329419655492766,-99999.97964142077,0.0007164449771996216,99999.98035786574,0,319998.36598598864,88891.51787809611,89261.82215083294,370.30427273683244,0.007247062688460419,1.76821672515759e-05,0.040082979370826374,0.040065297203574796,-11108.595041322315,11108.595041322315,-11108.595041322315,0.0,0.0,0.0,0.0,0.0,-1.4634499042003765e-06,3.949023903812147e-09,3.951273287130799e-09,-6.53941568755361e-09,0.0,0.0,-0.13329419655492766,-99999.97964142077,88891.51787809611,11108.595041322315,1.76821672515759e-05
4,4,-3.2819015832230866e-12,2000.0,4.0,3.636510517715665e-12,9.537538037234763e-08,67.00000000012717,4.132232432012741e-12,9.478042779157436e-08,77.00000000037912,0.0,0.0,62.999999970372315,0.0,0.0,0.0,0.0,0.0,72.9999999706233,0.0,0.0,0.0,-2.466429602742614e-12,0.0,62.999999970371746,-1.9531041250355064e-06,-1.562483309375123e-06,1.9754599951200555e-09,62.999999970372315,4.000000029755566,67.00000000012717,9.023201416845289e-07,9.003446822199087e-07,-3.269243127698105e-09,72.9999999706233,4.000000029755566,77.00000000037912,1.777934533780542e-07,1.810626971619931e-07,0.0,0.0,1.973010456854879e-09,62.999999970371746,4.000000029755566,67.00000000012717,1.8041022298666024e-07,1.7843721198432835e-07,0.0,-3.335154704246192e-09,-11205.990641849105,0.0007433084501425071,11205.991385157555,0,319999.9962647086,1.8114207999091976,36510.62312637195,36508.81170557205,0.008630078531698353,0.0015366842702643733,0.04084248042331608,0.03930579615305171,-11204.177685950413,11204.177685950413,-11204.177685950413,0.0,0.0,0.0,0.0,0.0,-1.562483314048482e-06,3.94848679783549e-09,3.950936336100667e-09,-6.5379471320759475e-09,0.0,0.0,-3.1778590004840666e-09,-11205.990641849105,1.8114207999091976,11204.177685950413,0.0015366842702643733
5,5,-2.9184657087991654e-12,2000.0,4.0,3.184529451188176e-12,1.0755080717387765e-07,67.0000000001434,3.671833796475941e-12,1.0682255123202696e-07,77.00000000042729,0.0,0.0,62.999999970403216,0.0,0.0,0.0,0.0,0.0,72.99999997068616,0.0,0.0,0.0,-2.6701182355352705e-12,0.0,62.999999970402655,-2.079050961693031e-06,-1.6632407787029593e-06,1.975319286258497e-09,62.999999970403216,4.0000000297408915,67.0000000001434,9.023027032742945e-07,9.003273844687403e-07,-3.268534025244356e-09,72.99999997068616,4.0000000297408915,77.00000000042729,1.777938078351101e-07,1.8106234246604593e-07,0.0,0.0,1.972666035520289e-09,62.999999970402655,4.0000000297408915,67.0000000001434,1.804100426957302e-07,1.7843737599882264e-07,0.0,-3.33535070052071e-09,-0.006006059131630271,0.0008423996627265997,0.006848458794356871,0,309532.0100880008,-11631.095751897536,30867.61678946214,42498.71254135968,0.007238550545260527,-0.0015461422071531366,0.03930106718461946,0.0408472093917726,-11631.103305785124,11631.103305785124,-11631.103305785124,0.0,0.0,0.0,0.0,0.0,-1.6632407833772264e-06,3.948001527888832e-09,3.95065477862704e-09,-6.53652909985665e-09,0.0,0.0,-3.1783958963296797e-09,-0.006006059131630271,-11631.095751897536,11631.103305785124,-0.0015461422071531366
6,6,-2.588621017256467e-12,2000.0,4.0,2.7923466881162718e-12,1.183143288100742e-07,67.00000000015775,3.280613658535772e-12,1.1745654551385004e-07,77.00000000046983,0.0,0.0,62.999999970430466,0.0,0.0,0.0,0.0,0.0,72.99999997074158,0.0,0.0,0.0,-2.8803574314550148e-12,0.0,62.9999999704299,-2.209043744757948e-06,-1.7672350051566132e-06,1.9751882495299624e-09,62.999999970430466,4.000000029727998,67.00000000015775,9.02279908340203e-07,9.003047205256124e-07,-3.2678023655609744e-09,72.99999997074158,4.000000029727998,77.00000000046983,1.7779417290002177e-07,1.8106197582499198e-07,0.0,0.0,1.972324764910203e-09,62.9999999704299,4.000000029727998,67.00000000015775,1.8040986247833376e-07,1.78437536921576e-07,0.0,-3.3354917426782217e-09,1.1746061606882504e-05,0.0015853784148391354,0.0015736323532322528,0,298521.8191773919,-12233.545456232088,30584.695925395205,42818.2413816273,0.007231108280034215,-8.269183584789064e-06,0.04007000369540809,0.04007827287899288,-12233.545454545454,12233.545454545454,-12233.545454545454,0.0,0.0,0.0,0.0,0.0,-1.7672350098317409e-06,3.9475290954042975e-09,3.9503925800240564e-09,-6.535065945854076e-09,0.0,0.0,-3.1787913807638557e-09,1.1746061606882504e-05,-12233.545456232088,12233.545454545454,-8.269183584789064e-06
7,7,-2.2732839340788133e-12,2000.0,4.0,2.4400792953925303e-12,1.2780964316637724e-07,67.00000000017042,2.9298456916036483e-12,1.268280443985385e-07,77.00000000050731,0.0,0.0,62.99999997045432,0.0,0.0,0.0,0.0,0.0,72.99999997079027,0.0,0.0,0.0,-3.1011631706201016e-12,0.0,62.99999997045375,-2.34555433664386e-06,-1.876443478666758e-06,1.9750642953775945e-09,62.99999997045432,4.0000000297168095,67.00000000017042,9.022413854881213e-07,9.002663215853016e-07,-3.2670541898424825e-09,72.99999997079027,4.0000000297168095,77.00000000050731,1.7779454577016047e-07,1.8106160047640165e-07,0.0,0.0,1.971980025322556e-09,62.99999997045375,4.0000000297168095,67.00000000017042,1.8040967801958839e-07,1.7843769706380028e-07,0.0032148760330578514,-207.93786787299058,68662.77460090842,68662.7750983497,0.0004974412792792771,0,225147.95620206004,-81526.51441703535,2872.1896153324815,84398.70403236784,0.007231059482950248,-5.421898219437265e-08,0.04007411117770936,0.04007416539669155,-13071.677685950413,13071.677685950413,-13071.677685950413,0.0,0.0,0.0,0.0,0.0,-1.876443483342593e-06,3.947060283350177e-09,3.950144553405216e-09,-6.5335697595223594e-09,0.0,0.0,-207.93786787299058,68662.77460090842,-81526.51441703535,13071.677685950413,-5.421898219437265e-08
8,8,-1.9645775036798417e-12,2000.0,4.0,2.1185508175186693e-12,1.3614741248082328e-07,67.00000000018153,2.60400943483924e-12,1.3502680620691328e-07,77.0000000005401,0.0,0.0,62.99999997047495,0.0,0.0,0.0,0.0,0.0,72.99999997083258,0.0,0.0,0.0,-3.3360775666319924e-12,0.0,62.999999970474384,-2.4907693484631857e-06,-1.9926154881232806e-06,1.974946295521661e-09,62.99999997047495,4.000000029707287,67.00000000018153,9.022052184115779e-07,9.002302724688706e-07,-3.2662944440859383e-09,72.99999997083258,4.000000029707287,77.0000000005401,1.7779492407648326e-07,1.8106121899645033e-07,0.0,0.0,1.9716271165753396e-09,62.999999970474384,4.000000029707287,67.00000000018153,1.8040948850662778e-07,1.7843786033862937e-07,0.04175206611570247,-2700.5233428020056,0.004604749089875836,0.0051697404064898825,0.0005649913166140469,0,216018.1145970406,-10144.268450021586,31569.721973632204,41713.990423653784,0.007231063354455685,4.301672715513792e-09,0.04007414043803681,0.0400741361363641,-12844.787190082645,12844.787190082645,-12844.787190082645,0.0,0.0,0.0,0.0,0.0,-1.9926154927996466e-06,3.946589259294249e-09,3.94990843824057e-09,-6.532050435881758e-09,0.0,0.0,-2700.5233428020056,0.004604749089875836,-10144.268450021586,12844.787190082645,4.301672715513792e-09
9,9,-1.648647076936628e-12,2000.0,4.0,1.8115797301009095e-12,1.4338004351889927e-07,67.00000000019118,2.293437813986632e-12,1.421077928899576e-07,77.00000000056842,0.0,0.0,62.99999997049242,0.0,0.0,0.0,0.0,0.0,72.99999997086871,0.0,0.0,0.0,-3.588725011303839e-12,0.0,62.99999997049185,-2.646938948220846e-06,-2.117551167930345e-06,1.9748287401534028e-09,62.99999997049242,4.000000029699472,67.00000000019118,9.021708124490693e-07,9.001959840241334e-07,-3.2655089634075037e-09,72.99999997086871,4.000000029699472,77.00000000056842,1.7779531490518137e-07,1.810608243058686e-07,0.0,0.0,1.9712569337304446e-09,62.99999997049185,4.000000029699472,67.00000000019118,1.8040928724151476e-07,1.784380291204668e-07,0.14980371900826447,-9689.304309047491,0.0012273619570074509,0.0016231642000645995,0.0003958022430571485,0,214881.62043033246,-1262.7712963423844,35880.38928957066,37143.16058591304,0.007231063363211123,9.72826482643421e-12,0.04007413829206459,0.04007413828233632,-10952.07438016529,10952.07438016529,-10952.07438016529,0.0,0.0,0.0,0.0,0.0,-2.117551172607179e-06,3.946101405154679e-09,3.9496732115776374e-09,-6.530479650372949e-09,0.0,0.0,-9689.304309047491,0.0012273619570074509,-1262.7712963423844,10952.07438016529,9.72826482643421e-12
