,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,EBpv.P_bal,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P
0,0,0.0,200000.0,29.833333333333332,-0.004166666666666667,9985.0,136.98000000000002,-0.004166666666666667,0.004166666666666667,0.0,0.0,107.14666666666669,2722.8750611331675,1.7014229895497823e-16,3.027445222686565e-16,0.0,0.0,0.0,107.14666666666669,2722.8750611331675,0.0,0.0,0.0,0.0,107.14666666666669,29.833333333333332,136.98000000000002,107.14666666666669,1.0,0.0,-3.864651018462984e-16,1.5858329963950705e-07,1.5858330002597216e-07,0.0,0.0,0.0,0.0,3.591433452771189e-16,0.0,0.0,0.0,0.0,-0.004166666666666667,-3.8646510199353497e-16,0.0
1,1,0.0,200000.0,29.833333333333332,-0.006750602020833334,9960.697832725,136.9475971103,-0.006750602020833334,0.006750602020833334,0.0,0.0,107.11426377696667,2722.46330921172,1.7021959933017496e-16,3.028762810745498e-16,0.0,0.0,0.0,107.11426377696667,2722.46330921172,0.0,0.0,0.0,0.0,107.11426377696667,29.833333333333332,136.9475971103,107.11426377696667,1.0,0.0,-3.8662758053252585e-16,1.6036244249314246e-07,1.6036244287977006e-07,0.0,0.0,0.0,0.0,3.592959062319768e-16,0.0,0.0,0.0,0.0,-0.006750602020833334,-3.8662758067898104e-16,0.0
2,2,0.0,200000.0,29.833333333333332,-0.005248506070833333,9941.803210869999,136.92240428116,-0.005248506070833333,0.005248506070833333,0.0,0.0,107.08907094782667,2722.14313436356,1.7021790340529896e-16,3.0287339622631535e-16,0.0,0.0,0.0,107.08907094782667,2722.14313436356,0.0,0.0,0.0,0.0,107.08907094782667,29.833333333333332,136.92240428116,107.08907094782667,1.0,0.0,-3.866240314003283e-16,1.5894679761609212e-07,1.5894679800271618e-07,0.0,0.0,0.0,0.0,3.592925710744308e-16,0.0,0.0,0.0,0.0,-0.005248506070833333,-3.8662403154757472e-16,0.0
3,3,0.0,200000.0,29.833333333333332,-0.006223844037500001,9919.397372335,136.89252982978002,-0.006223844037500001,0.006223844037500001,0.0,0.0,107.05919649644669,2721.7634121174447,1.7025247855143356e-16,3.029320319169588e-16,0.0,0.0,0.0,107.05919649644669,2721.7634121174447,0.0,0.0,0.0,0.0,107.05919649644669,29.833333333333332,136.89252982978002,107.05919649644669,1.0,0.0,-3.866959359454558e-16,1.5995680586062072e-07,1.5995680624731665e-07,0.0,0.0,0.0,0.0,3.593602129056003e-16,0.0,0.0,0.0,0.0,-0.006223844037500001,-3.866959360922305e-16,0.0
4,4,0.0,200000.0,29.833333333333332,-0.007025048279166668,9894.107198529999,136.85880959804,-0.007025048279166668,0.007025048279166668,0.0,0.0,107.02547626470668,2721.334744034905,1.7014215133578492e-16,3.027442631627097e-16,0.0,0.0,0.0,107.02547626470668,2721.334744034905,0.0,0.0,0.0,0.0,107.02547626470668,29.833333333333332,136.85880959804,107.02547626470668,1.0,0.0,-3.864647728432873e-16,1.5653281885065488e-07,1.5653281923711964e-07,0.0,0.0,0.0,0.0,3.5914303926035376e-16,0.0,0.0,0.0,0.0,-0.007025048279166668,-3.8646477299169414e-16,0.0
5,5,0.0,200000.0,29.833333333333332,-0.0075129085875000005,9867.060727614999,136.82274763682,-0.0075129085875000005,0.0075129085875000005,0.0,0.0,106.98941430348667,2720.8762320079113,1.6989811084966887e-16,3.0231867347259015e-16,0.0,0.0,0.0,106.98941430348667,2720.8762320079118,0.0,0.0,0.0,0.0,106.98941430348667,29.833333333333332,136.82274763682,106.98941430348667,1.0,0.0,-3.8592799861144773e-16,1.4725509725287707e-07,1.4725509763880505e-07,0.0,0.0,0.0,0.0,3.5864268546822026e-16,0.0,0.0,0.0,0.0,-0.0075129085875000005,-3.859279987646378e-16,0.0
6,6,0.0,200000.0,29.833333333333332,-0.0064997325958333334,9843.661690269999,136.79154892036001,-0.0064997325958333334,0.0064997325958333334,0.0,0.0,106.95821558702669,2720.479491657551,1.6975979036461532e-16,3.020571062625945e-16,0.0,0.0,0.0,106.95821558702669,2720.479491657551,0.0,0.0,0.0,0.0,106.95821558702669,29.833333333333332,136.79154892036001,106.95821558702669,1.0,0.0,-3.8557071242102195e-16,1.3770463299108267e-07,1.3770463337665336e-07,0.0,0.0,0.0,0.0,3.583181156312838e-16,0.0,0.0,0.0,0.0,-0.0064997325958333334,-3.855707125798358e-16,0.0
7,7,0.0,200000.0,29.833333333333332,-0.005564631366666666,9823.629017349998,136.7648386898,-0.005564631366666666,0.005564631366666666,0.0,0.0,106.93150535646667,2720.1397834304507,1.698165777910726e-16,3.020658027017111e-16,0.0,0.0,0.0,106.93150535646667,2720.1397834304507,1.0654793547679454e-16,1.3318491934599312e-16,0.0,0.0,106.93150535646667,29.833333333333332,136.7648386898,106.93150535646667,1.0,-1.3318491934599312e-16,-3.8546670042079116e-16,9.611266816705101e-08,9.611266855251771e-08,0.0,0.0,0.0,0.0,3.582561046449222e-16,0.0,0.0,1.3318491934599312e-16,0.0,-0.005564631366666666,-3.854667006139473e-16,-1.3318491934599312e-16
8,8,-0.03105867109000661,199888.188784076,29.833146981306793,0.028719342649173276,9927.018650887023,136.90269153451604,-0.0023393284408333333,0.0023393284408333333,0.0,0.0,107.06956384603025,2721.8951933684066,1.697876901874708e-16,3.020293292889618e-16,0.0,-0.03105867109000661,0.03105867109000661,107.06956384603025,2721.8951970468356,32622.55038266674,40778.18797833343,1.0,0.03105867109000661,107.06956384603025,29.833146981306793,136.90269153451604,107.06954455320924,1.0,-40778.18797833343,-3.854381289602803e-16,1.0118193177080064e-07,1.0118193215623878e-07,0.0,0.0,0.0,0.0,3.582242005544956e-16,-0.03105867109000661,0.03105867109000661,40778.18797833343,0.03105867109000661,-0.0023393284408333333,-3.8543812914834276e-16,-40778.18797833343
9,9,-0.027855382459640563,199787.90940722128,29.832979849012034,0.007561812322140563,9954.241175246729,136.93898823366231,-0.0202935701375,0.0202935701375,0.0,0.0,107.10602390309691,2722.35859306597,1.6988012350540824e-16,3.021513744652613e-16,0.0,-0.027855382459640563,0.027855382459640563,107.10602390309691,2722.3585960242617,29267.931536204997,36584.914420256246,1.0,0.027855382459640563,107.10602390309691,29.832979849012034,136.93898823366231,107.10600838465028,1.0,-36584.914420256246,-3.8554314939396606e-16,7.03631350491028e-08,7.036313543464592e-08,0.0,0.0,0.0,0.0,3.5833686861812355e-16,-0.027855382459640563,0.027855382459640563,36584.914420256246,0.027855382459640563,-0.0202935701375,-3.855431496179422e-16,-36584.914420256246
10,10,-0.04714237158253795,199618.19686952414,29.832696994782538,0.029412376170037953,10060.125729458865,137.0801676392785,-0.017729995412499998,0.017729995412499998,0.0,0.0,107.24751509255991,2724.1561699564704,1.6984242548902116e-16,3.0209975325618507e-16,0.0,-0.04714237158253795,0.04714237158253795,107.24751509255991,2724.156178424042,49598.400658491584,61998.00082311448,1.0,0.04714237158253795,107.24751509255991,29.832696994782538,137.0801676392785,107.24747064449595,1.0,-61998.00082311448,-3.8549562256142904e-16,7.544299601987697e-08,7.544299640537261e-08,0.0,0.0,0.0,0.0,3.582872621087639e-16,-0.04714237158253795,0.04714237158253795,61998.00082311448,0.04714237158253795,-0.017729995412499998,-3.8549562277852435e-16,-61998.00082311448
11,11,-0.04683817893079026,199449.5794253733,29.832415965708954,0.01932717343495693,10129.70355382471,137.17293807176628,-0.02751100549583333,0.02751100549583333,0.0,0.0,107.34056598235745,2725.3376900901144,1.6982770850312604e-16,3.020801318843295e-16,0.0,-0.04683817893079026,0.04683817893079026,107.34056598235745,2725.337698445139,49321.11539929692,61651.39424912115,1.0,0.04683817893079026,107.34056598235745,29.832415965708954,137.17293807176628,107.34052210605734,1.0,-61651.39424912115,-3.854784210489495e-16,7.749524002901277e-08,7.74952404144912e-08,0.0,0.0,0.0,0.0,3.5826894880244327e-16,-0.04683817893079026,0.04683817893079026,61651.39424912115,0.04683817893079026,-0.02751100549583333,-3.854784212633852e-16,-61651.39424912115
12,12,-0.04637097220803401,199282.64392542437,29.832137739875705,0.02887622720803401,10233.657971773631,137.31154396236485,-0.017494745,0.017494745,0.0,0.0,107.47944922783041,2727.100217549998,1.6981416730506728e-16,3.020624161167016e-16,0.0,-0.04637097220803401,0.04637097220803401,107.47944922783041,2727.1002257338796,48892.319485700355,61115.39935712544,1.0,0.04637097220803401,107.47944922783041,29.832137739875705,137.31154396236485,107.47940622248915,1.0,-61115.39935712544,-3.8546345411803963e-16,7.943572728614028e-08,7.943572767160374e-08,0.0,0.0,0.0,0.0,3.5825276826071923e-16,-0.04637097220803401,0.04637097220803401,61115.39935712544,0.04637097220803401,-0.017494745,-3.8546345433002115e-16,-61115.39935712544
13,13,-0.046005565558109154,199117.02388941517,29.83186170648236,0.03682018460810915,10366.210636362825,137.48828084848378,-0.00918538095,0.00918538095,0.0,0.0,107.65646147224267,2729.344979410424,1.6976519854261741e-16,3.020685399419604e-16,0.0,-0.046005565558109154,0.046005565558109154,107.65646147224267,2729.3449874592093,48586.93264491023,60733.66580613779,1.0,0.046005565558109154,107.65646147224267,29.83186170648236,137.48828084848378,107.65641914200141,1.0,-60733.66580613779,-3.855877832430849e-16,1.2889188488353582e-07,1.2889188526912367e-07,0.0,0.0,0.0,0.0,3.58333212659291e-16,-0.046005565558109154,0.046005565558109154,60733.66580613779,0.046005565558109154,-0.00918538095,-3.855877834081292e-16,-60733.66580613779
