,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Turb1.Qin,Turb1.Qout,Turb1.H,Turb1.Ph,Turb1.Pe,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,EBpv.P_bal,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,t1r0_expanded.Q,t1c1_Q_expanded.Q,t1eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P
0,0,0.0,200000.0,29.833333333333332,-0.012500000000000606,9954.999999999998,136.54390243902438,0.0125,-0.012499999999999909,0.0125,0.0,0.0,106.71056910529437,2717.328218603167,0.0,0.0,0.0,0.0,0.0,106.7102082312058,0.0,0.0,0.0,106.7102082312058,29.833333333333336,136.54390243902407,106.71056910569106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0125,0.0,0.0
1,1,-0.02931222242138838,199894.47599928302,29.83315745999881,0.013036092567221482,10001.929933241996,136.61258039011025,0.016276129854166668,-0.0162761298541666,0.016276129854166668,-0.029312222421388374,0.029312222421388374,106.77944011423892,2718.204760550121,30704.73787335382,38380.92234169227,1.0,0.0,0.0,106.76847163576181,0.0,0.0,0.02931222242138838,106.76847163576181,29.83315745999881,136.60193518600076,106.77942293011145,1.0,0.0,0.0,-38380.92234169227,0.0,38380.922341692276,0.0,0.0,-0.027291604974837354,0.027291604974837354,35194.265290103416,0.0,0.0,0.0,0.027291604974837496,-0.016276129854166668,-35194.265290103416,0.0
2,2,-0.08375419988804962,199592.960879686,29.832654934799475,0.06155225451304962,10223.518049488974,136.936855682179,0.022201945375,-0.02220194537499983,0.022201945375,-0.08375419988804962,0.08375419988804961,107.10434104269667,2722.337025058323,88000.0,109999.99999999999,1.0,0.0,0.0,106.91950264758313,0.0,0.0,0.08375419988804962,106.91950264758313,29.83265493479948,136.75260124190442,107.1042007473795,1.0,0.0,0.0,-109999.99999999999,0.0,109999.99999999999,0.0,0.0,-0.05080059487520135,0.05080059487520135,66208.20807175663,0.0,0.0,0.0,0.05080059487520135,-0.022201945375,-66208.20807175663,0.0
3,3,0.0,199592.960879686,29.832654934799475,-0.03876534148333327,10083.962820148974,136.73262851729118,0.03876534148333333,-0.03876534148333323,0.03876534148333333,0.0,0.0,106.89997358289118,2719.738491163096,0.0,0.0,0.0,0.0,0.0,106.71514547329001,0.0,0.0,0.0,106.71514547329001,29.83265493479948,136.54837407701746,106.89997358249175,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03876534148333333,0.0,0.0
4,4,0.0,199592.96087968597,29.832654934799475,-0.03494217785,9958.170979888973,136.5485428973985,0.03494217785,-0.034942177849999936,0.03494217785,0.0,0.0,106.71588796259904,2717.3957377819474,0.0,0.0,0.0,-1.0055975149803052e-17,0.0,106.53178722391016,0.0,0.0,0.0,106.53178722391016,29.83265493479948,136.36428845712422,106.71588796259906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03494217785,0.0,0.0
5,5,0.0,199592.96087968588,29.83265493479948,-0.07533961891666666,9686.948351788975,136.15163173432532,0.07533961891666666,-0.07533961891666635,0.07533961891666666,0.0,0.0,106.31897679952586,2712.3375892648423,0.0,0.0,0.0,0.0,0.0,106.13487570982566,0.0,0.0,0.0,106.13487570982566,29.832654934799482,135.9673772940516,106.31897679952586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07533961891666666,0.0,0.0
6,6,0.0,199592.9608796859,29.83265493479948,-0.10303168916666666,9316.034270788974,135.60883064017898,0.10303168916666666,-0.10303168916666595,0.10303168916666666,0.0,0.0,105.77617570537953,2705.4049418005734,0.0,0.0,0.0,0.0,0.0,105.65553309207804,0.0,0.0,0.0,105.65553309207804,29.832654934799482,135.48799260339635,105.77617570537953,0.0,0.07357298277434086,-15522.0158970269,15522.0158970269,15522.0158970269,0.0,0.0,0.0,-0.01203737288502898,0.01203737288502898,15522.015897026797,0.0,0.0,0.0,0.01203737288502898,-0.10303168916666666,0.0,-15522.015897026797
7,7,-0.04550982688977651,199429.12550288273,29.832381875838138,-0.024787502943556826,9226.799260192169,135.47824281979342,0.07029732983333334,-0.07029732983333334,0.07029732983333334,-0.045509826889776506,0.045509826889776506,105.64590236678067,2703.7384790554097,47165.75256304361,58957.1907038045,1.0,0.0,0.0,105.52625143929262,0.0,0.0,0.04550982688977651,105.52625143929262,29.832381875838134,135.3585228153911,105.64586094395533,1.0,0.27945187048193765,-58957.19070380451,0.0,0.0,0.0,0.0,0.0,-0.0457220459989925,0.0457220459989925,58957.19070380395,0.0,0.0,0.0,0.04572204599899219,-0.07029732983333334,0.0,-58957.19070380395
8,8,-0.08084205705585144,199138.09409748166,29.831896823495804,0.028142294847525284,9328.111521643259,135.62650466581943,0.052699762208333334,-0.052699762208332564,0.052699762208333334,-0.08084205705585146,0.08084205705585869,105.79473855027355,2705.642379293936,83901.63121412019,104877.03901765021,1.0,0.0,0.0,105.67569403459517,0.0,0.0,0.08084205705585869,105.67569403459517,29.831896823495804,135.50788239754937,105.79460784232359,1.0,0.4971078908988494,-104877.03901765021,0.0,0.0,0.0,0.0,0.0,-0.08105042363653056,0.08105042363653056,104877.03901764969,0.0,0.0,0.0,0.08105042363653056,-0.052699762208333334,0.0,-104877.03901764969
9,9,-0.0846347525476129,198833.40898831026,29.831389014980513,0.03696682738094648,9461.19210021467,135.82125673202145,0.047667925166666666,-0.04766792516666627,0.047667925166666666,-0.0846347525476129,0.08463475254761342,105.99001097763367,2708.138225939365,88000.0,110000.0,1.0,0.0,0.0,105.87154493751783,0.0,0.0,0.0846347525476134,105.87154493751783,29.831389014980513,135.70321538142247,105.98986771704094,1.0,0.6902159686444646,-145617.89985518472,35617.89985518469,35617.89985518469,0.0,0.0,0.0,-0.08474501932755037,0.08474501932755037,109999.99999999981,0.0,0.0,0.0,0.08474501932755037,-0.047667925166666666,35617.89985518463,-145617.89985518437
10,10,-0.08448764865457473,198529.25345315374,29.83088208908859,0.03493272623791622,9586.949914671168,136.00529255805537,0.04955492241666667,-0.049554922416666265,0.04955492241666667,-0.08448764865457471,0.08448764865458273,106.17455323197503,2710.4948101403384,88000.0,110000.0,1.0,0.0,0.0,106.05680079703895,0.0,0.0,0.08448764865458272,106.05680079703895,29.83088208908859,135.8879645644408,106.17441046896677,1.0,0.8271725442451721,-174512.2312185986,64512.23121859861,64512.23121859861,0.0,0.0,0.0,-0.08462305437861363,0.08462305437861363,109999.99999999981,0.0,0.0,0.0,0.08462305437861363,-0.04955492241666667,64512.23121859824,-174512.23121859747
11,11,-0.08437008548080936,198225.52114542288,29.830375868575704,0.02798628368914346,9687.700535952083,136.1527324916372,0.056383801791666674,-0.056383801791666285,0.056383801791666674,-0.08437008548080936,0.08437008548080989,106.32249898903024,2712.3825825847994,88000.0,110000.0,1.0,0.0,0.0,106.20548004361068,0.0,0.0,0.0843700854808099,106.20548004361068,29.830375868575704,136.0361370481845,106.32235662306151,1.0,0.9073690875066988,-191431.64881527328,81431.64881527328,81431.64881527328,0.0,0.0,0.0,-0.08450913435403637,0.08450913435403637,109999.99999999981,0.0,0.0,0.0,0.08450913435403637,-0.056383801791666674,81431.64881527296,-191431.6488152712
12,12,-0.0842703884002448,197922.14774718203,29.829870246245303,0.02378310356690926,9773.319708792958,136.27802884213602,0.060487284833333335,-0.060487284833332725,0.060487284833333335,-0.0842703884002448,0.08427038840024267,106.44830062559602,2713.9867646492626,88000.0,110000.0,1.0,0.0,0.0,106.3320295677809,0.0,0.0,0.08427038840024267,106.3320295677809,29.82987024624531,136.16218034785211,106.44815859589073,1.0,0.9075888237412905,-191478.00753552452,81478.00753552455,81478.00753552456,0.0,0.0,0.0,-0.08441217041834095,0.08441217041834095,109999.99999999981,0.0,0.0,0.0,0.08441217041834095,-0.060487284833333335,81478.00753552455,-191478.00753552193
13,13,-0.084156607939436,197619.1839586,29.82936530659767,0.027222148106108162,9871.319441974949,136.421443085817,0.05693445983333333,-0.05693445983333305,0.05693445983333333,-0.08415660793943601,0.08415660793944163,106.59221942591259,2715.8208089052396,88000.0,110000.0,1.0,0.0,0.0,106.47671168407905,0.0,0.0,0.08415660793944163,106.47671168407905,29.82936530659767,136.3063569403992,106.59207777921937,1.0,0.8371170424435377,-176610.26575929992,66610.26575929993,66610.26575929993,0.0,0.0,0.0,-0.08430131304836776,0.08430131304836776,109999.99999999981,0.0,0.0,0.0,0.08430131304836776,-0.05693445983333333,66610.26575929989,-176610.26575929899
14,14,-0.08403638225850797,197316.6529824694,29.828861088304116,0.028850123425180726,9975.179886305597,136.5734339799594,0.05518625883333333,-0.055186258833332974,0.05518625883333333,-0.08403638225850797,0.08403638225851406,106.74471413390562,2717.762790796771,88000.0,110000.0,1.0,0.0,0.0,106.62998440718067,0.0,0.0,0.08403638225851405,106.62998440718067,29.828861088304112,136.45912486125718,106.7445728916553,1.0,0.7025998704330214,-148230.58610468442,38230.58610468442,38230.58610468443,0.0,0.0,0.0,-0.08418387344072012,0.08418387344072012,109999.99999999981,0.0,0.0,0.0,0.08418387344072012,-0.05518625883333333,38230.58610468438,-148230.58610468387
15,15,-0.08347692496269864,197016.13605260366,29.828360226754338,0.027489161129371508,10074.140866371336,136.71825492639707,0.05598776383333333,-0.05598776383333282,0.05598776383333333,-0.08347692496269862,0.08347692496270454,106.89003406754183,2719.612270510515,87533.17078838915,109416.46348548643,1.0,0.0,0.0,106.77619163332255,0.0,0.0,0.08347692496270454,106.77619163332255,29.82836022675434,136.60483159801254,106.88989469964275,1.0,0.5186243614651183,-109416.46348548644,0.0,0.0,0.0,0.0,0.0,-0.08364506108776687,0.08364506108776687,109416.4634854857,0.0,0.0,0.0,0.08364506108777105,-0.05598776383333333,0.0,-109416.4634854857
