,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,EBpv.P_bal,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P
0,0,-4.403595543767125e-13,199999.99999999843,29.833333333333332,-0.012499999999559641,9955.000000001584,136.43250000000236,-0.012500000000000008,0.0125,-4.403595543767125e-13,4.403595543767125e-13,106.59916666666855,2715.9094530570956,0.0,0.0,3.960067935042379e-12,0.0,0.0,106.59916666666855,2715.9094530570956,0.0,0.0,0.0,4.403595543767125e-13,106.60109224659378,29.833333333333332,136.43442344276824,106.59916666666903,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003561931052189496,0.0003561931052189496,0.0,0.0,0.0,0.0,0.0003561931052189496,-0.0125,0.0,0.0
1,1,0.0,199999.99999999843,29.833333333333332,-0.016276129854166488,9896.405932526586,136.3446088987899,-0.01627612985416668,0.016276129854166668,0.0,1.3877787807814457e-17,106.51127556545656,2714.7895873801435,0.0,0.0,0.0,0.0,0.0,106.51127556545656,2714.789587380144,0.0,0.0,0.0,1.3877787807814457e-17,106.51703520334114,29.833333333333332,136.35036214417948,106.51127556545656,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007092227080660037,0.0007092227080660037,0.0,0.0,0.0,0.0,0.0007092227080660037,-0.016276129854166668,0.0,0.0
2,2,-0.04985951862547466,199820.5057329467,29.83303417622158,0.027657573250481918,9995.973196228319,136.4939597943425,-0.022201945374999987,0.022201945375,-0.04985951862546434,0.0498595186254817,106.66097533755286,2716.69672212236,52170.21653612119,65212.77067015148,1.0,0.0,0.0,106.66097533755286,2716.696712624564,0.0,0.0,0.0,0.04985951862548225,106.63128132094626,29.833034176221584,136.46431199640745,106.66092561812091,1.0,0.0,-65212.77067015148,0.0,65212.77067015148,0.0,0.0,-0.04330376986168196,0.04330376986168196,56056.13192509483,0.0,0.0,0.0,0.04330376986168196,-0.022201945375,-56056.13192509483,0.0
3,3,0.0,199820.50573294668,29.83303417622158,-0.038765341483333327,9856.417966888317,136.2846269503325,-0.03876534148333337,0.03876534148333333,0.0,1.3877787807814457e-17,106.4515927741109,2714.0288748493876,0.0,0.0,0.0,0.0,0.0,106.4515927741109,2714.028874849388,0.0,0.0,0.0,1.3877787807814457e-17,106.42857777067383,29.833034176221584,136.26163749073928,106.4515927741109,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012330256188715478,0.0012330256188715478,0.0,0.0,0.0,0.0,0.0012330256188715478,-0.03876534148333333,0.0,0.0
4,4,0.0,199820.50573294668,29.83303417622158,-0.03494217785,9730.626126628318,136.09593918994247,-0.03494217785000002,0.03494217785,0.0,0.0,106.26290501372091,2711.6224704598553,0.0,0.0,0.0,0.0,0.0,106.2629050137209,2711.6224704598553,0.0,0.0,0.0,0.0,106.2398900102837,29.833034176221584,136.0729497303494,106.26290501372091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03494217785,0.0,0.0
5,5,0.0,199820.50573294668,29.83303417622158,-0.07533961891666661,9459.403498528318,135.6891052477925,-0.07533961891666664,0.07533961891666666,0.0,4.163336342344337e-17,105.85607107157092,2706.426687495324,0.0,0.0,0.0,0.0,0.0,105.85607107157091,2706.426687495324,0.0,0.0,0.0,4.163336342344337e-17,105.84358199461516,29.833034176221584,135.67663003218732,105.85607107157092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019470822200211367,0.0019470822200211367,0.0,0.0,0.0,0.0,0.0019470822200211367,-0.07533961891666666,0.0,0.0
6,6,0.0,199820.50573294668,29.83303417622158,-0.10303168916666663,9088.489417528317,135.1327341262925,-0.10303168916666662,0.10303168916666666,0.0,2.7755575615628914e-17,105.2996999500709,2699.304935219595,0.0,0.0,0.0,0.0,0.0,105.29969995007089,2699.304935219595,0.0,0.0,0.0,2.7755575615628914e-17,105.29969951474749,29.833034176221584,135.13273369145196,105.2996999500709,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023101445860296537,0.0023101445860296537,0.0,0.0,0.0,0.0,0.0023101445860296537,-0.10303168916666666,0.0,0.0
7,7,-0.045716935880583925,199655.9247637766,29.832759874606296,-0.02458039395274904,9000.000000000007,135.0,-0.07029732983333346,0.07029732983333334,0.0,0.0,105.16728192510557,2697.607068930922,0.0,0.0,0.0,-0.045716935880583925,0.04571693588058392,105.16728192510554,2697.607076897597,47165.75256304361,58957.19070380451,1.0,0.04571693588058391,105.16712033311119,29.8327598746063,134.9999999999999,105.16724012434136,1.0,-58957.19070380451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.045716935880583925,0.04571701660150702,58957.19070380469,0.04571701660150702,-0.07029732983333334,0.0,-58957.19070380469
8,8,-0.08120508554279045,199363.58645582251,29.83227264409304,0.028505323334465395,9102.619163302497,135.15392874495376,-0.05269976220833328,0.052699762208333334,0.0,0.0,105.32178798615858,2699.5875716350074,0.0,0.0,0.0,-0.08120508554279857,0.08120508554279857,105.3217879861586,2699.5875965754312,83901.63121412016,104877.03901765021,1.0,0.08120508554279857,105.32141353670947,29.83227264409304,135.15395677979367,105.32165610086072,1.0,-104877.03901765021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08120508554279043,0.08121027698492467,104877.03901765055,0.08121027698492467,-0.052699762208333334,0.0,-104877.03901765055
9,9,-0.08500855716587466,199057.55565002537,29.831762592750046,0.03734063199918862,9237.045438499577,135.35556815774936,-0.047667925166666895,0.047667925166666666,0.0,0.0,105.52395009407016,2702.1772471377813,0.0,0.0,0.0,-0.0850085571658554,0.08500855716585538,105.52395009407014,2702.1772743406655,88000.0,110000.0,1.0,0.08500855716585538,105.5236180057371,29.831762592750046,135.35567057349473,105.52380556499935,1.0,-109999.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08500855716587466,0.08502233140760711,110000.00000000016,0.08502233140760711,-0.047667925166666666,0.0,-110000.00000000016
