,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,EBpv.P_bal,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P
0,0,-4.4080364358656254e-13,199999.99999999843,29.833333333333332,-0.012499999999559197,9955.000000001586,136.4325000000024,-0.012499999999999999,0.0125,-4.4080364358656254e-13,4.4080364358656254e-13,106.59916666666855,2715.9094530570956,0.0,0.0,3.964061543044627e-12,0.0,0.0,106.59916666666855,2715.9094530570956,0.0,0.0,0.0,4.4080364358656254e-13,106.60109224659351,29.833333333333332,136.43442344276815,106.59916666666906,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00035619310521184427,0.00035619310521184427,0.0,0.0,0.0,0.0,0.00035619310521184427,-0.0125,0.0,0.0
1,1,0.0,199999.99999999843,29.833333333333332,-0.016276129854166654,9896.405932526584,136.3446088987899,-0.016276129854166675,0.016276129854166668,0.0,1.3877787807814457e-17,106.51127556545656,2714.7895873801435,0.0,0.0,0.0,0.0,0.0,106.51127556545656,2714.789587380144,0.0,0.0,0.0,1.3877787807814457e-17,106.51703520334088,29.833333333333332,136.35036214417937,106.51127556545656,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007092227080659944,0.0007092227080659944,0.0,0.0,0.0,0.0,0.0007092227080659944,-0.016276129854166668,0.0,0.0
2,2,-0.04985951818918721,199820.50573451733,29.8330341762242,0.02765757281419701,9995.973194657696,136.49395979198658,-0.022201945375000007,0.022201945375,-0.0498595181891857,0.04985951818919749,106.66097533519311,2716.696722115787,52170.21607846353,65212.77009807942,1.0,0.0,0.0,106.66097533519314,2716.6967126179907,0.0,0.0,0.0,0.049859518189197455,106.6312790509447,29.8330341762242,136.4643119964073,106.66092561576235,1.0,0.0,-65212.770098079425,0.0,65212.770098079425,0.0,0.0,-0.04330376986166769,0.04330376986166769,56056.129578079745,0.0,0.0,0.0,0.04330376986166769,-0.022201945375,-56056.129578079745,0.0
3,3,0.0,199820.50573451733,29.8330341762242,-0.038765341483333327,9856.417965317694,136.28462694797656,-0.03876534148333332,0.03876534148333333,0.0,1.3877787807814457e-17,106.45159277175237,2714.0288748428075,0.0,0.0,0.0,0.0,0.0,106.45159277175237,2714.028874842807,0.0,0.0,0.0,1.3877787807814457e-17,106.42857777067374,29.8330341762242,136.26163749073933,106.45159277175235,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001233025618871564,0.001233025618871564,0.0,0.0,0.0,0.0,0.001233025618871564,-0.03876534148333333,0.0,0.0
4,4,0.0,199820.50573451733,29.8330341762242,-0.03494217785,9730.626125057695,136.09593918758657,-0.034942177850000006,0.03494217785,0.0,0.0,106.26290501136234,2711.6224704532683,0.0,0.0,0.0,0.0,0.0,106.26290501136234,2711.622470453269,0.0,0.0,0.0,0.0,106.23989001028373,29.8330341762242,136.07294973034922,106.26290501136232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03494217785,0.0,0.0
5,5,0.0,199820.50573451733,29.8330341762242,-0.07533961891666661,9459.403496957693,135.68910524543656,-0.07533961891666659,0.07533961891666666,0.0,4.163336342344337e-17,105.85607106921235,2706.4266874887253,0.0,0.0,0.0,0.0,0.0,105.85607106921235,2706.4266874887253,0.0,0.0,0.0,4.163336342344337e-17,105.84358199461523,29.8330341762242,135.67663003218732,105.85607106921235,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019470822200211952,0.0019470822200211952,0.0,0.0,0.0,0.0,0.0019470822200211952,-0.07533961891666666,0.0,0.0
6,6,0.0,199820.50573451733,29.8330341762242,-0.10303168916666663,9088.489415957694,135.13273412393656,-0.10303168916666669,0.10303168916666666,0.0,2.7755575615628914e-17,105.29969994771236,2699.3049352129788,0.0,0.0,0.0,0.0,0.0,105.29969994771234,2699.304935212979,0.0,0.0,0.0,2.7755575615628914e-17,105.29969951474729,29.8330341762242,135.13273369145188,105.29969994771234,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002310144586029648,0.002310144586029648,0.0,0.0,0.0,0.0,0.002310144586029648,-0.10303168916666666,0.0,0.0
7,7,-0.045716935881254535,199655.9247653448,29.83275987460891,-0.024580393952078467,9000.000000000007,135.0,-0.07029732983333335,0.07029732983333334,0.0,0.0,105.16728192275096,2697.6070689009625,0.0,0.0,0.0,-0.04571693588125453,0.04571693588125452,105.16728192275096,2697.6070768676377,47165.7525630436,58957.19070380451,1.0,0.045716935881254514,105.16712033311092,29.83275987460891,135.00000000000017,105.16724012198642,1.0,-58957.19070380451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.045716935881254535,0.045717016601506844,58957.19070380457,0.045717016601506844,-0.07029732983333334,0.0,-58957.19070380457
8,8,-0.08120508380402984,199363.5864636503,29.83227264410609,0.02850532159568596,9102.61915547468,135.15392873321204,-0.05269976220833331,0.052699762208333334,0.0,0.0,105.32178797420822,2699.5879551968364,0.0,0.0,0.0,-0.0812050838040191,0.08120508380401907,105.3217879742082,2699.5879805505065,83901.63121412016,104877.0390176502,1.0,0.08120508380401908,105.32141353670944,29.832272644106098,135.1539567797936,105.32165608910594,1.0,-104877.03901765021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08120508380402984,0.08121027698492442,104877.0390176503,0.08121027698492442,-0.052699762208333334,0.0,-104877.0390176503
9,9,-0.08500855326722044,199057.55567188826,29.831762592786482,0.037340628100554725,9237.045416636678,135.35556812495503,-0.047667925166666666,0.047667925166666666,0.0,0.0,105.52395006096476,2702.1776102906065,0.0,0.0,0.0,-0.08500855326722145,0.08500855326722144,105.52395006096478,2702.1776380481438,87999.99999999999,109999.99999999999,1.0,0.08500855326722145,105.52361800573678,29.831762592786486,135.35567057349468,105.52380553216855,1.0,-110000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08500855326722044,0.08502233140760702,109999.99999999999,0.08502233140760702,-0.047667925166666666,0.0,-109999.99999999999
10,10,-0.08485481074066194,198752.0783532219,29.83125346392204,0.03529988832397736,9364.125014602998,135.54618752190453,-0.04955492241666673,0.04955492241666667,0.0,0.0,105.71507806451294,2704.6235106118115,0.0,0.0,0.0,-0.08485481074064345,0.08485481074064347,105.71507806451295,2704.6235273796106,87999.9706915285,109999.96336441064,1.0,0.08485481074064347,105.71488140814058,29.83125346392204,135.54642444086508,105.71493405798248,1.0,-109999.96336441064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08485481074066195,0.08487971267043404,109999.99999999999,0.08487971267043404,-0.04955492241666667,0.0,-109999.99999999999
11,11,-0.08473176012533817,198447.04401677067,29.83074507336129,0.028347958333673578,9466.17766460422,135.69926649690635,-0.05638380179166664,0.056383801791666674,0.0,0.0,105.86866501271983,2706.587446096956,0.0,0.0,0.0,-0.08473176012533985,0.08473176012533987,105.86866501271986,2706.587473629102,88000.0,110000.0,1.0,0.08473176012533987,105.86861577954059,29.83074507336129,135.6996500758029,105.86852142354505,1.0,-110000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08473176012533817,0.0847589193727407,109999.99999999999,0.0847589193727407,-0.056383801791666674,0.0,-109999.99999999999
12,12,-0.08462715998133055,198142.38624083792,29.8302373104014,0.024139875147994868,9553.081215137005,135.82962182270555,-0.06048728483333335,0.060487284833333335,0.0,0.0,105.99952774723371,2708.259740336632,0.0,0.0,0.0,-0.08462715998132946,0.08462715998132946,105.99952774723373,2708.259767783878,87999.99999999999,109999.99999999999,1.0,0.08462715998132946,106.00004502730476,29.830237310401397,135.83015376373126,105.99938451230412,1.0,-110000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08462715998133055,0.08465463444970076,109999.99999999999,0.08465463444970076,-0.060487284833333335,0.0,-109999.99999999999
13,13,-0.14510974819025038,197619.99114735302,29.829366651912256,0.08817528835691703,9870.512253221907,136.3057683798329,-0.05693445983333338,0.05693445983333333,-0.06086194581463852,0.060861945814638496,106.47682286445935,2714.3504952835287,63572.59277837317,79465.74097296647,1.0,-0.08424780237561187,0.08424780237561189,106.47682286445935,2714.3505077874584,87999.99999999999,109999.99999999999,1.0,0.1451097481902504,106.43654956583958,29.829366651912263,136.26559353534384,106.47640172792063,1.0,-110000.0,-79465.74097296648,0.0,79465.74097296647,0.0,0.0,-0.05325959258903712,0.05325959258903712,68575.05418292207,-0.08424780237561187,0.08431186198738443,109999.99999999999,0.13757145457642161,-0.05693445983333333,-68575.05418292207,-109999.99999999999
