,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,EBpv.P_bal,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P
0,0,0.0,200000.0,29.833333333333332,-0.0125,9955.0,136.4325,-0.0125,0.0125,0.0,0.0,106.59916666666668,2715.909453057072,6.205395849388434e-19,3.1059122224051656e-18,0.0,0.0,0.0,106.59916666666668,2715.909453057072,0.0,0.0,0.0,0.0,106.59916666666668,29.833333333333332,136.4325,106.59916666666668,1.0,0.0,-1.852720491169214e-15,4.4994230872557125e-06,4.499423090955388e-06,0.0,0.0,0.0,0.0,4.8095022580508846e-18,0.0,0.0,0.0,0.0,-0.0125,-5.765643326692797e-18,0.0
1,1,0.0,200000.0,29.833333333333332,-0.016276129854166668,9896.405932525,136.3446088987875,-0.016276129854166668,0.016276129854166668,0.0,0.0,106.51127556545417,2714.789587380114,6.205392191769785e-19,3.105911924681612e-18,0.0,0.0,0.0,106.51127556545417,2714.789587380114,0.0,0.0,0.0,0.0,106.51127556545417,29.833333333333332,136.3446088987875,106.51127556545417,1.0,0.0,-1.853693675250469e-15,4.499345380881333e-06,4.499345384582955e-06,0.0,0.0,0.0,0.0,4.809502256146669e-18,0.0,0.0,0.0,0.0,-0.016276129854166668,-5.7656321746028e-18,0.0
2,2,-0.049859519174378066,199820.50573097225,29.833034176218288,0.027657573799378072,9995.97319820276,136.49395979730414,-0.022201945375,0.022201945375,-0.049859519174378066,0.049859519174378066,106.6609753405189,2716.6967221584614,52170.21711190648,65212.7713898831,1.0,0.0,0.0,106.6609753405189,2716.696712660661,0.0,0.0,0.0,0.049859519174378066,106.6609753405189,29.833034176218288,136.49395979730414,106.66092562108585,1.0,0.0,-65212.7713898831,9.152672690076265e-21,65212.7713898831,0.0,0.0,-0.049859519174378066,0.049859519174378066,65212.7713898831,0.0,0.0,0.0,0.04985951917437807,-0.022201945375,-65212.7713898831,0.0
3,3,0.0,199820.50573097225,29.833034176218288,-0.03876534148333333,9856.417968862761,136.28462695329415,-0.03876534148333333,0.03876534148333333,0.0,0.0,106.45159277707586,2714.0288748852286,6.205391932635969e-19,3.1059119002167153e-18,0.0,0.0,0.0,106.45159277707586,2714.0288748852286,0.0,0.0,0.0,0.0,106.45159277707586,29.833034176218288,136.28462695329415,106.45159277707586,1.0,0.0,-1.8537662980835398e-15,4.499363499752102e-06,4.499363503453912e-06,0.0,0.0,0.0,0.0,4.809502257725831e-18,0.0,0.0,0.0,0.0,-0.03876534148333333,-5.765631341480294e-18,0.0
4,4,0.0,199820.50573097225,29.833034176218288,-0.03494217785,9730.62612860276,136.09593919290415,-0.03494217785,0.03494217785,0.0,0.0,106.26290501668586,2711.6224704957276,6.205389677276083e-19,3.105911711804715e-18,0.0,0.0,0.0,106.26290501668586,2711.6224704957276,0.0,0.0,0.0,0.0,106.26290501668586,29.833034176218288,136.09593919290415,106.26290501668586,1.0,0.0,-1.8543591315733083e-15,4.49931730893844e-06,4.499317312641421e-06,0.0,0.0,0.0,0.0,4.8095022449985854e-18,0.0,0.0,0.0,0.0,-0.03494217785,-5.765624558125604e-18,0.0
5,5,0.0,199820.50573097225,29.833034176218288,-0.07533961891666666,9459.403500502762,135.68910525075415,-0.07533961891666666,0.07533961891666666,0.0,0.0,105.85607107453586,2706.426687531266,6.205387880726011e-19,3.1059115661554836e-18,0.0,0.0,0.0,105.85607107453586,2706.426687531266,0.0,0.0,0.0,0.0,105.85607107453586,29.833034176218288,135.68910525075415,105.85607107453586,1.0,0.0,-1.8548217688624027e-15,4.499233577162991e-06,4.499233580866909e-06,0.0,0.0,0.0,0.0,4.809502226480765e-18,0.0,0.0,0.0,0.0,-0.07533961891666666,-5.765619279453375e-18,0.0
6,6,0.0,199820.50573097225,29.833034176218288,-0.10303168916666666,9088.489419502761,135.13273412925415,-0.10303168916666666,0.10303168916666666,0.0,0.0,105.29969995303586,2699.304935255631,6.205313968745267e-19,3.1059064504705716e-18,0.0,0.0,0.0,105.29969995303586,2699.304935255631,9.93983003349798e-19,1.2424787541872474e-18,0.0,0.0,105.29969995303586,29.833034176218288,135.13273412925415,105.29969995303586,1.0,-1.2424787541872474e-18,-1.8734360808773706e-15,4.493405373321631e-06,4.493405377062739e-06,0.0,0.0,0.0,0.0,4.809501568492356e-18,0.0,0.0,1.2424787541872474e-18,0.0,-0.10303168916666666,-5.765407044122276e-18,-1.2424787541872474e-18
7,7,-0.04571693552734779,199655.92476307377,29.832759874605124,-0.02458039430598552,9000.000000001213,135.00000000000182,-0.07029732983333334,0.07029732983333334,0.0,0.0,105.16728192616057,2697.6071665223158,6.205314802100864e-19,3.1059062085894003e-18,0.0,-0.04571693552734779,0.04571693552734779,105.16728192616057,2697.6071745639356,47165.75256304003,58957.190703800035,1.0,0.045716935527347805,105.16728192616057,29.832759874605124,135.00000000000182,105.16724012539669,1.0,-58957.190703800035,-1.8731244249152455e-15,4.493897795143972e-06,4.493897798884453e-06,0.0,0.0,0.0,0.0,4.80950125674543e-18,-0.04571693552734779,0.0457169355273478,58957.190703800035,0.04571693552734781,-0.07029732983333334,-5.7654109233874515e-18,-58957.190703800035
8,8,-0.08120507541905202,199363.5864915652,29.83227264415261,0.028505313210718634,9102.6191275598,135.1539286913397,-0.052699762208333334,0.052699762208333334,0.0,0.0,105.32178793247256,2699.5880275418654,6.205506917435574e-19,3.1059178296978734e-18,0.0,-0.08120507541905202,0.08120507541905202,105.32178793247256,2699.5880528953044,83901.63121411647,104877.03901764558,1.0,0.08120507541905199,105.32178793247256,29.83227264415261,135.1539286913397,105.32165604718709,1.0,-104877.03901764558,-1.8097250351148996e-15,4.483521992987369e-06,4.4835219966010555e-06,0.0,0.0,0.0,0.0,4.8094829946007975e-18,-0.08120507541905202,0.081205075419052,104877.03901764558,0.08120507541905199,-0.052699762208333334,-5.766156437836522e-18,-104877.03901764558
9,9,-0.08500855328656495,199057.55569973355,29.83176259283289,0.037340628119898245,9237.045388791434,135.35556808318714,-0.047667925166666666,0.047667925166666666,0.0,0.0,105.5239500194369,2702.1776755219835,6.205481888456757e-19,3.105918446525684e-18,0.0,-0.08500855328656495,0.08500855328656495,105.5239500194369,2702.177703279421,87999.99999999632,109999.9999999954,1.0,0.08500855328656494,105.5239500194369,29.83176259283289,135.35556808318714,105.52380549035426,1.0,-109999.9999999954,-1.820075620682912e-15,4.483880517420467e-06,4.483880521054853e-06,0.0,0.0,0.0,0.0,4.8094897170220424e-18,-0.08500855328656495,0.08500855328656494,109999.9999999954,0.08500855328656493,-0.047667925166666666,-5.766031413684576e-18,-109999.9999999954
10,10,-0.08485486150789356,198752.07819830516,29.831253463663842,0.03529993909122687,9364.12516951985,135.54618775427977,-0.04955492241666667,0.04955492241666667,0.0,0.0,105.71507829756636,2704.6237027958205,6.205480784079052e-19,3.1059184579140477e-18,0.0,-0.08485486150789356,0.08485486150789356,105.71507829756636,2704.6237304279675,87999.99999999633,109999.99999999542,1.0,0.08485486150789355,105.71507829756636,29.831253463663842,135.54618775427977,105.71493429061593,1.0,-109999.99999999542,-1.8205098933148098e-15,4.4838892004890406e-06,4.483889204124294e-06,0.0,0.0,0.0,0.0,4.8094899679260935e-18,-0.08485486150789356,0.08485486150789356,109999.99999999542,0.08485486150789355,-0.04955492241666667,-5.7660261990097604e-18,-109999.99999999542
11,11,-0.08473175993588533,198447.04386253597,29.83074507310423,0.028347958144218647,9466.177818839038,135.69926672825855,-0.056383801791666674,0.056383801791666674,0.0,0.0,105.86866524457717,2706.587680584401,6.205476563831906e-19,3.1059184989067917e-18,0.0,-0.08473175993588533,0.08473175993588535,105.86866524457717,2706.58770811644,87999.99999999633,109999.99999999542,1.0,0.08473175993588533,105.86866524457717,29.83074507310423,135.69926672825855,105.86852165515434,1.0,-109999.99999999542,-1.8221788560521805e-15,4.483970402513727e-06,4.48397040615232e-06,0.0,0.0,0.0,0.0,4.809490937291085e-18,-0.08473175993588533,0.08473175993588533,109999.99999999542,0.08473175993588532,-0.056383801791666674,-5.7660061145001114e-18,-109999.99999999542
