,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,EBpv.P_bal,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P
0,0,-3.836930773104541e-13,199999.99999999863,29.833333333333332,-0.012499999999616304,9955.00000000138,135.78000000000236,-0.012499999999999987,0.0125,-3.836930773104541e-13,3.836930773104541e-13,105.94666666666903,2707.5845705298643,0.0,0.0,3.450477313942933e-12,0.0,0.0,105.94666666666903,2707.584570529864,0.0,0.0,0.0,3.836930773104541e-13,105.94922426490186,29.833333333333332,135.78255511409645,105.94666666666903,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00041402311750360306,0.00041402311750360306,0.0,0.0,0.0,0.0,0.00041402311750360306,-0.0125,0.0,0.0
1,1,-0.07688001230183986,199723.231955712,29.83287205325952,0.06060388244767933,10173.173976813026,136.15401253167948,-0.01627612985416665,0.016276129854166668,-0.07688001230184643,0.07688001230184645,106.321258689128,2712.3668010123024,80186.74061853615,100233.42577317018,1.0,0.0,0.0,106.321258689128,2712.366778395709,0.0,0.0,0.0,0.07688001230184616,106.3698901167661,29.832872053259518,136.2025727158987,106.32114047841996,1.0,0.0,-100233.42577317018,0.0,100233.42577317021,0.0,0.0,-0.08433453755356678,0.08433453755356678,109999.99999999997,0.0,0.0,0.0,0.08433453755356678,-0.016276129854166668,-109999.99999999997,0.0
2,2,-0.08406875657414256,199420.58443204509,29.832367640720076,0.061866811199136784,10395.894497129915,136.535819137937,-0.022201945375000007,0.022201945375,-0.08406875657414256,0.0840687565741368,106.70359284831028,2717.239303272988,88000.0,109999.99999999999,1.0,0.0,0.0,106.70359284831028,2717.239276276276,0.0,0.0,0.0,0.08406875657413679,106.75198987998176,29.832367640720072,136.58416929052134,106.70345149721693,1.0,0.0,-109999.99999999999,0.0,109999.99999999999,0.0,0.0,-0.08403472367035573,0.08403472367035573,109999.99999999997,0.0,0.0,0.0,0.08403472367035573,-0.022201945375,-109999.99999999997,0.0
3,3,-0.027799999995439764,199320.50443206148,29.83220084072011,-0.010965341487902831,10356.419267773468,136.4681473161831,-0.03876534148333332,0.03876534148333333,-0.027799999995439768,0.02779999999543092,106.63596193226299,2716.37814640741,29081.546261463187,36351.932826828976,1.0,0.0,0.0,106.635961932263,2716.3781434543835,0.0,0.0,0.0,0.027799999995430497,106.61395424254762,29.832200840720102,136.44617107423548,106.63594647546299,1.0,0.0,-36351.93282682898,0.0,36351.932826828976,0.0,0.0,-0.016404519399987518,0.016404519399987518,20644.831586201675,0.0,0.0,0.0,0.016404519399987518,-0.03876534148333333,-20644.831586201675,0.0
4,4,0.0,199320.50443206148,29.83220084072011,-0.034942177850000006,10230.627427513467,136.25250416145167,-0.034942177850000006,0.03494217785,0.0,0.0,106.42030332073156,2713.6299766491234,0.0,0.0,0.0,0.0,0.0,106.42030332073155,2713.629976649124,0.0,0.0,0.0,0.0,106.39830571299322,29.832200840720102,136.23052791950417,106.42030332073156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03494217785,0.0,0.0
5,5,0.0,199320.50443206148,29.83220084072011,-0.07533961891666661,9959.404799413467,135.7875510847088,-0.07533961891666659,0.07533961891666666,0.0,4.163336342344337e-17,105.95535024398868,2707.6955275936334,0.0,0.0,0.0,0.0,0.0,105.95535024398866,2707.6955275936325,0.0,0.0,0.0,4.163336342344337e-17,105.94308373256138,29.832200840720102,135.77529648747324,105.95535024398869,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015752665042405721,0.0015752665042405721,0.0,0.0,0.0,0.0,0.0015752665042405721,-0.07533961891666666,0.0,0.0
6,6,0.0,199320.50443206148,29.83220084072011,-0.10303168916666663,9588.490718413466,135.1516983744231,-0.10303168916666666,0.10303168916666666,0.0,2.7755575615628914e-17,105.31949753370296,2699.5586739625596,0.0,0.0,0.0,0.0,0.0,105.31949753370297,2699.5586739625605,0.0,0.0,0.0,2.7755575615628914e-17,105.31949698578492,29.83220084072011,135.15169782703722,105.31949753370299,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019856099293596775,0.0019856099293596775,0.0,0.0,0.0,0.0,0.0019856099293596775,-0.10303168916666666,0.0,0.0
7,7,-0.04571657471848315,199155.92476307496,29.83192654127179,-0.024580755114850215,9500.000000000005,135.00000000000003,-0.07029732983333334,0.07029732983333334,0.0,0.0,105.16811525883197,2697.617853774496,0.0,0.0,0.0,-0.04571657471848315,0.04571657471848315,105.16811525883193,2697.6178618087397,47165.75256304361,58957.19070380451,1.0,0.045716574718483116,105.16795366736943,29.831926541271795,134.99999999999994,105.16807345872822,1.0,-58957.19070380451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04571657471848315,0.04571666341525242,58957.190703804474,0.04571666341525242,-0.07029732983333334,0.0,-58957.190703804474
8,8,-0.06027355628711125,198938.93996044138,29.831564899934065,0.007573794078779479,9527.265658683615,135.04674112917192,-0.052699762208333306,0.052699762208333334,0.0,0.0,105.21524888726938,2698.2220584406396,0.0,0.0,0.0,-0.06027355628711125,0.06027355628711125,105.21524888726937,2698.2220724045933,62212.04978853894,77765.06223567367,1.0,0.06027355628711281,105.16833800375822,29.83156489993407,134.99999999999994,105.21517622923783,1.0,-77765.06223567367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06027355628711124,0.05269976220833382,67961.58333175801,0.05269976220833382,-0.052699762208333334,0.0,-67961.58333175801
9,9,-0.04494590087487256,198777.13471729174,29.831295224528812,-0.0027220242917941136,9517.466371233153,135.0299423506854,-0.04766792516666662,0.047667925166666666,0.0,0.0,105.19868752883669,2698.0097404763524,0.0,0.0,0.0,-0.04494590087487255,0.04494590087487256,105.19868752883671,2698.009748247051,46384.13036115092,57980.16295143864,1.0,0.04494590087487256,105.36627674986133,29.83129522452882,135.19728504221197,105.1986471261566,1.0,-57980.16295143864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04494590087487255,0.07963540885842894,102698.32098513526,0.07963540885842894,-0.047667925166666666,0.0,-102698.32098513526
