,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,EBpv.P_bal,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P
0,0,-4.856262961205893e-13,199999.99999999825,29.833333333333332,-0.00416666666618104,9985.000000001748,135.83142857143156,-0.004166666666666667,0.004166666666666667,-4.856262961205893e-13,4.856262961205893e-13,105.99809523805757,2708.241647890248,0.0,0.0,4.3671429507247245e-12,0.0,0.0,105.99809523805757,2708.2416478902555,0.0,0.0,0.0,4.856262961205893e-13,105.99809523805757,29.833333333333332,135.83142857143156,105.99809523809823,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.856262961205893e-13,4.856262961205893e-13,0.0,0.0,0.0,0.0,4.856262961205893e-13,-0.004166666666666667,0.0,0.0
1,1,0.0,199999.99999999825,29.83333333333333,-0.0067506020207934725,9960.697832726892,135.7897677132461,-0.006750602020833334,0.006750602020833334,0.0,0.0,105.95643437991278,2707.7093800258235,0.0,0.0,0.0,0.0,0.0,105.95643437991278,2707.7093800258235,0.0,0.0,0.0,0.0,105.95643437991278,29.83333333333333,135.7897677132461,105.95643437991278,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006750602020833334,0.0,0.0
2,2,0.0,199999.99999999825,29.833333333333332,-0.005248506070830523,9941.803210871904,135.75737693292325,-0.005248506070833333,0.005248506070833333,0.0,0.0,105.92404359958962,2707.2954763111416,0.0,0.0,0.0,0.0,0.0,105.92404359958962,2707.29547631122,0.0,0.0,0.0,0.0,105.92404359958962,29.833333333333332,135.75737693292325,105.92404359958992,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005248506070833333,0.0,0.0
3,3,0.0,199999.99999999825,29.833333333333332,-0.00622384403749901,9919.397372336905,135.7189669240061,-0.006223844037500001,0.006223844037500001,0.0,0.0,105.88563359067278,2706.804574205884,0.0,0.0,0.0,0.0,0.0,105.88563359067278,2706.804574205884,0.0,0.0,0.0,0.0,105.88563359067278,29.833333333333332,135.7189669240061,105.88563359067278,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006223844037500001,0.0,0.0
4,4,0.0,199999.99999999825,29.833333333333332,-0.007025048279165291,9894.10719853191,135.67561234034042,-0.007025048279166668,0.007025048279166668,0.0,0.0,105.8422790070071,2706.250370598357,0.0,0.0,0.0,0.0,0.0,105.8422790070071,2706.250370598357,0.0,0.0,0.0,0.0,105.8422790070071,29.833333333333332,135.67561234034042,105.8422790070071,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007025048279166668,0.0,0.0
5,5,0.0,199999.99999999825,29.833333333333332,-0.007512908587498486,9867.060727616918,135.629246961629,-0.0075129085875000005,0.0075129085875000005,0.0,0.0,105.79591362829568,2705.657554244246,0.0,0.0,0.0,0.0,0.0,105.79591362829568,2705.6575542442465,0.0,0.0,0.0,0.0,105.79591362829568,29.833333333333332,135.629246961629,105.79591362829568,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0075129085875000005,0.0,0.0
6,6,0.0,199999.99999999825,29.833333333333332,-0.006499732595834966,9843.66169027191,135.5891343261804,-0.0064997325958333334,0.0064997325958333334,0.0,0.0,105.75580099284709,2705.144579117102,0.0,0.0,0.0,0.0,0.0,105.75580099284709,2705.144579117102,0.0,0.0,0.0,0.0,105.75580099284709,29.833333333333332,135.5891343261804,105.75580099284709,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0064997325958333334,0.0,0.0
7,7,0.0,199999.99999999825,29.833333333333332,-0.005564631366664199,9823.62901735192,135.55479260117474,-0.005564631366666666,0.005564631366666666,0.0,0.0,105.72145926784141,2704.705327211717,0.0,0.0,0.0,0.0,0.0,105.72145926784141,2704.7053272117173,0.0,0.0,0.0,0.0,105.72145926784141,29.833333333333332,135.55479260117474,105.72145926784141,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005564631366666666,0.0,0.0
8,8,0.0,199999.99999999825,29.833333333333332,-0.0023393284408326854,9815.207434964921,135.540355602797,-0.0023393284408333333,0.0023393284408333333,0.0,0.0,105.70702226946368,2704.52064777272,0.0,0.0,0.0,0.0,0.0,105.70702226946368,2704.52064777272,0.0,0.0,0.0,0.0,105.70702226946368,29.833333333333332,135.540355602797,105.70702226946368,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023393284408333333,0.0,0.0
9,9,0.0,199999.99999999825,29.833333333333332,-0.020293570137496438,9742.150582469932,135.41511528423416,-0.0202935701375,0.0202935701375,0.0,0.0,105.58178195090083,2702.918032326793,0.0,0.0,0.0,0.0,0.0,105.58178195090083,2702.918032326793,1.4407930876040526e-11,1.8009913595050658e-11,0.0,0.0,105.58178195090083,29.833333333333332,135.41511528423416,105.58178195090083,1.0,-1.8009913595050658e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8009913595050658e-11,0.0,-0.0202935701375,0.0,-1.8009913595050658e-11
10,10,0.0,199999.99999999825,29.833333333333332,-0.017729995412499998,9678.322598984934,135.30569588397418,-0.017729995412499998,0.017729995412499998,0.0,0.0,105.47236255064085,2701.517088292325,0.0,0.0,0.0,0.0,0.0,105.47236255064085,2701.517088292325,2.8786134512034395e-11,3.5982668140042987e-11,0.0,0.0,105.47236255064085,29.833333333333332,135.30569588397418,105.47236255064085,1.0,-3.5982668140042987e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5982668140042987e-11,0.0,-0.017729995412499998,0.0,-3.5982668140042987e-11
11,11,0.0,199999.99999999825,29.833333333333332,-0.02751100549583333,9579.282979199936,135.13591367862847,-0.02751100549583333,0.02751100549583333,0.0,0.0,105.30258034529514,2699.3418537077964,0.0,0.0,0.0,0.0,0.0,105.30258034529514,2699.3418537077964,0.0,0.0,0.0,0.0,105.30258034529514,29.833333333333332,135.13591367862847,105.30258034529514,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02751100549583333,0.0,0.0
