,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pump2.Qin,Pump2.Qout,Pump2.H,Pump2.n,Pump2.Ph,Pump2.Pe,Pump2.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,EBpv.P_bal,p1r0_expanded.Q,p1c1_Q_expanded.Q,p1eb_expanded.P,p2r0_expanded.Q,p2c1_Q_expanded.Q,p2eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P
0,0,0.0,200000.0,29.833333333333332,-0.004166666666666667,9985.0,135.83142857142857,-0.004166666666666667,0.004166666666666667,0.0,0.0,105.99809523809525,2708.241647890736,3.658192269372289e-17,5.731020461795653e-17,0.0,0.0,0.0,105.99809523809525,2708.241647890736,0.0,0.0,0.0,0.0,105.99809523809525,29.833333333333332,135.83142857142857,105.99809523809525,1.0,0.0,-7.124838471629852e-17,2.9229606383775624e-07,2.9229606390927605e-07,0.0,0.0,0.0,0.0,6.616393857653605e-17,0.0,0.0,0.0,0.0,-0.004166666666666667,-7.097702884004979e-17,0.0
1,1,0.0,200000.0,29.833333333333332,-0.006750602020833334,9960.697832725,135.78976771324284,-0.006750602020833334,0.006750602020833334,0.0,0.0,105.95643437990951,2707.709380025782,3.704962147757246e-17,5.744301363870948e-17,0.0,0.0,0.0,105.95643437990951,2707.709380025782,0.0,0.0,0.0,0.0,105.95643437990951,29.833333333333332,135.78976771324284,105.95643437990951,1.0,0.0,-7.076129169867577e-17,2.839445964399339e-07,2.839445965109648e-07,0.0,0.0,0.0,0.0,6.590518131276596e-17,0.0,0.0,0.0,0.0,-0.006750602020833334,-7.049178229761409e-17,0.0
2,2,0.0,200000.0,29.833333333333332,-0.005248506070833333,9941.803210869999,135.75737693291998,-0.005248506070833333,0.005248506070833333,0.0,0.0,105.92404359958665,2707.2954763111825,3.7038413081114924e-17,5.743918699440168e-17,0.0,0.0,0.0,105.92404359958665,2707.2954763111825,0.0,0.0,0.0,0.0,105.92404359958665,29.833333333333332,135.75737693291998,105.92404359958665,1.0,0.0,-7.077017198365696e-17,2.699952858477278e-07,2.6999528591876605e-07,0.0,0.0,0.0,0.0,6.591017126524428e-17,0.0,0.0,0.0,0.0,-0.005248506070833333,-7.050186939405615e-17,0.0
3,3,0.0,200000.0,29.833333333333332,-0.006223844037500001,9919.397372335,135.71896692400284,-0.006223844037500001,0.006223844037500001,0.0,0.0,105.88563359066951,2706.804574205842,3.723301930984221e-17,5.750963929854381e-17,0.0,0.0,0.0,105.88563359066951,2706.804574205842,0.0,0.0,0.0,0.0,105.88563359066951,29.833333333333332,135.71896692400284,105.88563359066951,1.0,0.0,-7.060423044327663e-17,2.703600145844307e-07,2.703600146553029e-07,0.0,0.0,0.0,0.0,6.583108554407621e-17,0.0,0.0,0.0,0.0,-0.006223844037500001,-7.033635118273326e-17,0.0
4,4,0.0,200000.0,29.833333333333332,-0.007025048279166668,9894.107198529999,135.67561234033712,-0.007025048279166668,0.007025048279166668,0.0,0.0,105.8422790070038,2706.2503705983154,3.6579040158621434e-17,5.730957154330796e-17,0.0,0.0,0.0,105.8422790070038,2706.2503705983154,0.0,0.0,0.0,0.0,105.8422790070038,29.833333333333332,135.67561234033712,105.8422790070038,1.0,0.0,-7.124998406159104e-17,2.7089428401807223e-07,2.708942840895916e-07,0.0,0.0,0.0,0.0,6.61658819955526e-17,0.0,0.0,0.0,0.0,-0.007025048279166668,-7.098046315425918e-17,0.0
5,5,0.0,200000.0,29.833333333333332,-0.0075129085875000005,9867.060727614999,135.6292469616257,-0.0075129085875000005,0.0075129085875000005,0.0,0.0,105.79591362829238,2705.657554244204,3.526605867816678e-17,5.737666356105331e-17,0.0,0.0,0.0,105.79591362829238,2705.657554244204,0.0,0.0,0.0,0.0,105.79591362829238,29.833333333333332,135.6292469616257,105.79591362829238,1.0,0.0,-7.366297170543206e-17,2.739909939132558e-07,2.7399099398719253e-07,0.0,0.0,0.0,0.0,6.771654225002266e-17,0.0,0.0,0.0,0.0,-0.0075129085875000005,-7.338925234697812e-17,0.0
6,6,0.0,200000.0,29.833333333333332,-0.0064997325958333334,9843.661690269999,135.58913432617715,-0.0064997325958333334,0.0064997325958333334,0.0,0.0,105.75580099284382,2705.14457911706,3.440834799650147e-17,5.824400432418426e-17,0.0,0.0,0.0,105.75580099284382,2705.14457911706,0.0,0.0,0.0,0.0,105.75580099284382,29.833333333333332,135.58913432617715,105.75580099284382,1.0,0.0,-7.716606778290901e-17,2.91041824149912e-07,2.9104182422735724e-07,0.0,0.0,0.0,0.0,7.025564128028542e-17,0.0,0.0,0.0,0.0,-0.0064997325958333334,-7.688703864144642e-17,0.0
7,7,0.0,200000.0,29.833333333333332,-0.005564631366666666,9823.629017349998,135.5547926011714,-0.005564631366666666,0.005564631366666666,0.0,0.0,105.72145926783809,2704.705327211675,3.426348433330053e-17,6.309991432197449e-17,0.0,0.0,0.0,105.72145926783809,2704.705327211675,2.528343407693243e-15,3.1604292596165537e-15,0.0,0.0,105.72145926783809,29.833333333333332,135.5547926011714,105.72145926783809,1.0,-3.1604292596165537e-15,-8.906757822436554e-17,1.565811864621606e-07,1.5658118655149522e-07,0.0,0.0,0.0,0.0,7.95895531339144e-17,0.0,0.0,3.1604292596165537e-15,0.0,-0.005564631366666666,-8.880059229495395e-17,-3.1604292596165537e-15
8,8,-0.038302623345475746,199862.1105559563,29.83310351759326,0.03596329490464241,9953.09687900671,135.77673750686864,-0.0023393284408333333,0.0023393284408333333,0.0,0.0,105.9436633310945,2707.546193472107,3.414189888935505e-17,6.207362023564798e-17,0.0,-0.038302623345475746,0.038302623345475746,105.9436633310945,2707.546199096157,39808.19747994997,49760.246849937466,1.0,0.038302623345475746,105.9436633310945,29.83310351759326,135.77673750686864,105.94363398927538,1.0,-49760.246849937466,-8.701304103006796e-17,1.622487880818953e-07,1.6224878816917586e-07,0.0,0.0,0.0,0.0,7.78937353296024e-17,-0.038302623345475746,0.038302623345475746,49760.246849937466,0.038302623345475746,-0.0023393284408333333,-8.674573495348316e-17,-49760.246849937466
9,9,-0.062318998896133154,199637.76215993022,29.832729603599883,0.04202542875863315,10104.38842253779,136.0360944386362,-0.0202935701375,0.0202935701375,0.0,0.0,106.2034425081888,2710.8636806005165,3.466175071797723e-17,6.535323484277921e-17,0.0,-0.062318998896133154,0.062318998896133154,106.2034425081888,2710.863695470185,64927.408643211245,81159.26080401406,1.0,0.062318998896133154,106.2034425081888,29.832729603599883,136.0360944386362,106.20336483503633,1.0,-81159.26080401406,-9.317825854938811e-17,6.140948225243339e-08,6.14094823457883e-08,0.0,0.0,0.0,0.0,8.312955861127477e-17,-0.062318998896133154,0.062318998896133154,81159.26080401406,0.062318998896133154,-0.0202935701375,-9.300138829089046e-17,-81159.26080401406
