,t,B4w.Q,B4w.W,B4w.z,B5w.Q,B5w.W,B5w.z,Irrigation1w.Qin,Irrigation1w.Qout,Pump1w.Qin,Pump1w.Qout,Pump1w.H,Pump1w.Ph,Pump1w.Pe,Pump1w.PumpOn,Pump2w.Qin,Pump2w.Qout,Pump2w.H,Pump2w.Ph,Pump2w.Pe,Pump2w.PumpOn,Turb1w.Qin,Turb1w.Qout,Turb1w.H,Turb1w.Ph,Turb1w.Pe,Pipe1w.Q,Pipe1w.H,Pipe1w.zlow,Pipe1w.zhigh,Pipe1w.Qp,Pipe1w.Qn,PVw.forecast,PVw.P,Gridw.P,Gridw.Psell,Gridw.Pbuy,EBgw.P_bal,EBpvw.P_bal,Batw.E,Batw.P,Batw.Pch,Batw.Pdc,B4s.Q,B4s.W,B4s.z,B5s.Q,B5s.W,B5s.z,Irrigation1s.Qin,Irrigation1s.Qout,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.Ph,Pump1s.Pe,Pump1s.PumpOn,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.Ph,Pump2s.Pe,Pump2s.PumpOn,Turb1s.Qin,Turb1s.Qout,Turb1s.H,Turb1s.Ph,Turb1s.Pe,Pipe1s.Q,Pipe1s.H,Pipe1s.zlow,Pipe1s.zhigh,Pipe1s.Qp,Pipe1s.Qn,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBgs.P_bal,EBpvs.P_bal,Bats.E,Bats.P,Bats.Pch,Bats.Pdc,p1r0w_expanded.Q,p1c1_Qw_expanded.Q,p1ebw_expanded.P,p2r0w_expanded.Q,p2c1_Qw_expanded.Q,p2ebw_expanded.P,t1r0w_expanded.Q,t1c1_Qw_expanded.Q,t1ebw_expanded.P,c1r1_Qw_expanded.Q,r1i1w_expanded.Q,gridebw_expanded.P,pvebw_expanded.P,batebw_expanded.P,p1r0s_expanded.Q,p1c1_Qs_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2c1_Qs_expanded.Q,p2ebs_expanded.P,t1r0s_expanded.Q,t1c1_Qs_expanded.Q,t1ebs_expanded.P,c1r1_Qs_expanded.Q,r1i1s_expanded.Q,gridebs_expanded.P,pvebs_expanded.P,batebs_expanded.P
0,0,0.0,230000.0,429.4597414233086,-0.01779899717599983,123935.92361016638,448.36873061828,-0.017798997174485583,0.017798997174485583,0.0,0.0,18.90898919497131,0.0,0.0,0.0,0.0,0.0,18.90898919497131,0.0,0.0,0.0,0.0,0.0,18.90898919497131,0.0,0.0,0.0,18.90898919497131,429.4597414233086,448.36873061828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-0.41167971227051836,228517.95303582613,429.4004499641716,0.37066362194028063,161334.38903898495,449.65684765329587,-0.041016090330237606,0.041016090330237606,-0.41167971227051836,0.4116797122705183,21.290938637423505,85985.11580724696,99866.56888181991,1.0,0.0,0.0,21.2909386374235,0.0,0.0,0.0,0.0,0.0,21.290938637423505,0.0,0.0,0.4116797122705183,21.290938637423505,429.4004499641716,449.65684765329587,0.4116797122705183,0.0,0.0,0.0,-99866.56888181993,0.0,99866.56888181991,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017798997174485583,0.0,0.0,0.0,-0.41167971227051836,0.4116797122705183,99866.56888181991,0.0,0.0,0.0,0.0,0.0,0.0,0.4116797122705183,-0.041016090330237606,-99866.56888181993,0.0,0.0
1,1,0.0,229999.99999999994,429.4597414233086,-0.017708452452895446,123872.17318133597,448.36653485937853,-0.017708452452895446,0.017708452452895446,0.0,0.0,18.90679343606987,0.0,0.0,0.0,0.0,0.0,18.90679343606987,0.0,0.0,0.0,0.0,0.0,18.90679343606987,0.0,0.0,0.0,18.90679343606987,429.4597414233086,448.36653485937853,2.7787257452630507e-05,2.7787257452630507e-05,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,228517.95303582613,429.40044996417174,-0.040882715338027065,161187.21126376808,449.6517784025323,-0.04088271533802706,0.04088271533802706,0.0,0.0,20.25132843836056,0.0,0.0,0.0,0.0,0.0,20.25132843836056,0.0,0.0,0.0,0.0,0.0,20.25132843836056,0.0,0.0,0.0,20.25132843836056,429.4004499641717,449.6517784025323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017708452452895446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04088271533802706,0.0,0.0,0.0
2,2,0.0,229999.99999999988,429.4597414233086,-0.017164296928039707,123810.38171239501,448.3644065730211,-0.017164296928039707,0.017164296928039707,0.0,0.0,18.904665149712383,0.0,0.0,0.0,0.0,0.0,18.904665149712383,0.0,0.0,0.0,0.0,0.0,18.904665149712383,0.0,0.0,0.0,18.904665149712383,429.4597414233086,448.3644065730211,2.744421423385777e-05,2.7444214233857766e-05,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,228517.95303582607,429.40044996417174,-0.04219724983359337,161035.30116436712,449.6465461561129,-0.04219724983359336,0.04219724983359336,0.0,0.0,20.246095767271836,0.0,0.0,0.0,0.0,0.0,20.246095767271836,0.0,0.0,0.0,0.0,0.0,20.246095767271836,0.0,0.0,0.0,20.246095767271836,429.4004499641717,449.6465461561129,2.7542779744649858e-05,2.754277974464986e-05,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017164296928039707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04219724983359336,0.0,0.0,0.0
3,3,0.0,229999.99999999985,429.4597414233086,-0.017697178842817237,123746.67186856088,448.36221221199054,-0.017697178842817237,0.017697178842817237,0.0,0.0,18.902470788681846,0.0,0.0,0.0,0.0,0.0,18.902470788681846,0.0,0.0,0.0,0.0,0.0,18.902470788681846,0.0,0.0,0.0,18.902470788681846,429.4597414233086,448.36221221199054,3.3531544708743925e-05,3.3531544708743925e-05,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,228517.953035826,429.40044996417174,-0.04035074590333576,160890.03847911512,449.6415428668795,-0.040350745903335754,0.040350745903335754,0.0,0.0,20.241092654196482,0.0,0.0,0.0,0.0,0.0,20.241092654196482,0.0,0.0,0.0,0.0,0.0,20.241092654196482,0.0,0.0,0.0,20.241092654196482,429.4004499641717,449.6415428668795,3.442288193033344e-05,3.4422881930333434e-05,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017697178842817237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040350745903335754,0.0,0.0,0.0
4,4,0.0,229999.9999999998,429.4597414233086,-0.01824870116498837,123680.97654436692,448.3599494649701,-0.018248701164988366,0.018248701164988366,0.0,0.0,18.900208041661465,0.0,0.0,0.0,0.0,0.0,18.900208041661468,0.0,0.0,0.0,0.0,0.0,18.900208041661465,0.0,0.0,0.0,18.900208041661465,429.4597414233086,448.3599494649701,3.491952219337541e-05,3.4919522193375416e-05,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,228517.95303582598,429.40044996417174,-0.04119975918011979,160741.71934606665,449.6364343042766,-0.04119975918011978,0.04119975918011978,0.0,0.0,20.235984883387026,0.0,0.0,0.0,0.0,0.0,20.23598488338703,0.0,0.0,0.0,0.0,0.0,20.235984883387026,0.0,0.0,0.0,20.235984883387026,429.4004499641717,449.6364343042766,2.638188259157275e-05,2.638188259157275e-05,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018248701164988366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04119975918011978,0.0,0.0,0.0
5,5,0.0,229999.99999999974,429.4597414233086,-0.01940082878491145,123611.13356074125,448.3575438599285,-0.019400828784911447,0.019400828784911447,0.0,0.0,18.897802436619823,0.0,0.0,0.0,0.0,0.0,18.897802436619823,0.0,0.0,0.0,0.0,0.0,18.897802436619823,0.0,0.0,0.0,18.897802436619823,429.4597414233086,448.3575438599285,3.546070730386236e-05,3.546070730386237e-05,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,228517.95303582592,429.40044996417174,-0.053304895289615246,160549.82172302398,449.62982476577315,-0.053304895289615246,0.053304895289615246,0.0,0.0,20.22937425762324,0.0,0.0,0.0,0.0,0.0,20.22937425762324,0.0,0.0,0.0,0.0,0.0,20.22937425762324,0.0,0.0,0.0,20.22937425762324,429.4004499641717,449.62982476577315,2.684857581233993e-05,2.684857581233993e-05,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019400828784911447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053304895289615246,0.0,0.0,0.0
6,6,0.0,229999.9999999997,429.4597414233086,-0.021985294158407383,123531.98650177095,448.3548177941993,-0.02198529415840738,0.02198529415840738,0.0,0.0,18.89507637089066,0.0,0.0,0.0,0.0,0.0,18.895076370890663,0.0,0.0,0.0,0.0,0.0,18.89507637089066,0.0,0.0,0.0,18.89507637089066,429.4597414233086,448.3548177941993,3.0021221231517175e-05,3.002122123151718e-05,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,228517.95303582586,429.40044996417174,-0.08631852947028,160239.07501693096,449.6191217029308,-0.08631852947028001,0.08631852947028001,0.0,0.0,20.218671345859015,0.0,0.0,0.0,0.0,0.0,20.21867134585901,0.0,0.0,0.0,0.0,0.0,20.218671345859015,0.0,0.0,0.0,20.218671345859015,429.4004499641717,449.6191217029308,3.727389865921922e-05,3.727389865921922e-05,0.07357298277434086,-17015.959456049557,17015.959456049557,17015.95945604956,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02198529415840738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08631852947028001,17015.959456049557,-17015.959456049557,0.0
7,7,0.0005908575249674203,230002.12708708952,429.4598265205426,-0.024595469326766754,123443.44281219457,448.35176807989734,-0.024004611801799334,0.024004611801799334,0.0,0.0,18.891939256873414,0.0,0.0,0.0,0.0,0.0,18.891939256873414,0.0,0.0,0.0,-0.0005908575249674203,0.0005908575249674203,18.891939256873414,-109.50363376845856,-54.75181688422927,-0.0005908575249674204,18.891939256873414,429.4598265205426,448.35176807989734,0.0,0.0005908575249674203,0.07477177315670108,-17293.215695681825,17347.967512566054,17347.967512566058,0.0,0,0,0.0,0.0,0.0,0.0,0.0,228517.95303582583,429.40044996417174,-0.09985652965484033,159879.59151017354,449.6067399962604,-0.09985652965484032,0.09985652965484032,0.0,0.0,20.20629001983701,0.0,0.0,0.0,0.0,0.0,20.20629001983701,0.0,0.0,0.0,0.0,0.0,20.20629001983701,0.0,0.0,0.0,20.20629001983701,429.4004499641717,449.6067399962604,2.7440359070307225e-05,2.7440359070307225e-05,0.27945187048193765,-64631.62860506254,64631.62860506256,64631.628605062535,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005908575249674203,-0.0005908575249674203,-54.75181688422927,-0.0005908575249674204,-0.024004611801799334,17347.967512566054,-17293.215695681825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09985652965484032,64631.62860506256,-64631.62860506254,0.0
8,8,0.0,230002.12708708952,429.4598265205426,-0.02506048164056988,123353.22507828854,448.348660706411,-0.025060481640569874,0.025060481640569874,0.0,0.0,18.888834185868337,0.0,0.0,0.0,0.0,0.0,18.888834185868337,0.0,0.0,0.0,0.0,0.0,18.888834185868337,0.0,0.0,0.0,18.888834185868337,429.45982652054266,448.348660706411,3.400538169714822e-05,3.400538169714821e-05,0.2358591708815945,-54549.50904149518,54549.509041495185,54549.509041495185,0.0,0,0,0.0,0.0,0.0,0.0,0.0,228517.95303582578,429.40044996417174,-0.11236876500778209,159475.0639561455,449.5928068354341,-0.11236876500778209,0.11236876500778209,0.0,0.0,20.192356859010182,0.0,0.0,0.0,0.0,0.0,20.192356859010186,0.0,0.0,0.0,0.0,0.0,20.192356859010182,0.0,0.0,0.0,20.192356859010182,429.4004499641717,449.5928068354341,2.7440934751674052e-05,2.7440934751674052e-05,0.4971078908988494,-114971.11300708589,114971.11300708592,114971.11300708594,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025060481640569874,54549.509041495185,-54549.50904149518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11236876500778209,114971.11300708592,-114971.11300708589,0.0
9,9,0.0,230002.1270870895,429.4598265205426,-0.025279735741975184,123262.21802961743,448.3455261465205,-0.025279735741975184,0.025279735741975184,0.0,0.0,18.885699625977885,0.0,0.0,0.0,0.0,0.0,18.88569962597788,0.0,0.0,0.0,0.0,0.0,18.885699625977885,0.0,0.0,0.0,18.885699625977885,429.45982652054266,448.3455261465205,3.3992002180852344e-05,3.3992002180852344e-05,0.3846877203897489,-88970.57597174113,88970.57597174114,88970.57597174114,0.0,0,0,0.0,0.0,0.0,0.0,0.0,228517.95303582572,429.4004499641716,-0.11072493532320873,159076.4541889819,449.5790775012082,-0.11072493532320872,0.11072493532320872,0.0,0.0,20.17862752054003,0.0,0.0,0.0,0.0,0.0,20.178627520540026,0.0,0.0,0.0,0.0,0.0,20.17862752054003,0.0,0.0,0.0,20.17862752054003,429.4004499641716,449.5790775012082,3.1841114376193394e-05,3.1841114376193394e-05,0.6902159686444646,-159633.14922809176,159633.1492280918,159633.14922809182,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025279735741975184,88970.57597174114,-88970.57597174113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11072493532320872,159633.1492280918,-159633.14922809176,0.0
