,t,B4w.Q,B4w.W,B4w.z,B5w.Q,B5w.W,B5w.z,Irrigation1w.Qin,Irrigation1w.Qout,Pump1w.Qin,Pump1w.Qout,Pump1w.H,Pump1w.Ph,Pump1w.Pe,Pump1w.PumpOn,Pump1w.npu2,Pump2w.Qin,Pump2w.Qout,Pump2w.H,Pump2w.Ph,Pump2w.Pe,Pump2w.PumpOn,Pump2w.npu2,Turb1w.Qin,Turb1w.Qout,Turb1w.H,Turb1w.Ph,Turb1w.Pe,Pipe1w.Q,Pipe1w.H,Pipe1w.zlow,Pipe1w.zhigh,Pipe1w.Qp,Pipe1w.Qn,PVw.forecast,PVw.P,Gridw.P,Gridw.Psell,Gridw.Pbuy,EBgw.P_bal,Batw.E,Batw.P,Batw.Pch,Batw.Pdc,p1r0w_expanded.Q,p1c1_Qw_expanded.Q,p1ebw_expanded.P,p2r0w_expanded.Q,p2c1_Qw_expanded.Q,p2ebw_expanded.P,t1r0w_expanded.Q,t1c1_Qw_expanded.Q,t1ebw_expanded.P,c1r1_Qw_expanded.Q,r1i1w_expanded.Q,gridebw_expanded.P,pvebw_expanded.P,batebw_expanded.P
0,0,-0.37385236138561595,22998654.13149901,429.46678239640033,0.3560533642106094,125281.79211115818,448.41508642788716,-0.017798997174999998,0.017798997174999998,0.0,0.0,19.80146113443568,0.0,0.0,0.0,0.5232944274428033,-0.37385236138560685,0.37385236138560685,19.80146113443568,72621.69366918209,84443.82984788615,1.0,0.6669013530732618,5.551115123125783e-17,0.0,19.80146113443568,0.0,0.0,0.3738523613856069,19.80146113443568,429.4667823964145,448.41508642788716,0.3738523613856069,0.0,0.0,0.0,-84443.82984788614,0.0,84443.82984788614,0,0.0,-1.4551915228366852e-11,0.0,1.1641532182693482e-11,0.0,0.0,0.0,-0.37385236138560685,0.37385236138560685,84443.82984788615,-9.103828801926284e-15,5.551115123125783e-17,0.0,0.3738523613856069,-0.0177989971749975,-84443.82984788614,0.0,-1.4551915228366852e-11
1,1,0.0,22998654.13149901,429.46678239640033,-0.017708452452779966,125218.04168232817,448.4128906689857,-0.017708452452777777,0.017708452452777777,0.0,0.0,18.946108272585374,0.0,0.0,0.0,0.5006899649203322,0.0,0.0,18.946108272585374,0.0,0.0,0.0,0.5006899649203322,0.0,0.0,18.946108272585374,0.0,0.0,0.0,18.946108272585374,429.46678239640033,448.4128906689857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017708452452779966,0.0,0.0,0.0
2,2,0.0,22998654.13149901,429.46678239640033,-0.01716429692778121,125156.25021338818,448.41076238262826,-0.017164296927777777,0.017164296927777777,0.0,0.0,18.943979986227895,0.0,0.0,0.0,0.5006337205662762,0.0,0.0,18.943979986227895,0.0,0.0,0.0,0.5006337205662762,0.0,0.0,18.943979986227895,0.0,0.0,0.0,18.943979986227895,429.4667823964004,448.41076238262826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01716429692778121,0.0,0.0,0.0
3,3,0.0,22998654.13149901,429.46678239640033,-0.017697178841658,125092.54036955819,448.40856802159783,-0.017697178841666664,0.017697178841666664,0.0,0.0,18.941785625197515,0.0,0.0,0.0,0.5005757300527884,0.0,0.0,18.941785625197515,0.0,0.0,0.0,0.5005757300527884,0.0,0.0,18.941785625197515,0.0,0.0,0.0,18.941785625197515,429.46678239640033,448.40856802159783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017697178841658,0.0,0.0,0.0
4,4,0.0,22998654.13149901,429.46678239640033,-0.018248701163891212,125026.84504536819,448.4063052745776,-0.018248701163888888,0.018248701163888888,0.0,0.0,18.93952287817721,0.0,0.0,0.0,0.5005159322985521,0.0,0.0,18.93952287817721,0.0,0.0,0.0,0.5005159322985521,0.0,0.0,18.93952287817721,0.0,0.0,0.0,18.93952287817721,429.4667823964004,448.4063052745776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018248701163891212,0.0,0.0,0.0
5,5,0.0,22998654.13149901,429.46678239640033,-0.01940082878611804,124957.00206173817,448.40389966953586,-0.019400828786111112,0.019400828786111112,0.0,0.0,18.93711727313549,0.0,0.0,0.0,0.500452359226625,0.0,0.0,18.93711727313549,0.0,0.0,0.0,0.500452359226625,0.0,0.0,18.93711727313549,0.0,0.0,0.0,18.93711727313549,429.4667823964004,448.40389966953586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01940082878611804,0.0,0.0,0.0
6,6,0.0,22998654.13149901,429.46678239640033,-0.021985294158334057,124877.85500276816,448.4011736038066,-0.021985294158333335,0.021985294158333335,0.0,0.0,18.934391207406254,0.0,0.0,0.0,0.5003803173204612,0.0,0.0,18.934391207406254,0.0,0.0,0.0,0.5003803173204612,0.0,0.0,18.934391207406254,0.0,0.0,0.0,18.934391207406254,429.4667823964004,448.4011736038066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021985294158334057,0.0,0.0,0.0
7,7,0.0,22998654.13149901,429.46678239640033,-0.024004611802780573,124791.43840027816,448.3981971528614,-0.024004611802777777,0.024004611802777777,0.0,0.0,18.93141475646106,0.0,0.0,0.0,0.500301658468844,0.0,0.0,18.93141475646106,0.0,0.0,0.0,0.500301658468844,0.0,0.0,18.93141475646106,0.0,0.0,0.0,18.93141475646106,429.4667823964004,448.3981971528614,0.0,0.0,0.07477177315670108,-17293.21569568183,17293.21569568183,17293.21569568183,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024004611802780573,17293.21569568183,-17293.21569568183,0.0
8,8,0.0,22998654.13149901,429.46678239640033,-0.025060481641652643,124701.2206663682,448.39508977937487,-0.02506048164166667,0.02506048164166667,0.0,0.0,18.928307382974584,0.0,0.0,0.0,0.5002195397192014,0.0,0.0,18.928307382974584,0.0,0.0,0.0,0.5002195397192014,0.0,0.0,18.928307382974584,0.0,0.0,0.0,18.928307382974584,429.4667823964003,448.39508977937487,0.1302944629613315,0.1302944629613315,0.2358591708815945,-54549.50904149518,54549.50904149518,54549.50904149518,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025060481641652643,54549.50904149518,-54549.50904149518,0.0
9,9,0.0,22998654.13149901,429.46678239640033,-0.02527973574166964,124610.21361769819,448.39195521948443,-0.025279735741666667,0.025279735741666667,0.0,0.0,18.925172823084054,0.0,0.0,0.0,0.5001367025127921,0.0,0.0,18.925172823084054,0.0,0.0,0.0,0.5001367025127921,0.0,0.0,18.925172823084054,0.0,0.0,0.0,18.925172823084054,429.4667823964004,448.39195521948443,0.0,0.0,0.3846877203897489,-88970.57597174114,88970.57597174116,88970.57597174116,0.0,0,-5.2386894822120667e-08,-1.4551915228366852e-11,0.0,1.1641532182693482e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02527973574166964,88970.57597174116,-88970.57597174114,-1.4551915228366852e-11
10,10,0.0,22998654.13149901,429.46678239640033,-0.024854075672230636,124520.73894527816,448.3888734392984,-0.024854075672222222,0.024854075672222222,0.0,0.0,18.922091042898042,0.0,0.0,0.0,0.50005526011887,0.0,0.0,18.922091042898042,0.0,0.0,0.0,0.50005526011887,0.0,0.0,18.922091042898042,0.0,0.0,0.0,18.922091042898042,429.46678239640033,448.3888734392984,0.0,0.0,0.5137134929205837,-118811.65664267258,118811.65664267256,118811.65664267256,0.0,0,0.0,1.4551915228366852e-11,0.0,-1.1641532182693482e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024854075672230636,118811.65664267256,-118811.65664267258,1.4551915228366852e-11
