,t,B4w.Q,B4w.W,B4w.z,B5w.Q,B5w.W,B5w.z,Irrigation1w.Qin,Irrigation1w.Qout,Pump1w.Qin,Pump1w.Qout,Pump1w.H,Pump1w.Ph,Pump1w.Pe,Pump1w.PumpOn,Pump1w.npu2,Pump2w.Qin,Pump2w.Qout,Pump2w.H,Pump2w.Ph,Pump2w.Pe,Pump2w.PumpOn,Pump2w.npu2,Turb1w.Qin,Turb1w.Qout,Turb1w.H,Turb1w.Ph,Turb1w.Pe,Pipe1w.Q,Pipe1w.H,Pipe1w.zlow,Pipe1w.zhigh,Pipe1w.Qp,Pipe1w.Qn,PVw.forecast,PVw.P,Gridw.P,Gridw.Psell,Gridw.Pbuy,EBgw.P_bal,Batw.E,Batw.P,Batw.Pch,Batw.Pdc,p1r0w_expanded.Q,p1c1_Qw_expanded.Q,p1ebw_expanded.P,p2r0w_expanded.Q,p2c1_Qw_expanded.Q,p2ebw_expanded.P,t1r0w_expanded.Q,t1c1_Qw_expanded.Q,t1ebw_expanded.P,c1r1_Qw_expanded.Q,r1i1w_expanded.Q,gridebw_expanded.P,pvebw_expanded.P,batebw_expanded.P
0,0,0.0,23000000.0,429.46732526856783,-0.017798997174999998,123935.92361017001,448.36873061828004,-0.017798997174999998,0.017798997174999998,0.0,0.0,18.901405349712178,0.0,0.0,0.0,0.49950859803679115,0.0,0.0,18.901405349712178,0.0,0.0,0.0,0.49950859803679115,0.0,0.0,18.901405349712178,0.0,0.0,0.0,18.901405349712178,429.46732526856783,448.36873061828004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017798997174999998,0.0,0.0,0.0
1,1,0.0,23000000.0,429.46732526856783,-0.017708452452777777,123872.17318133998,448.3665348593786,-0.017708452452777777,0.017708452452777777,0.0,0.0,18.899209590810738,0.0,0.0,0.0,0.499450570581679,0.0,0.0,18.899209590810738,0.0,0.0,0.0,0.499450570581679,0.0,0.0,18.899209590810738,0.0,0.0,0.0,18.899209590810738,429.46732526856783,448.3665348593786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017708452452777777,0.0,0.0,0.0
2,2,0.0,23000000.0,429.46732526856783,-0.017164296927777777,123810.3817124,448.3644065730212,-0.017164296927777777,0.017164296927777777,0.0,0.0,18.897081304453312,0.0,0.0,0.0,0.4993943262276246,0.0,0.0,18.897081304453312,0.0,0.0,0.0,0.4993943262276246,0.0,0.0,18.897081304453312,0.0,0.0,0.0,18.897081304453312,429.46732526856783,448.3644065730212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017164296927777777,0.0,0.0,0.0
3,3,0.0,23000000.0,429.46732526856783,-0.017697178841666664,123746.67186856999,448.36221221199077,-0.017697178841666664,0.017697178841666664,0.0,0.0,18.894886943422858,0.0,0.0,0.0,0.49933633571413466,0.0,0.0,18.894886943422858,0.0,0.0,0.0,0.49933633571413466,0.0,0.0,18.894886943422858,0.0,0.0,0.0,18.894886943422858,429.4673252685679,448.36221221199077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017697178841666664,0.0,0.0,0.0
4,4,0.0,23000000.0,429.46732526856783,-0.018248701163888888,123680.97654437998,448.3599494649705,-0.018248701163888888,0.018248701163888888,0.0,0.0,18.892624196402643,0.0,0.0,0.0,0.4992765379599008,0.0,0.0,18.892624196402643,0.0,0.0,0.0,0.4992765379599008,0.0,0.0,18.892624196402643,0.0,0.0,0.0,18.892624196402643,429.46732526856783,448.3599494649705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018248701163888888,0.0,0.0,0.0
5,5,0.0,23000000.0,429.46732526856783,-0.019400828786111112,123611.13356074996,448.3575438599288,-0.019400828786111112,0.019400828786111112,0.0,0.0,18.890218591360924,0.0,0.0,0.0,0.49921296488797356,0.0,0.0,18.890218591360924,0.0,0.0,0.0,0.49921296488797356,0.0,0.0,18.890218591360924,0.0,0.0,0.0,18.890218591360924,429.4673252685679,448.3575438599288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019400828786111112,0.0,0.0,0.0
6,6,0.043988102790524536,23000158.357170045,429.46738914382763,-0.06597339694885787,123373.6293317341,448.34936349103464,-0.021985294158333335,0.021985294158333335,-0.27897377,0.27897377,18.870162950630256,51642.591693734656,59979.78129353619,1.0,0.5786483085750791,0.0,0.0,18.870162950630256,0.0,0.0,0.0,0.49868295324075723,-0.3229618727905246,0.3229618727905246,18.870162950630256,-59785.50646236372,-29892.753231181858,-0.04398810279052455,18.870162950630256,429.46738914382763,448.34936349103464,0.0,0.04398810279052455,0.0,0.0,-30087.028062354326,0.0,30087.028062354326,0,0.0,0.0,0.0,0.0,-0.27897377,0.27897377,59979.78129353619,0.0,0.0,0.0,0.3229618727905246,-0.3229618727905246,-29892.753231181858,-0.04398810279052455,-0.021985294158333335,-30087.028062354326,0.0,0.0
7,7,0.2283243214630461,23000980.32472731,429.4677206942793,-0.25232893326582384,122465.2451719771,448.318075974365,-0.024004611802777777,0.024004611802777777,0.0,0.0,18.53213068149865,0.0,0.0,0.0,0.48974975373939345,0.0,0.0,18.53213068149865,0.0,0.0,0.0,0.48974975373939345,-0.2283243214630461,0.2283243214630461,18.53213068149865,-41509.40776018441,-20754.703880092206,-0.2283243214630461,18.53213068149865,429.4677206942793,448.318075974365,0.0,0.22832432146304613,0.07477177315670108,-17293.21569568183,38047.91957577403,38047.91957577403,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2283243214630461,-0.2283243214630461,-20754.703880092206,-0.2283243214630461,-0.024004611802777777,38047.91957577403,-17293.21569568183,0.0
8,8,0.0,23000980.32472731,429.4677206942793,-0.02506048164166667,122375.02743806712,448.3149686008785,-0.02506048164166667,0.02506048164166667,0.0,0.0,18.847247906599183,0.0,0.0,0.0,0.4980773759672088,0.0,0.0,18.847247906599183,0.0,0.0,0.0,0.4980773759672088,0.0,0.0,18.847247906599183,0.0,0.0,0.0,18.847247906599183,429.46772069427936,448.3149686008785,0.0,0.0,0.2358591708815945,-54549.50904149517,54549.50904149518,54549.50904149518,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02506048164166667,54549.50904149518,-54549.50904149517,0.0
9,9,0.0,23000980.32472731,429.4677206942793,-0.02527973574166667,122284.02038939713,448.311834040988,-0.025279735741666667,0.025279735741666667,0.0,0.0,18.84411288924217,0.0,0.0,0.0,0.49799452667130456,0.0,0.0,18.84411288924217,0.0,0.0,0.0,0.49799452667130456,0.0,0.0,18.84411288924217,0.0,0.0,0.0,18.84411288924217,429.46772069427936,448.311834040988,2.4163202768653768e-05,2.4163202768653765e-05,0.3846877203897489,-88970.57597174113,88970.57597174113,88970.57597174114,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025279735741666667,88970.57597174113,-88970.57597174113,0.0
