,t,B4s.Q,B4s.W,B4s.z,B5s.Q,B5s.W,B5s.z,Irrigation1s.Qin,Irrigation1s.Qout,Pump1s.Qin,Pump1s.Qout,Pump1s.H,Pump1s.Ph,Pump1s.Pe,Pump1s.PumpOn,Pump1s.npu2,Pump2s.Qin,Pump2s.Qout,Pump2s.H,Pump2s.Ph,Pump2s.Pe,Pump2s.PumpOn,Pump2s.npu2,Turb1s.Qin,Turb1s.Qout,Turb1s.H,Turb1s.Ph,Turb1s.Pe,Pipe1s.Q,Pipe1s.H,Pipe1s.zlow,Pipe1s.zhigh,Pipe1s.Qp,Pipe1s.Qn,PVs.forecast,PVs.P,Grids.P,Grids.Psell,Grids.Pbuy,EBgs.P_bal,EBpvs.P_bal,Bats.E,Bats.P,Bats.Pch,Bats.Pdc,p1r0s_expanded.Q,p1c1_Qs_expanded.Q,p1ebs_expanded.P,p2r0s_expanded.Q,p2c1_Qs_expanded.Q,p2ebs_expanded.P,t1r0s_expanded.Q,t1c1_Qs_expanded.Q,t1ebs_expanded.P,c1r1_Qs_expanded.Q,r1i1s_expanded.Q,gridebs_expanded.P,pvebs_expanded.P,batebs_expanded.P
0,0,-2.687525885029422e-13,229999.999999999,429.45974142330857,-0.04101609033022648,159852.34207481117,448.91292266395243,-0.041016090330237606,0.041016090330237606,0.0,0.0,19.453181570486862,0.0,0.0,0.0,0.5140904220530353,0.0,0.0,19.453181570486862,0.0,0.0,0.0,0.5140904220530353,0.0,0.0,19.453181570486862,0.0,0.0,0.0,19.453181570486862,429.45974142330857,448.91292266395243,6.146767910105974e-06,6.146767910105974e-06,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041016090330237606,0.0,0.0,0.0
1,1,0.0,229999.999999999,429.45974142330857,-0.04088271533802706,159705.1642995943,448.9039254530621,-0.04088271533802706,0.04088271533802706,0.0,0.0,19.444184067901865,0.0,0.0,0.0,0.5138526445005779,0.0,0.0,19.444184067901865,0.0,0.0,0.0,0.5138526445005779,0.0,0.0,19.444184067901865,0.0,0.0,0.0,19.444184067901865,429.45974142330857,448.9039254530621,0.00023840236408933008,0.0002384023640893301,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04088271533802706,0.0,0.0,0.0
2,2,0.0,229999.999999999,429.45974142330857,-0.04219724983359337,159553.25420019333,448.89463894768664,-0.04219724983359336,0.04219724983359336,0.0,0.0,19.434897562229466,0.0,0.0,0.0,0.5136072294458103,0.0,0.0,19.434897562229466,0.0,0.0,0.0,0.5136072294458103,0.0,0.0,19.434897562229466,0.0,0.0,0.0,19.434897562229466,429.45974142330857,448.89463894768664,0.0002374723279639348,0.0002374723279639348,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04219724983359336,0.0,0.0,0.0
3,3,0.0,229999.999999999,429.45974142330857,-0.04035074590333576,159407.99151494136,448.88575880928414,-0.040350745903335754,0.040350745903335754,0.0,0.0,19.426017423826874,0.0,0.0,0.0,0.5133725534837968,0.0,0.0,19.426017423826874,0.0,0.0,0.0,0.5133725534837968,0.0,0.0,19.426017423826874,0.0,0.0,0.0,19.426017423826874,429.45974142330857,448.88575880928414,0.00023747232796394034,0.00023747232796394037,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040350745903335754,0.0,0.0,0.0
4,4,0.0,229999.999999999,429.45974142330857,-0.04119975918011978,159259.67238189292,448.8766918253788,-0.04119975918011978,0.04119975918011978,0.0,0.0,19.416950440218645,0.0,0.0,0.0,0.5131329397520783,0.0,0.0,19.416950440218645,0.0,0.0,0.0,0.5131329397520783,0.0,0.0,19.416950440218645,0.0,0.0,0.0,19.416950440218645,429.45974142330857,448.8766918253788,0.00023840236408933065,0.00023840236408933065,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04119975918011978,0.0,0.0,0.0
5,5,0.0,229999.999999999,429.45974142330857,-0.053304895289615246,159067.77475885034,448.8649608192446,-0.053304895289615246,0.053304895289615246,0.0,0.0,19.40521939593601,0.0,0.0,0.0,0.5128229227255816,0.0,0.0,19.40521939593601,0.0,0.0,0.0,0.5128229227255816,0.0,0.0,19.40521939593601,0.0,0.0,0.0,19.40521939593601,429.45974142330857,448.8649608192446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053304895289615246,0.0,0.0,0.0
6,6,0.0,229999.999999999,429.45974142330857,-0.08631852947028,158757.02805275732,448.8459643801146,-0.08631852947028001,0.08631852947028001,0.0,0.0,19.386222721555754,0.0,0.0,0.0,0.5123208964470336,0.0,0.0,19.386222721555754,0.0,0.0,0.0,0.5123208964470336,0.0,0.0,19.386222721555754,0.0,0.0,0.0,19.386222721555754,429.45974142330857,448.8459643801146,5.191102101325808e-06,5.191102101325808e-06,0.07357298277434086,-17015.959456049557,17015.959456049557,17015.959456049557,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08631852947028001,17015.959456049557,-17015.959456049557,0.0
7,7,0.0,229999.999999999,429.45974142330857,-0.0998565296548403,158397.54454599987,448.82398858304106,-0.09985652965484032,0.09985652965484032,0.0,0.0,19.36424719788089,0.0,0.0,0.0,0.5117401479355413,0.0,0.0,19.36424719788089,0.0,0.0,0.0,0.5117401479355413,0.0,0.0,19.36424719788089,0.0,0.0,0.0,19.36424719788089,429.45974142330857,448.82398858304106,0.0002384023640893254,0.0002384023640893254,0.27945187048193765,-64631.628605062535,64631.628605062535,64631.62860506254,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09985652965484032,64631.628605062535,-64631.628605062535,0.0
8,8,0.0,229999.999999999,429.45974142330857,-0.11236876500778209,157993.01699197185,448.7992591718973,-0.11236876500778209,0.11236876500778209,0.0,0.0,19.339518074890425,0.0,0.0,0.0,0.5110866298861105,0.0,0.0,19.339518074890425,0.0,0.0,0.0,0.5110866298861105,0.0,0.0,19.339518074890425,0.0,0.0,0.0,19.339518074890425,429.45974142330857,448.7992591718973,0.00023180702666891092,0.00023180702666891092,0.4971078908988494,-114971.11300708589,114971.11300708589,114971.1130070859,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11236876500778209,114971.11300708589,-114971.11300708589,0.0
9,9,0.0,229999.999999999,429.45974142330857,-0.11072493532320873,157594.4072248083,448.7748915244529,-0.11072493532320872,0.11072493532320872,0.0,0.0,19.3151504072296,0.0,0.0,0.0,0.5104426640388371,0.0,0.0,19.3151504072296,0.0,0.0,0.0,0.5104426640388371,0.0,0.0,19.3151504072296,0.0,0.0,0.0,19.3151504072296,429.45974142330857,448.7748915244529,0.00022451126757973085,0.00022451126757973085,0.6902159686444646,-159633.14922809176,159633.1492280918,159633.14922809173,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11072493532320872,159633.1492280918,-159633.14922809176,0.0
