,t,B4w.Q,B4w.W,B4w.z,B5w.Q,B5w.W,B5w.z,Irrigation1w.Qin,Irrigation1w.Qout,Pump1w.Qin,Pump1w.Qout,Pump1w.H,Pump1w.Ph,Pump1w.Pe,Pump1w.PumpOn,Pump2w.Qin,Pump2w.Qout,Pump2w.H,Pump2w.Ph,Pump2w.Pe,Pump2w.PumpOn,Turb1w.Qin,Turb1w.Qout,Turb1w.H,Turb1w.Ph,Turb1w.Pe,Pipe1w.Q,Pipe1w.H,Pipe1w.zlow,Pipe1w.zhigh,Pipe1w.Qp,Pipe1w.Qn,PVw.forecast,PVw.P,Gridw.P,Gridw.Psell,Gridw.Pbuy,EBgw.P_bal,EBpvw.P_bal,Batw.E,Batw.P,Batw.Pch,Batw.Pdc,p1r0w_expanded.Q,p1c1_Qw_expanded.Q,p1ebw_expanded.P,p2r0w_expanded.Q,p2c1_Qw_expanded.Q,p2ebw_expanded.P,t1r0w_expanded.Q,t1c1_Qw_expanded.Q,t1ebw_expanded.P,c1r1_Qw_expanded.Q,r1i1w_expanded.Q,gridebw_expanded.P,pvebw_expanded.P,batebw_expanded.P
0,0,0.0,229999.99999999997,429.4597414233086,-0.01779899717448692,123935.92361017181,448.3687306182801,-0.017798997174485583,0.017798997174485583,0.0,0.0,18.908989194971383,0.0,0.0,0.0,0.0,0.0,18.908989194971387,0.0,0.0,0.0,0.0,0.0,18.908989194971383,0.0,0.0,0.0,18.908989194971383,429.4597414233086,448.3687306182801,0.0001952339579179447,0.0001952339579179447,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017798997174485583,0.0,0.0,0.0
1,1,0.0,229999.99999999997,429.4597414233086,-0.017708452452895443,123872.1731813414,448.36653485937865,-0.017708452452895446,0.017708452452895446,0.0,0.0,18.90679403252691,0.0,0.0,0.0,0.0,0.0,18.90679403252691,0.0,0.0,0.0,0.0,0.0,18.90679403252691,0.0,0.0,0.0,18.90679403252691,429.4597414233086,448.36653485937865,0.0002266509573858488,0.0002266509573858488,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017708452452895446,0.0,0.0,0.0
2,2,0.0,229999.99999999997,429.4597414233086,-0.017164296928039707,123810.38171240044,448.36440657302126,-0.017164296928039707,0.017164296928039707,0.0,0.0,18.904665723821843,0.0,0.0,0.0,0.0,0.0,18.90466572382184,0.0,0.0,0.0,0.0,0.0,18.904665723821843,0.0,0.0,0.0,18.904665723821843,429.4597414233086,448.36440657302126,0.000306678208861829,0.000306678208861829,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017164296928039707,0.0,0.0,0.0
3,3,0.0,229999.99999999997,429.4597414233086,-0.017697178842817237,123746.67186856632,448.36221221199065,-0.017697178842817237,0.017697178842817237,0.0,0.0,18.90247136298947,0.0,0.0,0.0,0.0,0.0,18.90247136298947,0.0,0.0,0.0,0.0,0.0,18.90247136298947,0.0,0.0,0.0,18.90247136298947,429.4597414233086,448.36221221199065,0.000306731144556357,0.000306731144556357,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017697178842817237,0.0,0.0,0.0
4,4,0.0,229999.99999999997,429.4597414233086,-0.018248701164988366,123680.97654437234,448.3599494649703,-0.018248701164988366,0.018248701164988366,0.0,0.0,18.900208041661543,0.0,0.0,0.0,0.0,0.0,18.900208041661543,0.0,0.0,0.0,0.0,0.0,18.900208041661543,0.0,0.0,0.0,18.900208041661543,429.4597414233086,448.3599494649703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018248701164988366,0.0,0.0,0.0
5,5,0.0,229999.99999999997,429.4597414233086,-0.019400828784911447,123611.13356074668,448.3575438599286,-0.019400828784911447,0.019400828784911447,0.0,0.0,18.897801858250514,0.0,0.0,0.0,0.0,0.0,18.897801858250514,0.0,0.0,0.0,0.0,0.0,18.897801858250514,0.0,0.0,0.0,18.897801858250514,429.4597414233086,448.3575438599286,0.00030781439749381857,0.00030781439749381857,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019400828784911447,0.0,0.0,0.0
6,6,0.0,229999.99999999997,429.4597414233086,-0.02198529415840738,123531.9865017764,448.3548177941995,-0.02198529415840738,0.02198529415840738,0.0,0.0,18.895076370890738,0.0,0.0,0.0,0.0,0.0,18.895076370890735,0.0,0.0,0.0,0.0,0.0,18.895076370890738,0.0,0.0,0.0,18.895076370890738,429.4597414233086,448.3548177941995,0.00021901923604390037,0.00021901923604390037,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02198529415840738,0.0,0.0,0.0
7,7,0.0,229999.99999999997,429.4597414233086,-0.024004611801799334,123445.56989928991,448.3518413432543,-0.024004611801799334,0.024004611801799334,0.0,0.0,18.892099919945625,0.0,0.0,0.0,0.0,0.0,18.892099919945625,0.0,0.0,0.0,0.0,0.0,18.892099919945625,0.0,0.0,0.0,18.892099919945625,429.4597414233086,448.3518413432543,0.0,0.0,0.07477177315670108,-17293.215695681825,17293.215695681825,17293.21569568182,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024004611801799334,17293.215695681825,-17293.215695681825,0.0
8,8,0.0,229999.99999999997,429.4597414233086,-0.025060481640569874,123355.35216538387,448.3487339697679,-0.025060481640569874,0.025060481640569874,0.0,0.0,18.888992546459228,0.0,0.0,0.0,0.0,0.0,18.888992546459228,0.0,0.0,0.0,0.0,0.0,18.888992546459228,0.0,0.0,0.0,18.888992546459228,429.4597414233086,448.3487339697679,0.0,0.0,0.2358591708815945,-54549.50904149518,54549.50904149518,54549.50904149518,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025060481640569874,54549.50904149518,-54549.50904149518,0.0
9,9,0.0,229999.99999999997,429.4597414233086,-0.025279735741975187,123264.34511671275,448.3455994098775,-0.025279735741975184,0.025279735741975184,0.0,0.0,18.885857986568777,0.0,0.0,0.0,0.0,0.0,18.885857986568777,0.0,0.0,0.0,0.0,0.0,18.885857986568777,0.0,0.0,0.0,18.885857986568777,429.4597414233086,448.3455994098775,0.0002864153352533279,0.0002864153352533279,0.3846877203897489,-88970.57597174111,88970.5759717411,88970.57597174111,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025279735741975184,88970.5759717411,-88970.57597174111,0.0
